# solver	iter	max-congestion	stddev
ecmp	0	0.994079	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	0.584473	0.000000
ecmp	3	0.632340	0.000000
ecmp	4	0.632157	0.000000
ecmp	5	0.586557	0.000000
ecmp	6	0.616352	0.000000
ecmp	7	0.601945	0.000000
ecmp	8	0.597937	0.000000
ecmp	9	0.618230	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	0.960390	0.000000
ksp	3	0.962306	0.000000
ksp	4	0.958360	0.000000
ksp	5	0.950563	0.000000
ksp	6	0.952891	0.000000
ksp	7	0.950806	0.000000
ksp	8	0.951755	0.000000
ksp	9	0.951489	0.000000
mcf	0	0.800000	0.000000
mcf	1	0.800155	0.000000
mcf	2	0.957085	0.000000
mcf	3	0.959878	0.000000
mcf	4	0.895753	0.000000
mcf	5	0.880201	0.000000
mcf	6	0.872420	0.000000
mcf	7	0.857232	0.000000
mcf	8	0.864150	0.000000
mcf	9	0.855349	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	0.960302	0.000000
raeke	3	0.963964	0.000000
raeke	4	0.961945	0.000000
raeke	5	0.954519	0.000000
raeke	6	0.957303	0.000000
raeke	7	0.954195	0.000000
raeke	8	0.956501	0.000000
raeke	9	0.958713	0.000000
semimcfecmp	0	0.984357	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	0.586204	0.000000
semimcfecmp	3	0.634097	0.000000
semimcfecmp	4	0.633702	0.000000
semimcfecmp	5	0.588073	0.000000
semimcfecmp	6	0.617776	0.000000
semimcfecmp	7	0.603193	0.000000
semimcfecmp	8	0.598982	0.000000
semimcfecmp	9	0.620053	0.000000
semimcfksp	0	0.800000	0.000000
semimcfksp	1	0.800155	0.000000
semimcfksp	2	0.957471	0.000000
semimcfksp	3	0.960343	0.000000
semimcfksp	4	0.956705	0.000000
semimcfksp	5	0.946084	0.000000
semimcfksp	6	0.946561	0.000000
semimcfksp	7	0.943843	0.000000
semimcfksp	8	0.942755	0.000000
semimcfksp	9	0.947457	0.000000
semimcfmcf	0	0.800000	0.000000
semimcfmcf	1	0.800155	0.000000
semimcfmcf	2	0.929680	0.000000
semimcfmcf	3	0.908818	0.000000
semimcfmcf	4	0.896746	0.000000
semimcfmcf	5	0.885610	0.000000
semimcfmcf	6	0.906789	0.000000
semimcfmcf	7	0.896385	0.000000
semimcfmcf	8	0.929595	0.000000
semimcfmcf	9	0.898464	0.000000
semimcfraeke	0	0.800000	0.000000
semimcfraeke	1	0.800155	0.000000
semimcfraeke	2	0.937358	0.000000
semimcfraeke	3	0.934447	0.000000
semimcfraeke	4	0.956817	0.000000
semimcfraeke	5	0.920585	0.000000
semimcfraeke	6	0.947428	0.000000
semimcfraeke	7	0.926897	0.000000
semimcfraeke	8	0.914468	0.000000
semimcfraeke	9	0.948150	0.000000
semimcfvlb	0	0.800000	0.000000
semimcfvlb	1	0.800155	0.000000
semimcfvlb	2	0.957400	0.000000
semimcfvlb	3	0.960232	0.000000
semimcfvlb	4	0.956817	0.000000
semimcfvlb	5	0.946650	0.000000
semimcfvlb	6	0.947428	0.000000
semimcfvlb	7	0.943860	0.000000
semimcfvlb	8	0.943992	0.000000
semimcfvlb	9	0.946961	0.000000
spf	0	0.984357	0.000000
spf	1	1.000000	0.000000
spf	2	0.586204	0.000000
spf	3	0.634097	0.000000
spf	4	0.633702	0.000000
spf	5	0.588073	0.000000
spf	6	0.617776	0.000000
spf	7	0.603193	0.000000
spf	8	0.598982	0.000000
spf	9	0.620053	0.000000
vlb	0	1.000000	0.000000
vlb	1	1.000000	0.000000
vlb	2	0.941057	0.000000
vlb	3	0.933499	0.000000
vlb	4	0.943592	0.000000
vlb	5	0.935790	0.000000
vlb	6	0.948592	0.000000
vlb	7	0.946338	0.000000
vlb	8	0.958704	0.000000
vlb	9	0.937393	0.000000

