# solver	iter	.0.800000-congestion	stddev
ecmp	0	0.443713	0.000000
ecmp	1	0.424297	0.000000
ecmp	2	0.284171	0.000000
ecmp	3	0.271727	0.000000
ecmp	4	0.264321	0.000000
ecmp	5	0.267153	0.000000
ecmp	6	0.280985	0.000000
ecmp	7	0.283316	0.000000
ecmp	8	0.273280	0.000000
ecmp	9	0.258977	0.000000
ksp	0	0.778335	0.000000
ksp	1	0.748129	0.000000
ksp	2	0.623924	0.000000
ksp	3	0.581248	0.000000
ksp	4	0.572389	0.000000
ksp	5	0.591948	0.000000
ksp	6	0.628680	0.000000
ksp	7	0.610650	0.000000
ksp	8	0.634929	0.000000
ksp	9	0.586479	0.000000
mcf	0	0.710407	0.000000
mcf	1	0.701501	0.000000
mcf	2	0.465263	0.000000
mcf	3	0.446031	0.000000
mcf	4	0.444311	0.000000
mcf	5	0.433069	0.000000
mcf	6	0.467738	0.000000
mcf	7	0.516091	0.000000
mcf	8	0.508312	0.000000
mcf	9	0.442969	0.000000
raeke	0	0.591572	0.000000
raeke	1	0.578152	0.000000
raeke	2	0.466045	0.000000
raeke	3	0.464845	0.000000
raeke	4	0.448192	0.000000
raeke	5	0.424308	0.000000
raeke	6	0.443113	0.000000
raeke	7	0.435059	0.000000
raeke	8	0.489696	0.000000
raeke	9	0.412777	0.000000
semimcfecmp	0	0.497890	0.000000
semimcfecmp	1	0.491986	0.000000
semimcfecmp	2	0.287661	0.000000
semimcfecmp	3	0.272747	0.000000
semimcfecmp	4	0.265341	0.000000
semimcfecmp	5	0.271272	0.000000
semimcfecmp	6	0.294944	0.000000
semimcfecmp	7	0.284614	0.000000
semimcfecmp	8	0.276469	0.000000
semimcfecmp	9	0.264555	0.000000
semimcfksp	0	0.601772	0.000000
semimcfksp	1	0.589607	0.000000
semimcfksp	2	0.535622	0.000000
semimcfksp	3	0.507810	0.000000
semimcfksp	4	0.518030	0.000000
semimcfksp	5	0.531428	0.000000
semimcfksp	6	0.547119	0.000000
semimcfksp	7	0.530916	0.000000
semimcfksp	8	0.537647	0.000000
semimcfksp	9	0.518381	0.000000
semimcfmcf	0	0.725918	0.000000
semimcfmcf	1	0.716120	0.000000
semimcfmcf	2	0.434279	0.000000
semimcfmcf	3	0.399642	0.000000
semimcfmcf	4	0.409068	0.000000
semimcfmcf	5	0.423962	0.000000
semimcfmcf	6	0.438741	0.000000
semimcfmcf	7	0.429356	0.000000
semimcfmcf	8	0.439553	0.000000
semimcfmcf	9	0.412902	0.000000
semimcfraeke	0	0.608168	0.000000
semimcfraeke	1	0.601980	0.000000
semimcfraeke	2	0.640096	0.000000
semimcfraeke	3	0.603733	0.000000
semimcfraeke	4	0.503864	0.000000
semimcfraeke	5	0.605470	0.000000
semimcfraeke	6	0.606922	0.000000
semimcfraeke	7	0.645659	0.000000
semimcfraeke	8	0.635563	0.000000
semimcfraeke	9	0.519913	0.000000
semimcfvlb	0	0.593376	0.000000
semimcfvlb	1	0.575452	0.000000
semimcfvlb	2	0.548752	0.000000
semimcfvlb	3	0.533136	0.000000
semimcfvlb	4	0.520040	0.000000
semimcfvlb	5	0.522260	0.000000
semimcfvlb	6	0.522579	0.000000
semimcfvlb	7	0.557895	0.000000
semimcfvlb	8	0.526982	0.000000
semimcfvlb	9	0.493978	0.000000
spf	0	0.458777	0.000000
spf	1	0.403155	0.000000
spf	2	0.276775	0.000000
spf	3	0.272747	0.000000
spf	4	0.274881	0.000000
spf	5	0.271272	0.000000
spf	6	0.295652	0.000000
spf	7	0.284614	0.000000
spf	8	0.293519	0.000000
spf	9	0.276437	0.000000
vlb	0	0.579908	0.000000
vlb	1	0.581765	0.000000
vlb	2	0.529930	0.000000
vlb	3	0.541998	0.000000
vlb	4	0.507953	0.000000
vlb	5	0.460093	0.000000
vlb	6	0.504933	0.000000
vlb	7	0.504749	0.000000
vlb	8	0.517252	0.000000
vlb	9	0.483743	0.000000

