# solver	iter	max-congestion	stddev
ecmp	0	0.994079	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	1.000000	0.000000
ecmp	3	1.000000	0.000000
ecmp	4	0.980753	0.000000
ecmp	5	0.937315	0.000000
ecmp	6	0.942326	0.000000
ecmp	7	0.920000	0.000000
ecmp	8	0.924645	0.000000
ecmp	9	0.916876	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	1.000000	0.000000
ksp	3	1.000000	0.000000
ksp	4	1.000000	0.000000
ksp	5	1.000000	0.000000
ksp	6	1.000000	0.000000
ksp	7	1.000000	0.000000
ksp	8	1.000000	0.000000
ksp	9	1.000000	0.000000
mcf	0	0.800000	0.000000
mcf	1	0.800155	0.000000
mcf	2	0.808729	0.000000
mcf	3	0.821514	0.000000
mcf	4	0.803715	0.000000
mcf	5	0.759247	0.000000
mcf	6	0.761035	0.000000
mcf	7	0.748606	0.000000
mcf	8	0.745420	0.000000
mcf	9	0.764320	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	1.000000	0.000000
raeke	3	1.000000	0.000000
raeke	4	1.000000	0.000000
raeke	5	0.959024	0.000000
raeke	6	0.963204	0.000000
raeke	7	0.946144	0.000000
raeke	8	0.934624	0.000000
raeke	9	0.954685	0.000000
semimcfecmp	0	0.984357	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	1.000000	0.000000
semimcfecmp	3	1.000000	0.000000
semimcfecmp	4	0.973728	0.000000
semimcfecmp	5	0.930421	0.000000
semimcfecmp	6	0.935037	0.000000
semimcfecmp	7	0.912402	0.000000
semimcfecmp	8	0.917081	0.000000
semimcfecmp	9	0.908587	0.000000
semimcfksp	0	0.800000	0.000000
semimcfksp	1	0.800155	0.000000
semimcfksp	2	0.808729	0.000000
semimcfksp	3	0.821514	0.000000
semimcfksp	4	0.803715	0.000000
semimcfksp	5	0.759247	0.000000
semimcfksp	6	0.761035	0.000000
semimcfksp	7	0.748606	0.000000
semimcfksp	8	0.745420	0.000000
semimcfksp	9	0.764320	0.000000
semimcfmcf	0	0.800000	0.000000
semimcfmcf	1	0.800155	0.000000
semimcfmcf	2	0.844155	0.000000
semimcfmcf	3	0.849313	0.000000
semimcfmcf	4	0.819381	0.000000
semimcfmcf	5	0.816009	0.000000
semimcfmcf	6	0.815781	0.000000
semimcfmcf	7	0.829404	0.000000
semimcfmcf	8	0.832222	0.000000
semimcfmcf	9	0.789156	0.000000
semimcfraeke	0	0.800000	0.000000
semimcfraeke	1	0.800155	0.000000
semimcfraeke	2	0.808729	0.000000
semimcfraeke	3	0.821514	0.000000
semimcfraeke	4	0.803715	0.000000
semimcfraeke	5	0.759247	0.000000
semimcfraeke	6	0.761035	0.000000
semimcfraeke	7	0.748606	0.000000
semimcfraeke	8	0.745420	0.000000
semimcfraeke	9	0.764320	0.000000
semimcfvlb	0	0.800000	0.000000
semimcfvlb	1	0.800155	0.000000
semimcfvlb	2	0.808729	0.000000
semimcfvlb	3	0.821514	0.000000
semimcfvlb	4	0.803715	0.000000
semimcfvlb	5	0.759247	0.000000
semimcfvlb	6	0.761035	0.000000
semimcfvlb	7	0.748606	0.000000
semimcfvlb	8	0.745420	0.000000
semimcfvlb	9	0.764320	0.000000
spf	0	0.984357	0.000000
spf	1	1.000000	0.000000
spf	2	1.000000	0.000000
spf	3	1.000000	0.000000
spf	4	0.973728	0.000000
spf	5	0.930421	0.000000
spf	6	0.935037	0.000000
spf	7	0.912402	0.000000
spf	8	0.917081	0.000000
spf	9	0.908587	0.000000
vlb	0	1.000000	0.000000
vlb	1	1.000000	0.000000
vlb	2	1.000000	0.000000
vlb	3	1.000000	0.000000
vlb	4	1.000000	0.000000
vlb	5	1.000000	0.000000
vlb	6	1.000000	0.000000
vlb	7	1.000000	0.000000
vlb	8	1.000000	0.000000
vlb	9	1.000000	0.000000

