#solver	iter	latency-throughput
ecmp	0	
		1. : 0.258125020181
		2. : 0.576601540624
		3. : 0.751070026828
		4. : 0.883382563831
		5. : 0.926865337456
ecmp	1	
		1. : 0.254421794112
		2. : 0.565771742875
		3. : 0.736312184754
		4. : 0.872186703932
		5. : 0.920574528357
ecmp	2	
		1. : 0.182843886155
		2. : 0.373660305257
		3. : 0.490061585214
		4. : 0.580337217384
		5. : 0.634087626383
		6. : 0.655274906131
ecmp	3	
		1. : 0.183323722935
		2. : 0.37065138918
		3. : 0.481726866323
		4. : 0.571994785663
		5. : 0.62695255144
		6. : 0.649862548202
ecmp	4	
		1. : 0.183639311402
		2. : 0.375423590959
		3. : 0.488853193539
		4. : 0.580825777168
		5. : 0.636507644115
		6. : 0.659698542285
ecmp	5	
		1. : 0.18852363521
		2. : 0.381497569975
		3. : 0.50079896065
		4. : 0.590653304588
		5. : 0.646693716156
		6. : 0.668890116239
ecmp	6	
		1. : 0.189762951308
		2. : 0.388071652124
		3. : 0.511320787286
		4. : 0.600607326856
		5. : 0.653425665277
		6. : 0.674938829403
ecmp	7	
		1. : 0.189666945092
		2. : 0.385485050914
		3. : 0.507898274837
		4. : 0.597957893003
		5. : 0.651691300416
		6. : 0.673919584093
ecmp	8	
		1. : 0.191703564712
		2. : 0.390285013166
		3. : 0.51369320985
		4. : 0.602876992833
		5. : 0.654919845669
		6. : 0.677266857582
ecmp	9	
		1. : 0.189154632645
		2. : 0.381916944047
		3. : 0.499202865188
		4. : 0.591474143885
		5. : 0.647875338309
		6. : 0.671673431997
ksp	0	
		1. : 0.055810221311
		2. : 0.11983540691
		3. : 0.213289342468
		4. : 0.339777858092
		5. : 0.477337438729
		6. : 0.611460733774
		7. : 0.645556839306
		8. : 0.661794440366
		9. : 0.676839103698
		10. : 0.680649520678
		11. : 0.680766324792
ksp	1	
		1. : 0.0564218738101
		2. : 0.120274255514
		3. : 0.213384055854
		4. : 0.341132451767
		5. : 0.48499130411
		6. : 0.625641567246
		7. : 0.65861291203
		8. : 0.676879519104
		9. : 0.693957101569
		10. : 0.698234805929
		11. : 0.698365197537
ksp	2	
		1. : 0.0774233143316
		2. : 0.131694354145
		3. : 0.202612789948
		4. : 0.290470668385
		5. : 0.396863432608
		6. : 0.492562752557
		7. : 0.540335826981
		8. : 0.571160463981
		9. : 0.588526840726
		10. : 0.594525223993
		11. : 0.595076428245
ksp	3	
		1. : 0.0795633883225
		2. : 0.132179466122
		3. : 0.199138707465
		4. : 0.28312456498
		5. : 0.38799688242
		6. : 0.483368620322
		7. : 0.530211136125
		8. : 0.562356898029
