# solver	iter	.0.500000-exp-congestion	stddev
ecmp	0	0.122297	0.000000
ecmp	1	0.116245	0.000000
ecmp	2	0.117463	0.000000
ecmp	3	0.119688	0.000000
ecmp	4	0.119908	0.000000
ecmp	5	0.116405	0.000000
ecmp	6	0.119303	0.000000
ecmp	7	0.117081	0.000000
ecmp	8	0.119190	0.000000
ecmp	9	0.119801	0.000000
ksp	0	0.418011	0.000000
ksp	1	0.394461	0.000000
ksp	2	0.416462	0.000000
ksp	3	0.410595	0.000000
ksp	4	0.401428	0.000000
ksp	5	0.406366	0.000000
ksp	6	0.422774	0.000000
ksp	7	0.408530	0.000000
ksp	8	0.410112	0.000000
ksp	9	0.392197	0.000000
mcf	0	0.184583	0.000000
mcf	1	0.199116	0.000000
mcf	2	0.249053	0.000000
mcf	3	0.246376	0.000000
mcf	4	0.186542	0.000000
mcf	5	0.206414	0.000000
mcf	6	0.284676	0.000000
mcf	7	0.284189	0.000000
mcf	8	0.292673	0.000000
mcf	9	0.289763	0.000000
raeke	0	0.252351	0.000000
raeke	1	0.245492	0.000000
raeke	2	0.259140	0.000000
raeke	3	0.303690	0.000000
raeke	4	0.306906	0.000000
raeke	5	0.301466	0.000000
raeke	6	0.367972	0.000000
raeke	7	0.312684	0.000000
raeke	8	0.333276	0.000000
raeke	9	0.264579	0.000000
semimcfecmp	0	0.129119	0.000000
semimcfecmp	1	0.135456	0.000000
semimcfecmp	2	0.134711	0.000000
semimcfecmp	3	0.119688	0.000000
semimcfecmp	4	0.117107	0.000000
semimcfecmp	5	0.116280	0.000000
semimcfecmp	6	0.119303	0.000000
semimcfecmp	7	0.117081	0.000000
semimcfecmp	8	0.119190	0.000000
semimcfecmp	9	0.119801	0.000000
semimcfksp	0	0.278214	0.000000
semimcfksp	1	0.295332	0.000000
semimcfksp	2	0.289442	0.000000
semimcfksp	3	0.194217	0.000000
semimcfksp	4	0.222968	0.000000
semimcfksp	5	0.201727	0.000000
semimcfksp	6	0.272967	0.000000
semimcfksp	7	0.269140	0.000000
semimcfksp	8	0.224256	0.000000
semimcfksp	9	0.201296	0.000000
semimcfmcf	0	0.180729	0.000000
semimcfmcf	1	0.161935	0.000000
semimcfmcf	2	0.183694	0.000000
semimcfmcf	3	0.125420	0.000000
semimcfmcf	4	0.119908	0.000000
semimcfmcf	5	0.127664	0.000000
semimcfmcf	6	0.119303	0.000000
semimcfmcf	7	0.117081	0.000000
semimcfmcf	8	0.119190	0.000000
semimcfmcf	9	0.114288	0.000000
semimcfraeke	0	0.273809	0.000000
semimcfraeke	1	0.284502	0.000000
semimcfraeke	2	0.392946	0.000000
semimcfraeke	3	0.194416	0.000000
semimcfraeke	4	0.214319	0.000000
semimcfraeke	5	0.260031	0.000000
semimcfraeke	6	0.233770	0.000000
semimcfraeke	7	0.220199	0.000000
semimcfraeke	8	0.183955	0.000000
semimcfraeke	9	0.188030	0.000000
semimcfvlb	0	0.199096	0.000000
semimcfvlb	1	0.237414	0.000000
semimcfvlb	2	0.235830	0.000000
semimcfvlb	3	0.176984	0.000000
semimcfvlb	4	0.170619	0.000000
semimcfvlb	5	0.146382	0.000000
semimcfvlb	6	0.184763	0.000000
semimcfvlb	7	0.139648	0.000000
semimcfvlb	8	0.136788	0.000000
semimcfvlb	9	0.162598	0.000000
spf	0	0.122297	0.000000
spf	1	0.117135	0.000000
spf	2	0.117463	0.000000
spf	3	0.109314	0.000000
spf	4	0.109735	0.000000
spf	5	0.112792	0.000000
spf	6	0.119303	0.000000
spf	7	0.117081	0.000000
spf	8	0.120487	0.000000
spf	9	0.111968	0.000000
vlb	0	0.220877	0.000000
vlb	1	0.211795	0.000000
vlb	2	0.254063	0.000000
vlb	3	0.241360	0.000000
vlb	4	0.191144	0.000000
vlb	5	0.253283	0.000000
vlb	6	0.224114	0.000000
vlb	7	0.210845	0.000000
vlb	8	0.242542	0.000000
vlb	9	0.215040	0.000000

