# solver	iter	total-throughput	stddev
ecmp	0	0.926865	0.000000
ecmp	1	0.920575	0.000000
ecmp	2	0.664540	0.000000
ecmp	3	0.664949	0.000000
ecmp	4	0.673954	0.000000
ecmp	5	0.674928	0.000000
ecmp	6	0.685271	0.000000
ecmp	7	0.682923	0.000000
ecmp	8	0.680880	0.000000
ecmp	9	0.679804	0.000000
ksp	0	0.680766	0.000000
ksp	1	0.698365	0.000000
ksp	2	0.608595	0.000000
ksp	3	0.600280	0.000000
ksp	4	0.611821	0.000000
ksp	5	0.624770	0.000000
ksp	6	0.621913	0.000000
ksp	7	0.626213	0.000000
ksp	8	0.630478	0.000000
ksp	9	0.626498	0.000000
mcf	0	0.874381	0.000000
mcf	1	0.868391	0.000000
mcf	2	0.656770	0.000000
mcf	3	0.640583	0.000000
mcf	4	0.648361	0.000000
mcf	5	0.675757	0.000000
mcf	6	0.678717	0.000000
mcf	7	0.674238	0.000000
mcf	8	0.698318	0.000000
mcf	9	0.667504	0.000000
raeke	0	0.836174	0.000000
raeke	1	0.847396	0.000000
raeke	2	0.640304	0.000000
raeke	3	0.631316	0.000000
raeke	4	0.641653	0.000000
raeke	5	0.656495	0.000000
raeke	6	0.658712	0.000000
raeke	7	0.659023	0.000000
raeke	8	0.664954	0.000000
raeke	9	0.657475	0.000000
semimcfecmp	0	0.929037	0.000000
semimcfecmp	1	0.922899	0.000000
semimcfecmp	2	0.665101	0.000000
semimcfecmp	3	0.665505	0.000000
semimcfecmp	4	0.674480	0.000000
semimcfecmp	5	0.675437	0.000000
semimcfecmp	6	0.685866	0.000000
semimcfecmp	7	0.683524	0.000000
semimcfecmp	8	0.680617	0.000000
semimcfecmp	9	0.680427	0.000000
semimcfksp	0	0.914798	0.000000
semimcfksp	1	0.895710	0.000000
semimcfksp	2	0.655282	0.000000
semimcfksp	3	0.650883	0.000000
semimcfksp	4	0.661371	0.000000
semimcfksp	5	0.671663	0.000000
semimcfksp	6	0.679848	0.000000
semimcfksp	7	0.677003	0.000000
semimcfksp	8	0.689002	0.000000
semimcfksp	9	0.677969	0.000000
semimcfmcf	0	0.872663	0.000000
semimcfmcf	1	0.871881	0.000000
semimcfmcf	2	0.635163	0.000000
semimcfmcf	3	0.626852	0.000000
semimcfmcf	4	0.637008	0.000000
semimcfmcf	5	0.646911	0.000000
semimcfmcf	6	0.656541	0.000000
semimcfmcf	7	0.652354	0.000000
semimcfmcf	8	0.655461	0.000000
semimcfmcf	9	0.647271	0.000000
semimcfraeke	0	0.919726	0.000000
semimcfraeke	1	0.890234	0.000000
semimcfraeke	2	0.653598	0.000000
semimcfraeke	3	0.645942	0.000000
semimcfraeke	4	0.660696	0.000000
semimcfraeke	5	0.670822	0.000000
semimcfraeke	6	0.675396	0.000000
semimcfraeke	7	0.680394	0.000000
semimcfraeke	8	0.680385	0.000000
semimcfraeke	9	0.671893	0.000000
semimcfvlb	0	0.911743	0.000000
semimcfvlb	1	0.894475	0.000000
semimcfvlb	2	0.656620	0.000000
semimcfvlb	3	0.648718	0.000000
semimcfvlb	4	0.657160	0.000000
semimcfvlb	5	0.675621	0.000000
semimcfvlb	6	0.679257	0.000000
semimcfvlb	7	0.681745	0.000000
semimcfvlb	8	0.683188	0.000000
semimcfvlb	9	0.675548	0.000000
spf	0	0.898466	0.000000
spf	1	0.914034	0.000000
spf	2	0.659271	0.000000
spf	3	0.662254	0.000000
spf	4	0.672024	0.000000
spf	5	0.670462	0.000000
spf	6	0.679785	0.000000
spf	7	0.678331	0.000000
spf	8	0.673582	0.000000
spf	9	0.676127	0.000000
vlb	0	0.835258	0.000000
vlb	1	0.847434	0.000000
vlb	2	0.637090	0.000000
vlb	3	0.627924	0.000000
vlb	4	0.638975	0.000000
vlb	5	0.647758	0.000000
vlb	6	0.651162	0.000000
vlb	7	0.655061	0.000000
vlb	8	0.657469	0.000000
vlb	9	0.653591	0.000000

