# solver	iter	mean-congestion	stddev
ecmp	0	0.295823	0.000000
ecmp	1	0.287429	0.000000
ecmp	2	0.232041	0.000000
ecmp	3	0.226954	0.000000
ecmp	4	0.222962	0.000000
ecmp	5	0.224401	0.000000
ecmp	6	0.232958	0.000000
ecmp	7	0.229385	0.000000
ecmp	8	0.231173	0.000000
ecmp	9	0.220866	0.000000
ksp	0	0.431032	0.000000
ksp	1	0.423430	0.000000
ksp	2	0.367525	0.000000
ksp	3	0.360189	0.000000
ksp	4	0.357246	0.000000
ksp	5	0.363042	0.000000
ksp	6	0.371416	0.000000
ksp	7	0.366220	0.000000
ksp	8	0.370608	0.000000
ksp	9	0.358767	0.000000
mcf	0	0.415750	0.000000
mcf	1	0.400310	0.000000
mcf	2	0.347426	0.000000
mcf	3	0.347476	0.000000
mcf	4	0.335439	0.000000
mcf	5	0.347141	0.000000
mcf	6	0.350869	0.000000
mcf	7	0.363171	0.000000
mcf	8	0.367780	0.000000
mcf	9	0.336870	0.000000
raeke	0	0.387543	0.000000
raeke	1	0.378584	0.000000
raeke	2	0.317140	0.000000
raeke	3	0.305488	0.000000
raeke	4	0.298832	0.000000
raeke	5	0.304283	0.000000
raeke	6	0.315628	0.000000
raeke	7	0.310474	0.000000
raeke	8	0.315291	0.000000
raeke	9	0.296894	0.000000
semimcfecmp	0	0.296390	0.000000
semimcfecmp	1	0.288017	0.000000
semimcfecmp	2	0.233083	0.000000
semimcfecmp	3	0.227975	0.000000
semimcfecmp	4	0.223898	0.000000
semimcfecmp	5	0.225309	0.000000
semimcfecmp	6	0.234035	0.000000
semimcfecmp	7	0.230459	0.000000
semimcfecmp	8	0.231325	0.000000
semimcfecmp	9	0.221956	0.000000
semimcfksp	0	0.380213	0.000000
semimcfksp	1	0.376742	0.000000
semimcfksp	2	0.315567	0.000000
semimcfksp	3	0.297462	0.000000
semimcfksp	4	0.297009	0.000000
semimcfksp	5	0.305799	0.000000
semimcfksp	6	0.331589	0.000000
semimcfksp	7	0.323096	0.000000
semimcfksp	8	0.311991	0.000000
semimcfksp	9	0.301833	0.000000
semimcfmcf	0	0.408551	0.000000
semimcfmcf	1	0.398179	0.000000
semimcfmcf	2	0.352862	0.000000
semimcfmcf	3	0.345903	0.000000
semimcfmcf	4	0.343603	0.000000
semimcfmcf	5	0.349362	0.000000
semimcfmcf	6	0.359095	0.000000
semimcfmcf	7	0.354482	0.000000
semimcfmcf	8	0.362942	0.000000
semimcfmcf	9	0.347867	0.000000
semimcfraeke	0	0.393295	0.000000
semimcfraeke	1	0.387005	0.000000
semimcfraeke	2	0.339085	0.000000
semimcfraeke	3	0.321746	0.000000
semimcfraeke	4	0.313676	0.000000
semimcfraeke	5	0.322260	0.000000
semimcfraeke	6	0.303950	0.000000
semimcfraeke	7	0.318197	0.000000
semimcfraeke	8	0.313695	0.000000
semimcfraeke	9	0.315807	0.000000
semimcfvlb	0	0.363773	0.000000
semimcfvlb	1	0.355201	0.000000
semimcfvlb	2	0.297172	0.000000
semimcfvlb	3	0.282793	0.000000
semimcfvlb	4	0.290559	0.000000
semimcfvlb	5	0.302048	0.000000
semimcfvlb	6	0.311335	0.000000
semimcfvlb	7	0.306798	0.000000
semimcfvlb	8	0.301106	0.000000
semimcfvlb	9	0.292752	0.000000
spf	0	0.286763	0.000000
spf	1	0.285715	0.000000
spf	2	0.226610	0.000000
spf	3	0.223536	0.000000
spf	4	0.220564	0.000000
spf	5	0.219154	0.000000
spf	6	0.227473	0.000000
spf	7	0.223997	0.000000
spf	8	0.221709	0.000000
spf	9	0.216263	0.000000
vlb	0	0.379712	0.000000
vlb	1	0.370639	0.000000
vlb	2	0.298429	0.000000
vlb	3	0.287194	0.000000
vlb	4	0.274538	0.000000
vlb	5	0.279207	0.000000
vlb	6	0.295593	0.000000
vlb	7	0.278035	0.000000
vlb	8	0.290749	0.000000
vlb	9	0.269500	0.000000

