# solver	iter	time	stddev
ecmp	0	0.200487	0.000000
ecmp	1	0.171017	0.000000
ecmp	2	0.156810	0.000000
ecmp	3	0.147051	0.000000
ecmp	4	0.169660	0.000000
ecmp	5	0.146000	0.000000
ecmp	6	0.162659	0.000000
ecmp	7	0.138496	0.000000
ecmp	8	0.137618	0.000000
ecmp	9	0.149038	0.000000
ksp	0	0.102311	0.000000
ksp	1	0.103320	0.000000
ksp	2	0.102259	0.000000
ksp	3	0.101913	0.000000
ksp	4	0.064404	0.000000
ksp	5	0.090193	0.000000
ksp	6	0.064601	0.000000
ksp	7	0.110365	0.000000
ksp	8	0.076553	0.000000
ksp	9	0.091800	0.000000
mcf	0	0.712632	0.000000
mcf	1	0.918990	0.000000
mcf	2	0.383439	0.000000
mcf	3	0.254904	0.000000
mcf	4	0.693516	0.000000
mcf	5	0.796473	0.000000
mcf	6	0.819584	0.000000
mcf	7	0.736780	0.000000
mcf	8	0.858649	0.000000
mcf	9	0.632646	0.000000
raeke	0	0.929084	0.000000
raeke	1	0.001179	0.000000
raeke	2	0.000598	0.000000
raeke	3	0.000558	0.000000
raeke	4	0.000472	0.000000
raeke	5	0.000736	0.000000
raeke	6	0.000753	0.000000
raeke	7	0.000637	0.000000
raeke	8	0.000523	0.000000
raeke	9	0.000526	0.000000
semimcfecmp	0	0.062436	0.000000
semimcfecmp	1	0.091296	0.000000
semimcfecmp	2	0.048856	0.000000
semimcfecmp	3	0.051358	0.000000
semimcfecmp	4	0.080064	0.000000
semimcfecmp	5	0.046696	0.000000
semimcfecmp	6	0.087364	0.000000
semimcfecmp	7	0.049451	0.000000
semimcfecmp	8	0.036781	0.000000
semimcfecmp	9	0.064974	0.000000
semimcfksp	0	0.125104	0.000000
semimcfksp	1	0.115102	0.000000
semimcfksp	2	0.068886	0.000000
semimcfksp	3	0.082507	0.000000
semimcfksp	4	0.140387	0.000000
semimcfksp	5	0.107283	0.000000
semimcfksp	6	0.121113	0.000000
semimcfksp	7	0.081359	0.000000
semimcfksp	8	0.100363	0.000000
semimcfksp	9	0.077329	0.000000
semimcfmcf	0	0.042364	0.000000
semimcfmcf	1	0.086019	0.000000
semimcfmcf	2	0.056325	0.000000
semimcfmcf	3	0.046664	0.000000
semimcfmcf	4	0.061449	0.000000
semimcfmcf	5	0.042306	0.000000
semimcfmcf	6	0.078809	0.000000
semimcfmcf	7	0.036711	0.000000
semimcfmcf	8	0.049662	0.000000
semimcfmcf	9	0.073845	0.000000
semimcfraeke	0	0.144456	0.000000
semimcfraeke	1	0.113082	0.000000
semimcfraeke	2	0.099910	0.000000
semimcfraeke	3	0.078285	0.000000
semimcfraeke	4	0.078617	0.000000
semimcfraeke	5	0.097712	0.000000
semimcfraeke	6	0.130407	0.000000
semimcfraeke	7	0.114071	0.000000
semimcfraeke	8	0.090246	0.000000
semimcfraeke	9	0.034786	0.000000
semimcfvlb	0	0.060765	0.000000
semimcfvlb	1	0.080071	0.000000
semimcfvlb	2	0.064976	0.000000
semimcfvlb	3	0.039892	0.000000
semimcfvlb	4	0.071090	0.000000
semimcfvlb	5	0.110664	0.000000
semimcfvlb	6	0.073869	0.000000
semimcfvlb	7	0.086163	0.000000
semimcfvlb	8	0.075451	0.000000
semimcfvlb	9	0.087140	0.000000
spf	0	0.000931	0.000000
spf	1	0.000948	0.000000
spf	2	0.000923	0.000000
spf	3	0.000941	0.000000
spf	4	0.000910	0.000000
spf	5	0.001147	0.000000
spf	6	0.001808	0.000000
spf	7	0.001331	0.000000
spf	8	0.025387	0.000000
spf	9	0.000929	0.000000
vlb	0	0.237329	0.000000
vlb	1	0.182886	0.000000
vlb	2	0.149047	0.000000
vlb	3	0.167795	0.000000
vlb	4	0.176225	0.000000
vlb	5	0.142550	0.000000
vlb	6	0.088060	0.000000
vlb	7	0.166451	0.000000
vlb	8	0.185185	0.000000
vlb	9	0.182012	0.000000

