# solver	iter	total-throughput	stddev
ecmp	0	0.926865	0.000000
ecmp	1	0.920575	0.000000
ecmp	2	0.662602	0.000000
ecmp	3	0.662996	0.000000
ecmp	4	0.672176	0.000000
ecmp	5	0.673222	0.000000
ecmp	6	0.683161	0.000000
ecmp	7	0.680840	0.000000
ecmp	8	0.678953	0.000000
ecmp	9	0.677715	0.000000
ksp	0	0.680766	0.000000
ksp	1	0.698365	0.000000
ksp	2	0.488410	0.000000
ksp	3	0.483862	0.000000
ksp	4	0.492760	0.000000
ksp	5	0.500226	0.000000
ksp	6	0.497958	0.000000
ksp	7	0.499712	0.000000
ksp	8	0.495003	0.000000
ksp	9	0.499832	0.000000
mcf	0	0.874381	0.000000
mcf	1	0.868391	0.000000
mcf	2	0.646825	0.000000
mcf	3	0.638761	0.000000
mcf	4	0.642272	0.000000
mcf	5	0.649062	0.000000
mcf	6	0.670511	0.000000
mcf	7	0.667193	0.000000
mcf	8	0.667022	0.000000
mcf	9	0.662690	0.000000
raeke	0	0.842219	0.000000
raeke	1	0.847935	0.000000
raeke	2	0.635301	0.000000
raeke	3	0.625125	0.000000
raeke	4	0.635162	0.000000
raeke	5	0.648906	0.000000
raeke	6	0.654399	0.000000
raeke	7	0.654164	0.000000
raeke	8	0.657123	0.000000
raeke	9	0.646402	0.000000
semimcfecmp	0	0.929037	0.000000
semimcfecmp	1	0.922899	0.000000
semimcfecmp	2	0.665101	0.000000
semimcfecmp	3	0.665505	0.000000
semimcfecmp	4	0.674480	0.000000
semimcfecmp	5	0.675437	0.000000
semimcfecmp	6	0.685866	0.000000
semimcfecmp	7	0.683524	0.000000
semimcfecmp	8	0.677570	0.000000
semimcfecmp	9	0.680427	0.000000
semimcfksp	0	0.914798	0.000000
semimcfksp	1	0.895710	0.000000
semimcfksp	2	0.660190	0.000000
semimcfksp	3	0.645044	0.000000
semimcfksp	4	0.656917	0.000000
semimcfksp	5	0.666114	0.000000
semimcfksp	6	0.693601	0.000000
semimcfksp	7	0.679256	0.000000
semimcfksp	8	0.687556	0.000000
semimcfksp	9	0.676267	0.000000
semimcfmcf	0	0.872663	0.000000
semimcfmcf	1	0.871881	0.000000
semimcfmcf	2	0.618838	0.000000
semimcfmcf	3	0.617961	0.000000
semimcfmcf	4	0.628524	0.000000
semimcfmcf	5	0.635280	0.000000
semimcfmcf	6	0.642686	0.000000
semimcfmcf	7	0.637597	0.000000
semimcfmcf	8	0.638824	0.000000
semimcfmcf	9	0.636843	0.000000
semimcfraeke	0	0.918230	0.000000
semimcfraeke	1	0.884349	0.000000
semimcfraeke	2	0.667247	0.000000
semimcfraeke	3	0.666279	0.000000
semimcfraeke	4	0.682931	0.000000
semimcfraeke	5	0.694090	0.000000
semimcfraeke	6	0.684966	0.000000
semimcfraeke	7	0.705195	0.000000
semimcfraeke	8	0.685899	0.000000
semimcfraeke	9	0.692905	0.000000
semimcfvlb	0	0.891046	0.000000
semimcfvlb	1	0.878527	0.000000
semimcfvlb	2	0.639813	0.000000
semimcfvlb	3	0.626724	0.000000
semimcfvlb	4	0.635093	0.000000
semimcfvlb	5	0.679510	0.000000
semimcfvlb	6	0.679661	0.000000
semimcfvlb	7	0.690181	0.000000
semimcfvlb	8	0.687482	0.000000
semimcfvlb	9	0.677799	0.000000
spf	0	0.898466	0.000000
spf	1	0.914034	0.000000
spf	2	0.653318	0.000000
spf	3	0.658105	0.000000
spf	4	0.668200	0.000000
spf	5	0.663438	0.000000
spf	6	0.671696	0.000000
spf	7	0.670678	0.000000
spf	8	0.659775	0.000000
spf	9	0.669412	0.000000
vlb	0	0.847255	0.000000
vlb	1	0.849642	0.000000
vlb	2	0.588205	0.000000
vlb	3	0.569262	0.000000
vlb	4	0.575180	0.000000
vlb	5	0.588313	0.000000
vlb	6	0.607273	0.000000
vlb	7	0.581964	0.000000
vlb	8	0.592831	0.000000
vlb	9	0.582356	0.000000

