# solver	iter	.0.600000-congestion	stddev
ecmp	0	0.215456	0.000000
ecmp	1	0.211623	0.000000
ecmp	2	0.174404	0.000000
ecmp	3	0.147882	0.000000
ecmp	4	0.143165	0.000000
ecmp	5	0.154565	0.000000
ecmp	6	0.157905	0.000000
ecmp	7	0.158607	0.000000
ecmp	8	0.151918	0.000000
ecmp	9	0.146317	0.000000
ksp	0	0.607998	0.000000
ksp	1	0.609053	0.000000
ksp	2	0.470335	0.000000
ksp	3	0.445398	0.000000
ksp	4	0.441427	0.000000
ksp	5	0.477640	0.000000
ksp	6	0.497417	0.000000
ksp	7	0.483901	0.000000
ksp	8	0.477780	0.000000
ksp	9	0.467351	0.000000
mcf	0	0.511875	0.000000
mcf	1	0.563905	0.000000
mcf	2	0.316796	0.000000
mcf	3	0.292431	0.000000
mcf	4	0.314098	0.000000
mcf	5	0.326054	0.000000
mcf	6	0.379381	0.000000
mcf	7	0.385204	0.000000
mcf	8	0.325211	0.000000
mcf	9	0.337073	0.000000
raeke	0	0.506589	0.000000
raeke	1	0.495966	0.000000
raeke	2	0.334371	0.000000
raeke	3	0.302710	0.000000
raeke	4	0.299469	0.000000
raeke	5	0.314269	0.000000
raeke	6	0.323139	0.000000
raeke	7	0.316554	0.000000
raeke	8	0.335365	0.000000
raeke	9	0.301438	0.000000
semimcfecmp	0	0.220229	0.000000
semimcfecmp	1	0.227120	0.000000
semimcfecmp	2	0.151388	0.000000
semimcfecmp	3	0.146207	0.000000
semimcfecmp	4	0.140193	0.000000
semimcfecmp	5	0.148911	0.000000
semimcfecmp	6	0.150398	0.000000
semimcfecmp	7	0.150743	0.000000
semimcfecmp	8	0.145744	0.000000
semimcfecmp	9	0.139713	0.000000
semimcfksp	0	0.457612	0.000000
semimcfksp	1	0.395644	0.000000
semimcfksp	2	0.296047	0.000000
semimcfksp	3	0.300145	0.000000
semimcfksp	4	0.269113	0.000000
semimcfksp	5	0.271539	0.000000
semimcfksp	6	0.353227	0.000000
semimcfksp	7	0.331766	0.000000
semimcfksp	8	0.282917	0.000000
semimcfksp	9	0.330535	0.000000
semimcfmcf	0	0.488609	0.000000
semimcfmcf	1	0.512773	0.000000
semimcfmcf	2	0.344251	0.000000
semimcfmcf	3	0.321837	0.000000
semimcfmcf	4	0.332359	0.000000
semimcfmcf	5	0.330563	0.000000
semimcfmcf	6	0.382901	0.000000
semimcfmcf	7	0.370636	0.000000
semimcfmcf	8	0.401972	0.000000
semimcfmcf	9	0.331495	0.000000
semimcfraeke	0	0.433535	0.000000
semimcfraeke	1	0.429202	0.000000
semimcfraeke	2	0.420127	0.000000
semimcfraeke	3	0.391856	0.000000
semimcfraeke	4	0.330019	0.000000
semimcfraeke	5	0.379063	0.000000
semimcfraeke	6	0.341901	0.000000
semimcfraeke	7	0.315677	0.000000
semimcfraeke	8	0.326634	0.000000
semimcfraeke	9	0.357822	0.000000
semimcfvlb	0	0.280661	0.000000
semimcfvlb	1	0.350923	0.000000
semimcfvlb	2	0.225900	0.000000
semimcfvlb	3	0.193976	0.000000
semimcfvlb	4	0.223120	0.000000
semimcfvlb	5	0.309905	0.000000
semimcfvlb	6	0.260646	0.000000
semimcfvlb	7	0.312076	0.000000
semimcfvlb	8	0.305588	0.000000
semimcfvlb	9	0.301786	0.000000
spf	0	0.250854	0.000000
spf	1	0.242123	0.000000
spf	2	0.131060	0.000000
spf	3	0.125027	0.000000
spf	4	0.122221	0.000000
spf	5	0.119667	0.000000
spf	6	0.145217	0.000000
spf	7	0.134502	0.000000
spf	8	0.149613	0.000000
spf	9	0.125313	0.000000
vlb	0	0.423939	0.000000
vlb	1	0.389077	0.000000
vlb	2	0.272177	0.000000
vlb	3	0.268291	0.000000
vlb	4	0.264815	0.000000
vlb	5	0.290244	0.000000
vlb	6	0.257854	0.000000
vlb	7	0.228319	0.000000
vlb	8	0.278242	0.000000
vlb	9	0.213608	0.000000

