# solver	iter	congestion-drop	stddev
ecmp	0	0.073135	0.000000
ecmp	1	0.079425	0.000000
ecmp	2	0.082130	0.000000
ecmp	3	0.078664	0.000000
ecmp	4	0.072376	0.000000
ecmp	5	0.062166	0.000000
ecmp	6	0.061360	0.000000
ecmp	7	0.057445	0.000000
ecmp	8	0.059215	0.000000
ecmp	9	0.058716	0.000000
ksp	0	0.319234	0.000000
ksp	1	0.301635	0.000000
ksp	2	0.327303	0.000000
ksp	3	0.321782	0.000000
ksp	4	0.307064	0.000000
ksp	5	0.305108	0.000000
ksp	6	0.317578	0.000000
ksp	7	0.309158	0.000000
ksp	8	0.318723	0.000000
ksp	9	0.300471	0.000000
mcf	0	0.125619	0.000000
mcf	1	0.131609	0.000000
mcf	2	0.135142	0.000000
mcf	3	0.144373	0.000000
mcf	4	0.124876	0.000000
mcf	5	0.093875	0.000000
mcf	6	0.091356	0.000000
mcf	7	0.094574	0.000000
mcf	8	0.074898	0.000000
mcf	9	0.085325	0.000000
raeke	0	0.161110	0.000000
raeke	1	0.149138	0.000000
raeke	2	0.166310	0.000000
raeke	3	0.175122	0.000000
raeke	4	0.164984	0.000000
raeke	5	0.145447	0.000000
raeke	6	0.149002	0.000000
raeke	7	0.144112	0.000000
raeke	8	0.142864	0.000000
raeke	9	0.147331	0.000000
semimcfecmp	0	0.070963	0.000000
semimcfecmp	1	0.077101	0.000000
semimcfecmp	2	0.080396	0.000000
semimcfecmp	3	0.076869	0.000000
semimcfecmp	4	0.070757	0.000000
semimcfecmp	5	0.060583	0.000000
semimcfecmp	6	0.059738	0.000000
semimcfecmp	7	0.055722	0.000000
semimcfecmp	8	0.060317	0.000000
semimcfecmp	9	0.056771	0.000000
semimcfksp	0	0.085202	0.000000
semimcfksp	1	0.104290	0.000000
semimcfksp	2	0.123827	0.000000
semimcfksp	3	0.115669	0.000000
semimcfksp	4	0.091091	0.000000
semimcfksp	5	0.075995	0.000000
semimcfksp	6	0.054064	0.000000
semimcfksp	7	0.077862	0.000000
semimcfksp	8	0.056271	0.000000
semimcfksp	9	0.066948	0.000000
semimcfmcf	0	0.127337	0.000000
semimcfmcf	1	0.128119	0.000000
semimcfmcf	2	0.151662	0.000000
semimcfmcf	3	0.155078	0.000000
semimcfmcf	4	0.136473	0.000000
semimcfmcf	5	0.117843	0.000000
semimcfmcf	6	0.115755	0.000000
semimcfmcf	7	0.117936	0.000000
semimcfmcf	8	0.118905	0.000000
semimcfmcf	9	0.108487	0.000000
semimcfraeke	0	0.090135	0.000000
semimcfraeke	1	0.100669	0.000000
semimcfraeke	2	0.133302	0.000000
semimcfraeke	3	0.133844	0.000000
semimcfraeke	4	0.102563	0.000000
semimcfraeke	5	0.077607	0.000000
semimcfraeke	6	0.072227	0.000000
semimcfraeke	7	0.068533	0.000000
semimcfraeke	8	0.066757	0.000000
semimcfraeke	9	0.094300	0.000000
semimcfvlb	0	0.069074	0.000000
semimcfvlb	1	0.117417	0.000000
semimcfvlb	2	0.117434	0.000000
semimcfvlb	3	0.127225	0.000000
semimcfvlb	4	0.097598	0.000000
semimcfvlb	5	0.064533	0.000000
semimcfvlb	6	0.063118	0.000000
semimcfvlb	7	0.081992	0.000000
semimcfvlb	8	0.070138	0.000000
semimcfvlb	9	0.052264	0.000000
spf	0	0.101534	0.000000
spf	1	0.085966	0.000000
spf	2	0.120115	0.000000
spf	3	0.098684	0.000000
spf	4	0.086181	0.000000
spf	5	0.092521	0.000000
spf	6	0.098512	0.000000
spf	7	0.088516	0.000000
spf	8	0.104407	0.000000
spf	9	0.083624	0.000000
vlb	0	0.163705	0.000000
vlb	1	0.140956	0.000000
vlb	2	0.187261	0.000000
vlb	3	0.179317	0.000000
vlb	4	0.160790	0.000000
vlb	5	0.156355	0.000000
vlb	6	0.191266	0.000000
vlb	7	0.166487	0.000000
vlb	8	0.167014	0.000000
vlb	9	0.166859	0.000000

