# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.316535	0.000000
ecmp	1	0.309277	0.000000
ecmp	2	0.324579	0.000000
ecmp	3	0.316370	0.000000
ecmp	4	0.307727	0.000000
ecmp	5	0.309010	0.000000
ecmp	6	0.317508	0.000000
ecmp	7	0.313541	0.000000
ecmp	8	0.317077	0.000000
ecmp	9	0.303263	0.000000
ksp	0	0.611116	0.000000
ksp	1	0.593147	0.000000
ksp	2	0.620224	0.000000
ksp	3	0.609755	0.000000
ksp	4	0.593555	0.000000
ksp	5	0.594707	0.000000
ksp	6	0.612495	0.000000
ksp	7	0.602394	0.000000
ksp	8	0.606374	0.000000
ksp	9	0.582800	0.000000
mcf	0	0.475011	0.000000
mcf	1	0.465518	0.000000
mcf	2	0.473322	0.000000
mcf	3	0.471797	0.000000
mcf	4	0.454586	0.000000
mcf	5	0.455585	0.000000
mcf	6	0.457858	0.000000
mcf	7	0.467455	0.000000
mcf	8	0.476494	0.000000
mcf	9	0.445531	0.000000
raeke	0	0.420072	0.000000
raeke	1	0.409812	0.000000
raeke	2	0.430692	0.000000
raeke	3	0.419984	0.000000
raeke	4	0.408394	0.000000
raeke	5	0.410012	0.000000
raeke	6	0.421540	0.000000
raeke	7	0.415854	0.000000
raeke	8	0.420806	0.000000
raeke	9	0.402049	0.000000
semimcfecmp	0	0.316535	0.000000
semimcfecmp	1	0.309277	0.000000
semimcfecmp	2	0.324579	0.000000
semimcfecmp	3	0.316370	0.000000
semimcfecmp	4	0.307727	0.000000
semimcfecmp	5	0.309010	0.000000
semimcfecmp	6	0.317508	0.000000
semimcfecmp	7	0.313541	0.000000
semimcfecmp	8	0.317077	0.000000
semimcfecmp	9	0.303263	0.000000
semimcfksp	0	0.401928	0.000000
semimcfksp	1	0.406191	0.000000
semimcfksp	2	0.418894	0.000000
semimcfksp	3	0.401564	0.000000
semimcfksp	4	0.387829	0.000000
semimcfksp	5	0.392058	0.000000
semimcfksp	6	0.406197	0.000000
semimcfksp	7	0.414107	0.000000
semimcfksp	8	0.399540	0.000000
semimcfksp	9	0.389049	0.000000
semimcfmcf	0	0.475633	0.000000
semimcfmcf	1	0.462940	0.000000
semimcfmcf	2	0.492617	0.000000
semimcfmcf	3	0.474522	0.000000
semimcfmcf	4	0.461431	0.000000
semimcfmcf	5	0.470366	0.000000
semimcfmcf	6	0.482409	0.000000
semimcfmcf	7	0.478946	0.000000
semimcfmcf	8	0.483946	0.000000
semimcfmcf	9	0.456146	0.000000
semimcfraeke	0	0.408621	0.000000
semimcfraeke	1	0.413252	0.000000
semimcfraeke	2	0.459034	0.000000
semimcfraeke	3	0.438921	0.000000
semimcfraeke	4	0.396199	0.000000
semimcfraeke	5	0.404320	0.000000
semimcfraeke	6	0.406812	0.000000
semimcfraeke	7	0.418897	0.000000
semimcfraeke	8	0.418998	0.000000
semimcfraeke	9	0.400259	0.000000
semimcfvlb	0	0.387728	0.000000
semimcfvlb	1	0.409113	0.000000
semimcfvlb	2	0.408884	0.000000
semimcfvlb	3	0.391236	0.000000
semimcfvlb	4	0.366451	0.000000
semimcfvlb	5	0.379282	0.000000
semimcfvlb	6	0.395101	0.000000
semimcfvlb	7	0.394795	0.000000
semimcfvlb	8	0.401649	0.000000
semimcfvlb	9	0.373893	0.000000
spf	0	0.316535	0.000000
spf	1	0.309277	0.000000
spf	2	0.324579	0.000000
spf	3	0.316370	0.000000
spf	4	0.307727	0.000000
spf	5	0.309010	0.000000
spf	6	0.317508	0.000000
spf	7	0.313541	0.000000
spf	8	0.317077	0.000000
spf	9	0.303263	0.000000
vlb	0	0.425803	0.000000
vlb	1	0.412592	0.000000
vlb	2	0.444031	0.000000
vlb	3	0.430671	0.000000
vlb	4	0.414817	0.000000
vlb	5	0.414214	0.000000
vlb	6	0.428421	0.000000
vlb	7	0.417012	0.000000
vlb	8	0.423691	0.000000
vlb	9	0.411513	0.000000

