# solver	iter	.0.600000-congestion	stddev
ecmp	0	0.215456	0.000000
ecmp	1	0.211623	0.000000
ecmp	2	0.214645	0.000000
ecmp	3	0.225454	0.000000
ecmp	4	0.220404	0.000000
ecmp	5	0.223595	0.000000
ecmp	6	0.192692	0.000000
ecmp	7	0.202433	0.000000
ecmp	8	0.190725	0.000000
ecmp	9	0.204851	0.000000
ksp	0	0.607998	0.000000
ksp	1	0.609053	0.000000
ksp	2	0.612866	0.000000
ksp	3	0.596557	0.000000
ksp	4	0.587617	0.000000
ksp	5	0.596563	0.000000
ksp	6	0.615242	0.000000
ksp	7	0.610136	0.000000
ksp	8	0.600448	0.000000
ksp	9	0.581391	0.000000
mcf	0	0.511875	0.000000
mcf	1	0.563905	0.000000
mcf	2	0.524126	0.000000
mcf	3	0.518564	0.000000
mcf	4	0.502685	0.000000
mcf	5	0.497468	0.000000
mcf	6	0.556795	0.000000
mcf	7	0.553327	0.000000
mcf	8	0.580460	0.000000
mcf	9	0.536922	0.000000
raeke	0	0.526789	0.000000
raeke	1	0.524798	0.000000
raeke	2	0.561108	0.000000
raeke	3	0.506765	0.000000
raeke	4	0.497685	0.000000
raeke	5	0.527128	0.000000
raeke	6	0.553934	0.000000
raeke	7	0.538005	0.000000
raeke	8	0.530740	0.000000
raeke	9	0.484655	0.000000
semimcfecmp	0	0.220229	0.000000
semimcfecmp	1	0.227120	0.000000
semimcfecmp	2	0.234696	0.000000
semimcfecmp	3	0.211297	0.000000
semimcfecmp	4	0.204133	0.000000
semimcfecmp	5	0.201012	0.000000
semimcfecmp	6	0.218449	0.000000
semimcfecmp	7	0.211659	0.000000
semimcfecmp	8	0.223514	0.000000
semimcfecmp	9	0.188532	0.000000
semimcfksp	0	0.457612	0.000000
semimcfksp	1	0.395644	0.000000
semimcfksp	2	0.361415	0.000000
semimcfksp	3	0.339089	0.000000
semimcfksp	4	0.376025	0.000000
semimcfksp	5	0.389727	0.000000
semimcfksp	6	0.452929	0.000000
semimcfksp	7	0.471109	0.000000
semimcfksp	8	0.322864	0.000000
semimcfksp	9	0.440095	0.000000
semimcfmcf	0	0.488609	0.000000
semimcfmcf	1	0.512773	0.000000
semimcfmcf	2	0.522921	0.000000
semimcfmcf	3	0.518653	0.000000
semimcfmcf	4	0.509658	0.000000
semimcfmcf	5	0.511645	0.000000
semimcfmcf	6	0.560309	0.000000
semimcfmcf	7	0.537979	0.000000
semimcfmcf	8	0.569706	0.000000
semimcfmcf	9	0.510268	0.000000
semimcfraeke	0	0.427681	0.000000
semimcfraeke	1	0.406054	0.000000
semimcfraeke	2	0.551571	0.000000
semimcfraeke	3	0.540424	0.000000
semimcfraeke	4	0.468693	0.000000
semimcfraeke	5	0.500216	0.000000
semimcfraeke	6	0.395033	0.000000
semimcfraeke	7	0.480330	0.000000
semimcfraeke	8	0.401433	0.000000
semimcfraeke	9	0.357030	0.000000
semimcfvlb	0	0.396789	0.000000
semimcfvlb	1	0.497730	0.000000
semimcfvlb	2	0.377458	0.000000
semimcfvlb	3	0.343323	0.000000
semimcfvlb	4	0.332446	0.000000
semimcfvlb	5	0.374578	0.000000
semimcfvlb	6	0.478722	0.000000
semimcfvlb	7	0.419671	0.000000
semimcfvlb	8	0.425115	0.000000
semimcfvlb	9	0.347849	0.000000
spf	0	0.250854	0.000000
spf	1	0.242123	0.000000
spf	2	0.248918	0.000000
spf	3	0.263172	0.000000
spf	4	0.256378	0.000000
spf	5	0.260801	0.000000
spf	6	0.223631	0.000000
spf	7	0.234178	0.000000
spf	8	0.219645	0.000000
spf	9	0.233180	0.000000
vlb	0	0.408431	0.000000
vlb	1	0.395399	0.000000
vlb	2	0.429416	0.000000
vlb	3	0.437089	0.000000
vlb	4	0.394909	0.000000
vlb	5	0.413187	0.000000
vlb	6	0.442700	0.000000
vlb	7	0.407394	0.000000
vlb	8	0.413279	0.000000
vlb	9	0.332958	0.000000

