# solver	iter	mean-congestion	stddev
ecmp	0	0.115346	0.000000
ecmp	1	0.113265	0.000000
ecmp	2	0.137210	0.000000
ecmp	3	0.127238	0.000000
ecmp	4	0.115544	0.000000
ecmp	5	0.123936	0.000000
ecmp	6	0.113720	0.000000
ecmp	7	0.114304	0.000000
ecmp	8	0.121321	0.000000
ecmp	9	0.125194	0.000000
ecmp	10	0.126036	0.000000
ecmp	11	0.127218	0.000000
ecmp	12	0.133263	0.000000
ecmp	13	0.134604	0.000000
ecmp	14	0.136475	0.000000
ecmp	15	0.127795	0.000000
ecmp	16	0.126611	0.000000
ecmp	17	0.138155	0.000000
ecmp	18	0.139902	0.000000
ecmp	19	0.142219	0.000000
ecmp	20	0.143800	0.000000
ecmp	21	0.138389	0.000000
ecmp	22	0.144746	0.000000
ecmp	23	0.146027	0.000000
ksp	0	0.171293	0.000000
ksp	1	0.168148	0.000000
ksp	2	0.182100	0.000000
ksp	3	0.166990	0.000000
ksp	4	0.151018	0.000000
ksp	5	0.161913	0.000000
ksp	6	0.148650	0.000000
ksp	7	0.149042	0.000000
ksp	8	0.158105	0.000000
ksp	9	0.163187	0.000000
ksp	10	0.164483	0.000000
ksp	11	0.166462	0.000000
ksp	12	0.175621	0.000000
ksp	13	0.178264	0.000000
ksp	14	0.180975	0.000000
ksp	15	0.167522	0.000000
ksp	16	0.165691	0.000000
ksp	17	0.183589	0.000000
ksp	18	0.186397	0.000000
ksp	19	0.189709	0.000000
ksp	20	0.192188	0.000000
ksp	21	0.183836	0.000000
ksp	22	0.193520	0.000000
ksp	23	0.195418	0.000000
mcf	0	0.166153	0.000000
mcf	1	0.168083	0.000000
mcf	2	0.195377	0.000000
mcf	3	0.192896	0.000000
mcf	4	0.173498	0.000000
mcf	5	0.186631	0.000000
mcf	6	0.172629	0.000000
mcf	7	0.173279	0.000000
mcf	8	0.183386	0.000000
mcf	9	0.188578	0.000000
mcf	10	0.189678	0.000000
mcf	11	0.191958	0.000000
mcf	12	0.194198	0.000000
mcf	13	0.195149	0.000000
mcf	14	0.196285	0.000000
mcf	15	0.190511	0.000000
mcf	16	0.190119	0.000000
mcf	17	0.199778	0.000000
mcf	18	0.196158	0.000000
mcf	19	0.197762	0.000000
mcf	20	0.198953	0.000000
mcf	21	0.196167	0.000000
mcf	22	0.200737	0.000000
mcf	23	0.199219	0.000000
raeke	0	0.145533	0.000000
raeke	1	0.142887	0.000000
raeke	2	0.157953	0.000000
raeke	3	0.155678	0.000000
raeke	4	0.141873	0.000000
raeke	5	0.150058	0.000000
raeke	6	0.137834	0.000000
raeke	7	0.138552	0.000000
raeke	8	0.145402	0.000000
raeke	9	0.151300	0.000000
raeke	10	0.152786	0.000000
raeke	11	0.155013	0.000000
raeke	12	0.162831	0.000000
raeke	13	0.163600	0.000000
raeke	14	0.165165	0.000000
raeke	15	0.154048	0.000000
raeke	16	0.153033	0.000000
raeke	17	0.170012	0.000000
raeke	18	0.172161	0.000000
raeke	19	0.171995	0.000000
raeke	20	0.174969	0.000000
raeke	21	0.168375	0.000000
raeke	22	0.177305	0.000000
raeke	23	0.178948	0.000000
semimcfecmp	0	0.115346	0.000000
semimcfecmp	1	0.113265	0.000000
semimcfecmp	2	0.137215	0.000000
semimcfecmp	3	0.135991	0.000000
semimcfecmp	4	0.123596	0.000000
semimcfecmp	5	0.132571	0.000000
semimcfecmp	6	0.121646	0.000000
semimcfecmp	7	0.122278	0.000000
semimcfecmp	8	0.129775	0.000000
semimcfecmp	9	0.133894	0.000000
semimcfecmp	10	0.134731	0.000000
semimcfecmp	11	0.135931	0.000000
semimcfecmp	12	0.142146	0.000000
semimcfecmp	13	0.143534	0.000000
semimcfecmp	14	0.145474	0.000000
semimcfecmp	15	0.136564	0.000000
semimcfecmp	16	0.135334	0.000000
semimcfecmp	17	0.147213	0.000000
semimcfecmp	18	0.149020	0.000000
semimcfecmp	19	0.151401	0.000000
semimcfecmp	20	0.153037	0.000000
semimcfecmp	21	0.147443	0.000000
semimcfecmp	22	0.154013	0.000000
semimcfecmp	23	0.155098	0.000000
semimcfksp	0	0.141152	0.000000
semimcfksp	1	0.132330	0.000000
semimcfksp	2	0.148947	0.000000
semimcfksp	3	0.145835	0.000000
semimcfksp	4	0.132429	0.000000
semimcfksp	5	0.141818	0.000000
semimcfksp	6	0.130068	0.000000
semimcfksp	7	0.130401	0.000000
semimcfksp	8	0.138464	0.000000
semimcfksp	9	0.143128	0.000000
semimcfksp	10	0.143960	0.000000
semimcfksp	11	0.144887	0.000000
semimcfksp	12	0.152077	0.000000
semimcfksp	13	0.154179	0.000000
semimcfksp	14	0.156357	0.000000
semimcfksp	15	0.145746	0.000000
semimcfksp	16	0.144560	0.000000
semimcfksp	17	0.157878	0.000000
semimcfksp	18	0.159988	0.000000
semimcfksp	19	0.162500	0.000000
semimcfksp	20	0.164287	0.000000
semimcfksp	21	0.157895	0.000000
semimcfksp	22	0.165230	0.000000
semimcfksp	23	0.166379	0.000000
semimcfmcf	0	0.166153	0.000000
semimcfmcf	1	0.164264	0.000000
semimcfmcf	2	0.195356	0.000000
semimcfmcf	3	0.204587	0.000000
semimcfmcf	4	0.186233	0.000000
semimcfmcf	5	0.200450	0.000000
semimcfmcf	6	0.184840	0.000000
semimcfmcf	7	0.185660	0.000000
semimcfmcf	8	0.196320	0.000000
semimcfmcf	9	0.202267	0.000000
semimcfmcf	10	0.203482	0.000000
semimcfmcf	11	0.205585	0.000000
semimcfmcf	12	0.207268	0.000000
semimcfmcf	13	0.207871	0.000000
semimcfmcf	14	0.208762	0.000000
semimcfmcf	15	0.204219	0.000000
semimcfmcf	16	0.203966	0.000000
semimcfmcf	17	0.208347	0.000000
semimcfmcf	18	0.212615	0.000000
semimcfmcf	19	0.209779	0.000000
semimcfmcf	20	0.210252	0.000000
semimcfmcf	21	0.208469	0.000000
semimcfmcf	22	0.212846	0.000000
semimcfmcf	23	0.211035	0.000000
semimcfraeke	0	0.134089	0.000000
semimcfraeke	1	0.141881	0.000000
semimcfraeke	2	0.152161	0.000000
semimcfraeke	3	0.149008	0.000000
semimcfraeke	4	0.134680	0.000000
semimcfraeke	5	0.144764	0.000000
semimcfraeke	6	0.131648	0.000000
semimcfraeke	7	0.131900	0.000000
semimcfraeke	8	0.140131	0.000000
semimcfraeke	9	0.144682	0.000000
semimcfraeke	10	0.143647	0.000000
semimcfraeke	11	0.146459	0.000000
semimcfraeke	12	0.154112	0.000000
semimcfraeke	13	0.155618	0.000000
semimcfraeke	14	0.156832	0.000000
semimcfraeke	15	0.146030	0.000000
semimcfraeke	16	0.146378	0.000000
semimcfraeke	17	0.160791	0.000000
semimcfraeke	18	0.157932	0.000000
semimcfraeke	19	0.164347	0.000000
semimcfraeke	20	0.166790	0.000000
semimcfraeke	21	0.158456	0.000000
semimcfraeke	22	0.167684	0.000000
semimcfraeke	23	0.169593	0.000000
semimcfvlb	0	0.136631	0.000000
semimcfvlb	1	0.139156	0.000000
semimcfvlb	2	0.149040	0.000000
semimcfvlb	3	0.145060	0.000000
semimcfvlb	4	0.131663	0.000000
semimcfvlb	5	0.140407	0.000000
