# solver	iter	churn	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	34.000000	0.000000
ecmp	3	34.000000	0.000000
ecmp	4	34.000000	0.000000
ecmp	5	34.000000	0.000000
ecmp	6	34.000000	0.000000
ecmp	7	34.000000	0.000000
ecmp	8	34.000000	0.000000
ecmp	9	34.000000	0.000000
ecmp	10	34.000000	0.000000
ecmp	11	34.000000	0.000000
ecmp	12	34.000000	0.000000
ecmp	13	34.000000	0.000000
ecmp	14	34.000000	0.000000
ecmp	15	34.000000	0.000000
ecmp	16	34.000000	0.000000
ecmp	17	34.000000	0.000000
ecmp	18	34.000000	0.000000
ecmp	19	34.000000	0.000000
ecmp	20	34.000000	0.000000
ecmp	21	34.000000	0.000000
ecmp	22	34.000000	0.000000
ecmp	23	34.000000	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	87.000000	0.000000
ksp	3	87.000000	0.000000
ksp	4	87.000000	0.000000
ksp	5	87.000000	0.000000
ksp	6	87.000000	0.000000
ksp	7	87.000000	0.000000
ksp	8	87.000000	0.000000
ksp	9	87.000000	0.000000
ksp	10	87.000000	0.000000
ksp	11	87.000000	0.000000
ksp	12	87.000000	0.000000
ksp	13	87.000000	0.000000
ksp	14	87.000000	0.000000
ksp	15	87.000000	0.000000
ksp	16	87.000000	0.000000
ksp	17	87.000000	0.000000
ksp	18	87.000000	0.000000
ksp	19	87.000000	0.000000
ksp	20	87.000000	0.000000
ksp	21	87.000000	0.000000
ksp	22	87.000000	0.000000
ksp	23	87.000000	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	91.000000	0.000000
mcf	3	99.000000	0.000000
mcf	4	91.000000	0.000000
mcf	5	86.000000	0.000000
mcf	6	92.000000	0.000000
mcf	7	93.000000	0.000000
mcf	8	86.000000	0.000000
mcf	9	88.000000	0.000000
mcf	10	84.000000	0.000000
mcf	11	92.000000	0.000000
mcf	12	97.000000	0.000000
mcf	13	89.000000	0.000000
mcf	14	90.000000	0.000000
mcf	15	96.000000	0.000000
mcf	16	95.000000	0.000000
mcf	17	91.000000	0.000000
mcf	18	100.000000	0.000000
mcf	19	83.000000	0.000000
mcf	20	89.000000	0.000000
mcf	21	90.000000	0.000000
mcf	22	90.000000	0.000000
mcf	23	95.000000	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	146.000000	0.000000
raeke	3	99.000000	0.000000
raeke	4	79.000000	0.000000
raeke	5	52.000000	0.000000
raeke	6	42.000000	0.000000
raeke	7	64.000000	0.000000
raeke	8	70.000000	0.000000
raeke	9	95.000000	0.000000
raeke	10	49.000000	0.000000
raeke	11	92.000000	0.000000
raeke	12	72.000000	0.000000
raeke	13	84.000000	0.000000
raeke	14	80.000000	0.000000
raeke	15	104.000000	0.000000
raeke	16	88.000000	0.000000
raeke	17	67.000000	0.000000
raeke	18	39.000000	0.000000
raeke	19	70.000000	0.000000
raeke	20	94.000000	0.000000
raeke	21	90.000000	0.000000
raeke	22	88.000000	0.000000
raeke	23	75.000000	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	34.000000	0.000000
semimcfecmp	3	0.000000	0.000000
semimcfecmp	4	0.000000	0.000000
semimcfecmp	5	0.000000	0.000000
semimcfecmp	6	0.000000	0.000000
semimcfecmp	7	0.000000	0.000000
semimcfecmp	8	0.000000	0.000000
semimcfecmp	9	0.000000	0.000000
semimcfecmp	10	0.000000	0.000000
semimcfecmp	11	0.000000	0.000000
semimcfecmp	12	0.000000	0.000000
semimcfecmp	13	0.000000	0.000000
semimcfecmp	14	0.000000	0.000000
semimcfecmp	15	0.000000	0.000000
semimcfecmp	16	0.000000	0.000000
semimcfecmp	17	0.000000	0.000000
semimcfecmp	18	0.000000	0.000000
semimcfecmp	19	0.000000	0.000000
semimcfecmp	20	0.000000	0.000000
semimcfecmp	21	0.000000	0.000000
semimcfecmp	22	0.000000	0.000000
semimcfecmp	23	0.000000	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	87.000000	0.000000
semimcfksp	3	0.000000	0.000000
semimcfksp	4	0.000000	0.000000
semimcfksp	5	0.000000	0.000000
semimcfksp	6	0.000000	0.000000
semimcfksp	7	0.000000	0.000000
semimcfksp	8	0.000000	0.000000
semimcfksp	9	0.000000	0.000000
semimcfksp	10	0.000000	0.000000
semimcfksp	11	0.000000	0.000000
semimcfksp	12	0.000000	0.000000
semimcfksp	13	0.000000	0.000000
semimcfksp	14	0.000000	0.000000
semimcfksp	15	0.000000	0.000000
semimcfksp	16	0.000000	0.000000
semimcfksp	17	0.000000	0.000000
semimcfksp	18	0.000000	0.000000
semimcfksp	19	0.000000	0.000000
semimcfksp	20	0.000000	0.000000
semimcfksp	21	0.000000	0.000000
semimcfksp	22	0.000000	0.000000
semimcfksp	23	0.000000	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	94.000000	0.000000
semimcfmcf	3	30.000000	0.000000
semimcfmcf	4	44.000000	0.000000
semimcfmcf	5	42.000000	0.000000
semimcfmcf	6	12.000000	0.000000
semimcfmcf	7	46.000000	0.000000
semimcfmcf	8	26.000000	0.000000
semimcfmcf	9	38.000000	0.000000
semimcfmcf	10	20.000000	0.000000
semimcfmcf	11	40.000000	0.000000
semimcfmcf	12	26.000000	0.000000
semimcfmcf	13	58.000000	0.000000
semimcfmcf	14	14.000000	0.000000
semimcfmcf	15	38.000000	0.000000
semimcfmcf	16	12.000000	0.000000
semimcfmcf	17	40.000000	0.000000
semimcfmcf	18	32.000000	0.000000
semimcfmcf	19	44.000000	0.000000
semimcfmcf	20	30.000000	0.000000
semimcfmcf	21	26.000000	0.000000
semimcfmcf	22	44.000000	0.000000
semimcfmcf	23	38.000000	0.000000
semimcfmcfenv	0	0.000000	0.000000
semimcfmcfenv	1	0.000000	0.000000
semimcfmcfenv	2	88.000000	0.000000
semimcfmcfenv	3	0.000000	0.000000
semimcfmcfenv	4	0.000000	0.000000
semimcfmcfenv	5	0.000000	0.000000
semimcfmcfenv	6	0.000000	0.000000
semimcfmcfenv	7	0.000000	0.000000
semimcfmcfenv	8	0.000000	0.000000
semimcfmcfenv	9	0.000000	0.000000
semimcfmcfenv	10	0.000000	0.000000
semimcfmcfenv	11	0.000000	0.000000
semimcfmcfenv	12	0.000000	0.000000
semimcfmcfenv	13	0.000000	0.000000
semimcfmcfenv	14	0.000000	0.000000
semimcfmcfenv	15	0.000000	0.000000
semimcfmcfenv	16	0.000000	0.000000
semimcfmcfenv	17	0.000000	0.000000
semimcfmcfenv	18	0.000000	0.000000
semimcfmcfenv	19	0.000000	0.000000
semimcfmcfenv	20	0.000000	0.000000
semimcfmcfenv	21	0.000000	0.000000
semimcfmcfenv	22	0.000000	0.000000
semimcfmcfenv	23	0.000000	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	120.000000	0.000000
semimcfraeke	3	61.000000	0.000000
semimcfraeke	4	90.000000	0.000000
semimcfraeke	5	57.000000	0.000000
semimcfraeke	6	53.000000	0.000000
semimcfraeke	7	68.000000	0.000000
semimcfraeke	8	52.000000	0.000000
semimcfraeke	9	34.000000	0.000000
semimcfraeke	10	98.000000	0.000000
semimcfraeke	11	72.000000	0.000000
semimcfraeke	12	58.000000	0.000000
semimcfraeke	13	89.000000	0.000000
semimcfraeke	14	154.000000	0.000000
semimcfraeke	15	115.000000	0.000000
semimcfraeke	16	60.000000	0.000000
semimcfraeke	17	76.000000	0.000000
semimcfraeke	18	121.000000	0.000000
semimcfraeke	19	129.000000	0.000000
semimcfraeke	20	78.000000	0.000000
semimcfraeke	21	76.000000	0.000000
semimcfraeke	22	46.000000	0.000000
semimcfraeke	23	64.000000	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	109.000000	0.000000
semimcfvlb	3	55.000000	0.000000
semimcfvlb	4	55.000000	0.000000
semimcfvlb	5	52.000000	0.000000
semimcfvlb	6	65.000000	0.000000
semimcfvlb	7	52.000000	0.000000
semimcfvlb	8	43.000000	0.000000
semimcfvlb	9	49.000000	0.000000
semimcfvlb	10	43.000000	0.000000
semimcfvlb	11	41.000000	0.000000
semimcfvlb	12	73.000000	0.000000
semimcfvlb	13	63.000000	0.000000
semimcfvlb	14	47.000000	0.000000
semimcfvlb	15	49.000000	0.000000
semimcfvlb	16	41.000000	0.000000
semimcfvlb	17	37.000000	0.000000
semimcfvlb	18	64.000000	0.000000
semimcfvlb	19	63.000000	0.000000
semimcfvlb	20	62.000000	0.000000
semimcfvlb	21	58.000000	0.000000
semimcfvlb	22	52.000000	0.000000
semimcfvlb	23	47.000000	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	26.000000	0.000000
spf	3	26.000000	0.000000
spf	4	26.000000	0.000000
spf	5	26.000000	0.000000
spf	6	26.000000	0.000000
spf	7	26.000000	0.000000
spf	8	26.000000	0.000000
spf	9	26.000000	0.000000
spf	10	26.000000	0.000000
spf	11	26.000000	0.000000
spf	12	26.000000	0.000000
spf	13	26.000000	0.000000
spf	14	26.000000	0.000000
spf	15	26.000000	0.000000
spf	16	26.000000	0.000000
spf	17	26.000000	0.000000
spf	18	26.000000	0.000000
spf	19	26.000000	0.000000
spf	20	26.000000	0.000000
spf	21	26.000000	0.000000
spf	22	26.000000	0.000000
spf	23	26.000000	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	105.000000	0.000000
vlb	3	113.000000	0.000000
vlb	4	105.000000	0.000000
vlb	5	93.000000	0.000000
vlb	6	114.000000	0.000000
vlb	7	105.000000	0.000000
vlb	8	97.000000	0.000000
vlb	9	100.000000	0.000000
vlb	10	115.000000	0.000000
vlb	11	106.000000	0.000000
vlb	12	101.000000	0.000000
vlb	13	112.000000	0.000000
vlb	14	97.000000	0.000000
vlb	15	115.000000	0.000000
vlb	16	104.000000	0.000000
vlb	17	103.000000	0.000000
vlb	18	121.000000	0.000000
vlb	19	121.000000	0.000000
vlb	20	102.000000	0.000000
