# solver	iter	max-congestion	stddev
ecmp	0	0.939686	0.000000
ecmp	1	0.922416	0.000000
ecmp	2	0.293108	0.000000
ecmp	3	0.256464	0.000000
ecmp	4	0.230462	0.000000
ecmp	5	0.239716	0.000000
ecmp	6	0.221039	0.000000
ecmp	7	0.225369	0.000000
ecmp	8	0.239516	0.000000
ecmp	9	0.247440	0.000000
ecmp	10	0.251117	0.000000
ecmp	11	0.254326	0.000000
ecmp	12	0.279774	0.000000
ecmp	13	0.276918	0.000000
ecmp	14	0.288982	0.000000
ecmp	15	0.258964	0.000000
ecmp	16	0.257435	0.000000
ecmp	17	0.298049	0.000000
ecmp	18	0.299617	0.000000
ecmp	19	0.310073	0.000000
ecmp	20	0.315556	0.000000
ecmp	21	0.298115	0.000000
ecmp	22	0.318325	0.000000
ecmp	23	0.323660	0.000000
ksp	0	0.784755	0.000000
ksp	1	0.770334	0.000000
ksp	2	0.978011	0.000000
ksp	3	0.907779	0.000000
ksp	4	0.815921	0.000000
ksp	5	0.872403	0.000000
ksp	6	0.800760	0.000000
ksp	7	0.807935	0.000000
ksp	8	0.853733	0.000000
ksp	9	0.891185	0.000000
ksp	10	0.908451	0.000000
ksp	11	0.924267	0.000000
ksp	12	0.976741	0.000000
ksp	13	0.977343	0.000000
ksp	14	0.977727	0.000000
ksp	15	0.916753	0.000000
ksp	16	0.911789	0.000000
ksp	17	0.978495	0.000000
ksp	18	0.979158	0.000000
ksp	19	0.980169	0.000000
ksp	20	0.980712	0.000000
ksp	21	0.978717	0.000000
ksp	22	0.980633	0.000000
ksp	23	0.981080	0.000000
mcf	0	0.600000	0.000000
mcf	1	0.589987	0.000000
mcf	2	0.643578	0.000000
mcf	3	0.716529	0.000000
mcf	4	0.493174	0.000000
mcf	5	0.539733	0.000000
mcf	6	0.475757	0.000000
mcf	7	0.473260	0.000000
mcf	8	0.508844	0.000000
mcf	9	0.561041	0.000000
mcf	10	0.563253	0.000000
mcf	11	0.574653	0.000000
mcf	12	0.616633	0.000000
mcf	13	0.579471	0.000000
mcf	14	0.581528	0.000000
mcf	15	0.565212	0.000000
mcf	16	0.562152	0.000000
mcf	17	0.678846	0.000000
mcf	18	0.659244	0.000000
mcf	19	0.699717	0.000000
mcf	20	0.663844	0.000000
mcf	21	0.665604	0.000000
mcf	22	0.700682	0.000000
mcf	23	0.721801	0.000000
raeke	0	0.712627	0.000000
raeke	1	0.700161	0.000000
raeke	2	0.978648	0.000000
raeke	3	0.973018	0.000000
raeke	4	0.899811	0.000000
raeke	5	0.962666	0.000000
raeke	6	0.882663	0.000000
raeke	7	0.890620	0.000000
raeke	8	0.941110	0.000000
raeke	9	0.971964	0.000000
raeke	10	0.973035	0.000000
raeke	11	0.973950	0.000000
raeke	12	0.976977	0.000000
raeke	13	0.977715	0.000000
raeke	14	0.978189	0.000000
raeke	15	0.973344	0.000000
raeke	16	0.973055	0.000000
raeke	17	0.979115	0.000000
raeke	18	0.979819	0.000000
raeke	19	0.980868	0.000000
raeke	20	0.981366	0.000000
raeke	21	0.979330	0.000000
raeke	22	0.981367	0.000000
raeke	23	0.981811	0.000000
semimcfecmp	0	0.939262	0.000000
semimcfecmp	1	0.921858	0.000000
semimcfecmp	2	0.283294	0.000000
semimcfecmp	3	0.248076	0.000000
semimcfecmp	4	0.221721	0.000000
semimcfecmp	5	0.234365	0.000000
semimcfecmp	6	0.215620	0.000000
semimcfecmp	7	0.219932	0.000000
semimcfecmp	8	0.233396	0.000000
semimcfecmp	9	0.241540	0.000000
semimcfecmp	10	0.245117	0.000000
semimcfecmp	11	0.250297	0.000000
semimcfecmp	12	0.273004	0.000000
semimcfecmp	13	0.271295	0.000000
semimcfecmp	14	0.281767	0.000000
semimcfecmp	15	0.256466	0.000000
semimcfecmp	16	0.248828	0.000000
semimcfecmp	17	0.288084	0.000000
semimcfecmp	18	0.290294	0.000000
semimcfecmp	19	0.300435	0.000000
semimcfecmp	20	0.305639	0.000000
semimcfecmp	21	0.288741	0.000000
semimcfecmp	22	0.309018	0.000000
semimcfecmp	23	0.313761	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.589987	0.000000
semimcfksp	2	0.981505	0.000000
semimcfksp	3	0.911745	0.000000
semimcfksp	4	0.819426	0.000000
semimcfksp	5	0.874683	0.000000
semimcfksp	6	0.802817	0.000000
semimcfksp	7	0.814203	0.000000
semimcfksp	8	0.856024	0.000000
semimcfksp	9	0.895072	0.000000
semimcfksp	10	0.912351	0.000000
semimcfksp	11	0.927731	0.000000
semimcfksp	12	0.979123	0.000000
semimcfksp	13	0.981132	0.000000
semimcfksp	14	0.979427	0.000000
semimcfksp	15	0.919107	0.000000
semimcfksp	16	0.914131	0.000000
semimcfksp	17	0.980891	0.000000
semimcfksp	18	0.983113	0.000000
semimcfksp	19	0.983285	0.000000
semimcfksp	20	0.983838	0.000000
semimcfksp	21	0.981594	0.000000
semimcfksp	22	0.983845	0.000000
semimcfksp	23	0.984319	0.000000
semimcfmcf	0	0.600000	0.000000
semimcfmcf	1	0.589987	0.000000
semimcfmcf	2	0.652236	0.000000
semimcfmcf	3	0.573801	0.000000
semimcfmcf	4	0.515876	0.000000
semimcfmcf	5	0.549434	0.000000
semimcfmcf	6	0.500863	0.000000
semimcfmcf	7	0.507005	0.000000
semimcfmcf	8	0.535700	0.000000
semimcfmcf	9	0.560983	0.000000
semimcfmcf	10	0.573479	0.000000
semimcfmcf	11	0.585087	0.000000
semimcfmcf	12	0.627620	0.000000
semimcfmcf	13	0.636141	0.000000
semimcfmcf	14	0.646768	0.000000
semimcfmcf	15	0.575087	0.000000
semimcfmcf	16	0.572259	0.000000
semimcfmcf	17	0.661762	0.000000
semimcfmcf	18	0.676052	0.000000
semimcfmcf	19	0.700253	0.000000
semimcfmcf	20	0.710773	0.000000
semimcfmcf	21	0.665953	0.000000
semimcfmcf	22	0.712931	0.000000
semimcfmcf	23	0.721890	0.000000
semimcfraeke	0	0.600000	0.000000
semimcfraeke	1	0.589987	0.000000
semimcfraeke	2	0.985195	0.000000
semimcfraeke	3	0.977503	0.000000
semimcfraeke	4	0.904999	0.000000
semimcfraeke	5	0.970022	0.000000
semimcfraeke	6	0.889564	0.000000
semimcfraeke	7	0.897032	0.000000
semimcfraeke	8	0.948519	0.000000
semimcfraeke	9	0.979484	0.000000
semimcfraeke	10	0.980230	0.000000
semimcfraeke	11	0.980758	0.000000
semimcfraeke	12	0.982787	0.000000
semimcfraeke	13	0.980596	0.000000
semimcfraeke	14	0.983800	0.000000
semimcfraeke	15	0.979995	0.000000
semimcfraeke	16	0.979935	0.000000
semimcfraeke	17	0.984756	0.000000
semimcfraeke	18	0.982518	0.000000
semimcfraeke	19	0.987653	0.000000
semimcfraeke	20	0.988267	0.000000
semimcfraeke	21	0.985661	0.000000
semimcfraeke	22	0.988127	0.000000
semimcfraeke	23	0.988682	0.000000
semimcfvlb	0	0.600000	0.000000
semimcfvlb	1	0.589987	0.000000
semimcfvlb	2	0.981638	0.000000
semimcfvlb	3	0.935808	0.000000
semimcfvlb	4	0.841102	0.000000
semimcfvlb	5	0.903955	0.000000
semimcfvlb	6	0.829446	0.000000
semimcfvlb	7	0.835009	0.000000
semimcfvlb	8	0.884348	0.000000
semimcfvlb	9	0.920371	0.000000
semimcfvlb	10	0.938034	0.000000
semimcfvlb	11	0.954295	0.000000
semimcfvlb	12	0.983277	0.000000
semimcfvlb	13	0.979416	0.000000
semimcfvlb	14	0.979799	0.000000
semimcfvlb	15	0.949233	0.000000
semimcfvlb	16	0.944093	0.000000
semimcfvlb	17	0.985279	0.000000
semimcfvlb	18	0.981269	0.000000
semimcfvlb	19	0.983879	0.000000
semimcfvlb	20	0.984441	0.000000
semimcfvlb	21	0.982161	0.000000
semimcfvlb	22	0.984393	0.000000
semimcfvlb	23	0.984872	0.000000
spf	0	0.939262	0.000000
spf	1	0.921858	0.000000
spf	2	0.340467	0.000000
spf	3	0.297596	0.000000
spf	4	0.264944	0.000000
spf	5	0.285109	0.000000
spf	6	0.262447	0.000000
spf	7	0.264326	0.000000
spf	8	0.284104	0.000000
spf	9	0.294576	0.000000
spf	10	0.298940	0.000000
spf	11	0.306994	0.000000
spf	12	0.331019	0.000000
spf	13	0.332501	0.000000
spf	14	0.341620	0.000000
spf	15	0.314388	0.000000
spf	16	0.299895	0.000000
spf	17	0.347208	0.000000
spf	18	0.352165	0.000000
spf	19	0.364572	0.000000
spf	20	0.370798	0.000000
spf	21	0.350297	0.000000
spf	22	0.374569	0.000000
spf	23	0.380834	0.000000
vlb	0	0.889310	0.000000
vlb	1	0.882086	0.000000
vlb	2	0.972086	0.000000
vlb	3	0.928844	0.000000
vlb	4	0.835079	0.000000
vlb	5	0.867180	0.000000
vlb	6	0.795944	0.000000
vlb	7	0.826684	0.000000
vlb	8	0.938420	0.000000
vlb	9	0.885520	0.000000
vlb	10	0.903409	0.000000
vlb	11	0.969645	0.000000
vlb	12	0.970892	0.000000
vlb	13	0.972359	0.000000
vlb	14	0.972569	0.000000
vlb	15	0.911002	0.000000
vlb	16	0.933032	0.000000
vlb	17	0.972571	0.000000
vlb	18	0.972794	0.000000
vlb	19	0.973762	0.000000
vlb	20	0.974051	0.000000
vlb	21	0.971975	0.000000
vlb	22	0.974494	0.000000
vlb	23	0.974614	0.000000

