# solver	iter	mean-congestion	stddev
ecmp	0	0.115346	0.000000
ecmp	1	0.113265	0.000000
ecmp	2	0.085675	0.000000
ecmp	3	0.075441	0.000000
ecmp	4	0.067426	0.000000
ecmp	5	0.072364	0.000000
ecmp	6	0.066365	0.000000
ecmp	7	0.066654	0.000000
ecmp	8	0.070857	0.000000
ecmp	9	0.073352	0.000000
ecmp	10	0.074493	0.000000
ecmp	11	0.075828	0.000000
ecmp	12	0.081856	0.000000
ecmp	13	0.083164	0.000000
ecmp	14	0.084954	0.000000
ecmp	15	0.075896	0.000000
ecmp	16	0.074829	0.000000
ecmp	17	0.086561	0.000000
ecmp	18	0.088320	0.000000
ecmp	19	0.090845	0.000000
ecmp	20	0.092442	0.000000
ecmp	21	0.087004	0.000000
ecmp	22	0.093434	0.000000
ecmp	23	0.094677	0.000000
ksp	0	0.171293	0.000000
ksp	1	0.168148	0.000000
ksp	2	0.135994	0.000000
ksp	3	0.120138	0.000000
ksp	4	0.107417	0.000000
ksp	5	0.115162	0.000000
ksp	6	0.105740	0.000000
ksp	7	0.105932	0.000000
ksp	8	0.112442	0.000000
ksp	9	0.116388	0.000000
ksp	10	0.117957	0.000000
ksp	11	0.120068	0.000000
ksp	12	0.129487	0.000000
ksp	13	0.132142	0.000000
ksp	14	0.134762	0.000000
ksp	15	0.120646	0.000000
ksp	16	0.118938	0.000000
ksp	17	0.137599	0.000000
ksp	18	0.140570	0.000000
ksp	19	0.144333	0.000000
ksp	20	0.146893	0.000000
ksp	21	0.137981	0.000000
ksp	22	0.148048	0.000000
ksp	23	0.150057	0.000000
mcf	0	0.166153	0.000000
mcf	1	0.168083	0.000000
mcf	2	0.139824	0.000000
mcf	3	0.145792	0.000000
mcf	4	0.112321	0.000000
mcf	5	0.115957	0.000000
mcf	6	0.118608	0.000000
mcf	7	0.118814	0.000000
mcf	8	0.127414	0.000000
mcf	9	0.123900	0.000000
mcf	10	0.122076	0.000000
mcf	11	0.126689	0.000000
mcf	12	0.136019	0.000000
mcf	13	0.141145	0.000000
mcf	14	0.143476	0.000000
mcf	15	0.125353	0.000000
mcf	16	0.121904	0.000000
mcf	17	0.147661	0.000000
mcf	18	0.145927	0.000000
mcf	19	0.147164	0.000000
mcf	20	0.168883	0.000000
mcf	21	0.143282	0.000000
mcf	22	0.149911	0.000000
mcf	23	0.155948	0.000000
raeke	0	0.143469	0.000000
raeke	1	0.140808	0.000000
raeke	2	0.113817	0.000000
raeke	3	0.100370	0.000000
raeke	4	0.089802	0.000000
raeke	5	0.096277	0.000000
raeke	6	0.088312	0.000000
raeke	7	0.088643	0.000000
raeke	8	0.094150	0.000000
raeke	9	0.097527	0.000000
raeke	10	0.098922	0.000000
raeke	11	0.100676	0.000000
raeke	12	0.108630	0.000000
raeke	13	0.110513	0.000000
raeke	14	0.112799	0.000000
raeke	15	0.100924	0.000000
raeke	16	0.099511	0.000000
raeke	17	0.115120	0.000000
raeke	18	0.117524	0.000000
raeke	19	0.120846	0.000000
raeke	20	0.122920	0.000000
raeke	21	0.115513	0.000000
raeke	22	0.123995	0.000000
raeke	23	0.125652	0.000000
semimcfecmp	0	0.115346	0.000000
semimcfecmp	1	0.113265	0.000000
semimcfecmp	2	0.085797	0.000000
semimcfecmp	3	0.075543	0.000000
semimcfecmp	4	0.067518	0.000000
semimcfecmp	5	0.072297	0.000000
semimcfecmp	6	0.066304	0.000000
semimcfecmp	7	0.066742	0.000000
semimcfecmp	8	0.070950	0.000000
semimcfecmp	9	0.073444	0.000000
semimcfecmp	10	0.074587	0.000000
semimcfecmp	11	0.075926	0.000000
semimcfecmp	12	0.081976	0.000000
semimcfecmp	13	0.083101	0.000000
semimcfecmp	14	0.084872	0.000000
semimcfecmp	15	0.075822	0.000000
semimcfecmp	16	0.074756	0.000000
semimcfecmp	17	0.086475	0.000000
semimcfecmp	18	0.088246	0.000000
semimcfecmp	19	0.090959	0.000000
semimcfecmp	20	0.092558	0.000000
semimcfecmp	21	0.087114	0.000000
semimcfecmp	22	0.093552	0.000000
semimcfecmp	23	0.094797	0.000000
semimcfksp	0	0.141152	0.000000
semimcfksp	1	0.132330	0.000000
semimcfksp	2	0.113323	0.000000
semimcfksp	3	0.100462	0.000000
semimcfksp	4	0.089730	0.000000
semimcfksp	5	0.090840	0.000000
semimcfksp	6	0.083280	0.000000
semimcfksp	7	0.094243	0.000000
semimcfksp	8	0.088627	0.000000
semimcfksp	9	0.097107	0.000000
semimcfksp	10	0.098387	0.000000
semimcfksp	11	0.097706	0.000000
semimcfksp	12	0.102134	0.000000
semimcfksp	13	0.110436	0.000000
semimcfksp	14	0.108013	0.000000
semimcfksp	15	0.094898	0.000000
semimcfksp	16	0.093502	0.000000
semimcfksp	17	0.108160	0.000000
semimcfksp	18	0.117060	0.000000
semimcfksp	19	0.116993	0.000000
semimcfksp	20	0.119186	0.000000
semimcfksp	21	0.111870	0.000000
semimcfksp	22	0.119853	0.000000
semimcfksp	23	0.121409	0.000000
semimcfmcf	0	0.166153	0.000000
semimcfmcf	1	0.164264	0.000000
semimcfmcf	2	0.138601	0.000000
semimcfmcf	3	0.122404	0.000000
semimcfmcf	4	0.109362	0.000000
semimcfmcf	5	0.117251	0.000000
semimcfmcf	6	0.107369	0.000000
semimcfmcf	7	0.108473	0.000000
semimcfmcf	8	0.114923	0.000000
semimcfmcf	9	0.118535	0.000000
semimcfmcf	10	0.120634	0.000000
semimcfmcf	11	0.123177	0.000000
semimcfmcf	12	0.132252	0.000000
semimcfmcf	13	0.134305	0.000000
semimcfmcf	14	0.136867	0.000000
semimcfmcf	15	0.121593	0.000000
semimcfmcf	16	0.120660	0.000000
semimcfmcf	17	0.139514	0.000000
semimcfmcf	18	0.142919	0.000000
semimcfmcf	19	0.147324	0.000000
semimcfmcf	20	0.149580	0.000000
semimcfmcf	21	0.140690	0.000000
semimcfmcf	22	0.150968	0.000000
semimcfmcf	23	0.152431	0.000000
semimcfraeke	0	0.135311	0.000000
semimcfraeke	1	0.142342	0.000000
semimcfraeke	2	0.122605	0.000000
semimcfraeke	3	0.099262	0.000000
semimcfraeke	4	0.088823	0.000000
semimcfraeke	5	0.102546	0.000000
semimcfraeke	6	0.094008	0.000000
semimcfraeke	7	0.098455	0.000000
semimcfraeke	8	0.100150	0.000000
semimcfraeke	9	0.104798	0.000000
semimcfraeke	10	0.106111	0.000000
semimcfraeke	11	0.107706	0.000000
semimcfraeke	12	0.116542	0.000000
semimcfraeke	13	0.108966	0.000000
semimcfraeke	14	0.120531	0.000000
semimcfraeke	15	0.108256	0.000000
semimcfraeke	16	0.106703	0.000000
semimcfraeke	17	0.123431	0.000000
semimcfraeke	18	0.115877	0.000000
semimcfraeke	19	0.129125	0.000000
semimcfraeke	20	0.131302	0.000000
semimcfraeke	21	0.123074	0.000000
semimcfraeke	22	0.132499	0.000000
semimcfraeke	23	0.134311	0.000000
semimcfvlb	0	0.135679	0.000000
semimcfvlb	1	0.136382	0.000000
semimcfvlb	2	0.116670	0.000000
semimcfvlb	3	0.097807	0.000000
semimcfvlb	4	0.087343	0.000000
semimcfvlb	5	0.100843	0.000000
