# solver	iter	time	stddev
ecmp	0	0.041966	0.000000
ecmp	1	0.039780	0.000000
ecmp	2	0.039898	0.000000
ecmp	3	0.041787	0.000000
ecmp	4	0.037743	0.000000
ecmp	5	0.041617	0.000000
ecmp	6	0.041158	0.000000
ecmp	7	0.041250	0.000000
ecmp	8	0.040018	0.000000
ecmp	9	0.041371	0.000000
ecmp	10	0.040472	0.000000
ecmp	11	0.063552	0.000000
ecmp	12	0.039716	0.000000
ecmp	13	0.040360	0.000000
ecmp	14	0.038562	0.000000
ecmp	15	0.042326	0.000000
ecmp	16	0.038406	0.000000
ecmp	17	0.041519	0.000000
ecmp	18	0.038058	0.000000
ecmp	19	0.038161	0.000000
ecmp	20	0.041649	0.000000
ecmp	21	0.039152	0.000000
ecmp	22	0.041848	0.000000
ecmp	23	0.040896	0.000000
ksp	0	0.019624	0.000000
ksp	1	0.019247	0.000000
ksp	2	0.018997	0.000000
ksp	3	0.019074	0.000000
ksp	4	0.017745	0.000000
ksp	5	0.017610	0.000000
ksp	6	0.018877	0.000000
ksp	7	0.022104	0.000000
ksp	8	0.018025	0.000000
ksp	9	0.020086	0.000000
ksp	10	0.017902	0.000000
ksp	11	0.018287	0.000000
ksp	12	0.018894	0.000000
ksp	13	0.018258	0.000000
ksp	14	0.019493	0.000000
ksp	15	0.018759	0.000000
ksp	16	0.021481	0.000000
ksp	17	0.019545	0.000000
ksp	18	0.019328	0.000000
ksp	19	0.018150	0.000000
ksp	20	0.019367	0.000000
ksp	21	0.018010	0.000000
ksp	22	0.038334	0.000000
ksp	23	0.017994	0.000000
mcf	0	0.200897	0.000000
mcf	1	0.295133	0.000000
mcf	2	0.263699	0.000000
mcf	3	0.210702	0.000000
mcf	4	0.359009	0.000000
mcf	5	0.276713	0.000000
mcf	6	0.188850	0.000000
mcf	7	0.227548	0.000000
mcf	8	0.186583	0.000000
mcf	9	0.346206	0.000000
mcf	10	0.247010	0.000000
mcf	11	0.241398	0.000000
mcf	12	0.199454	0.000000
mcf	13	0.306531	0.000000
mcf	14	0.260149	0.000000
mcf	15	0.221013	0.000000
mcf	16	0.324781	0.000000
mcf	17	0.410666	0.000000
mcf	18	0.433554	0.000000
mcf	19	0.175026	0.000000
mcf	20	0.358315	0.000000
mcf	21	0.158729	0.000000
mcf	22	0.266342	0.000000
mcf	23	0.381393	0.000000
raeke	0	0.347508	0.000000
raeke	1	0.000441	0.000000
raeke	2	0.000434	0.000000
raeke	3	0.000469	0.000000
raeke	4	0.000482	0.000000
raeke	5	0.000449	0.000000
raeke	6	0.000421	0.000000
raeke	7	0.000553	0.000000
raeke	8	0.000492	0.000000
raeke	9	0.000425	0.000000
raeke	10	0.000440	0.000000
raeke	11	0.000404	0.000000
raeke	12	0.000515	0.000000
raeke	13	0.000382	0.000000
raeke	14	0.000637	0.000000
raeke	15	0.000499	0.000000
raeke	16	0.000439	0.000000
raeke	17	0.000416	0.000000
raeke	18	0.000490	0.000000
raeke	19	0.000480	0.000000
raeke	20	0.000440	0.000000
raeke	21	0.000502	0.000000
raeke	22	0.000613	0.000000
raeke	23	0.000398	0.000000
semimcfecmp	0	0.064135	0.000000
semimcfecmp	1	0.016670	0.000000
semimcfecmp	2	0.046006	0.000000
semimcfecmp	3	0.019232	0.000000
semimcfecmp	4	0.034358	0.000000
semimcfecmp	5	0.034872	0.000000
semimcfecmp	6	0.011260	0.000000
semimcfecmp	7	0.027570	0.000000
semimcfecmp	8	0.064189	0.000000
semimcfecmp	9	0.014789	0.000000
semimcfecmp	10	0.011485	0.000000
semimcfecmp	11	0.050507	0.000000
semimcfecmp	12	0.043029	0.000000
semimcfecmp	13	0.024292	0.000000
semimcfecmp	14	0.038175	0.000000
semimcfecmp	15	0.027443	0.000000
semimcfecmp	16	0.032355	0.000000
semimcfecmp	17	0.027291	0.000000
semimcfecmp	18	0.023506	0.000000
semimcfecmp	19	0.011478	0.000000
semimcfecmp	20	0.026024	0.000000
semimcfecmp	21	0.013356	0.000000
semimcfecmp	22	0.011343	0.000000
semimcfecmp	23	0.012090	0.000000
semimcfksp	0	0.073257	0.000000
semimcfksp	1	0.028754	0.000000
semimcfksp	2	0.020327	0.000000
semimcfksp	3	0.023362	0.000000
semimcfksp	4	0.028554	0.000000
semimcfksp	5	0.049869	0.000000
semimcfksp	6	0.020100	0.000000
semimcfksp	7	0.021837	0.000000
semimcfksp	8	0.021713	0.000000
semimcfksp	9	0.066994	0.000000
semimcfksp	10	0.072209	0.000000
semimcfksp	11	0.019812	0.000000
semimcfksp	12	0.023052	0.000000
semimcfksp	13	0.017657	0.000000
semimcfksp	14	0.065704	0.000000
semimcfksp	15	0.036209	0.000000
semimcfksp	16	0.076202	0.000000
semimcfksp	17	0.068931	0.000000
semimcfksp	18	0.088314	0.000000
semimcfksp	19	0.059840	0.000000
semimcfksp	20	0.018109	0.000000
semimcfksp	21	0.062769	0.000000
semimcfksp	22	0.081769	0.000000
semimcfksp	23	0.066823	0.000000
semimcfmcf	0	0.011793	0.000000
semimcfmcf	1	0.055322	0.000000
semimcfmcf	2	0.026553	0.000000
semimcfmcf	3	0.011390	0.000000
semimcfmcf	4	0.032314	0.000000
semimcfmcf	5	0.062315	0.000000
semimcfmcf	6	0.026074	0.000000
semimcfmcf	7	0.040423	0.000000
semimcfmcf	8	0.029986	0.000000
semimcfmcf	9	0.033042	0.000000
semimcfmcf	10	0.020662	0.000000
semimcfmcf	11	0.045522	0.000000
semimcfmcf	12	0.025029	0.000000
semimcfmcf	13	0.029518	0.000000
semimcfmcf	14	0.020696	0.000000
semimcfmcf	15	0.024549	0.000000
semimcfmcf	16	0.010353	0.000000
semimcfmcf	17	0.027577	0.000000
semimcfmcf	18	0.019421	0.000000
semimcfmcf	19	0.023792	0.000000
semimcfmcf	20	0.060467	0.000000
semimcfmcf	21	0.034042	0.000000
semimcfmcf	22	0.024683	0.000000
semimcfmcf	23	0.028788	0.000000
semimcfraeke	0	0.021051	0.000000
semimcfraeke	1	0.021132	0.000000
