# solver	iter	time	stddev
ecmp	0	0.042324	0.000000
ecmp	1	0.040982	0.000000
ecmp	2	0.039744	0.000000
ecmp	3	0.038257	0.000000
ecmp	4	0.038817	0.000000
ecmp	5	0.039119	0.000000
ecmp	6	0.038560	0.000000
ecmp	7	0.041122	0.000000
ecmp	8	0.037975	0.000000
ecmp	9	0.038875	0.000000
ecmp	10	0.040866	0.000000
ecmp	11	0.039151	0.000000
ecmp	12	0.042233	0.000000
ecmp	13	0.038682	0.000000
ecmp	14	0.043838	0.000000
ecmp	15	0.046112	0.000000
ecmp	16	0.040330	0.000000
ecmp	17	0.041617	0.000000
ecmp	18	0.040165	0.000000
ecmp	19	0.037886	0.000000
ecmp	20	0.039326	0.000000
ecmp	21	0.038402	0.000000
ecmp	22	0.039530	0.000000
ecmp	23	0.046651	0.000000
ksp	0	0.019240	0.000000
ksp	1	0.019306	0.000000
ksp	2	0.019061	0.000000
ksp	3	0.019168	0.000000
ksp	4	0.019079	0.000000
ksp	5	0.042960	0.000000
ksp	6	0.023722	0.000000
ksp	7	0.049752	0.000000
ksp	8	0.018640	0.000000
ksp	9	0.019610	0.000000
ksp	10	0.020409	0.000000
ksp	11	0.020198	0.000000
ksp	12	0.019409	0.000000
ksp	13	0.032268	0.000000
ksp	14	0.020225	0.000000
ksp	15	0.018943	0.000000
ksp	16	0.020987	0.000000
ksp	17	0.018860	0.000000
ksp	18	0.017950	0.000000
ksp	19	0.024538	0.000000
ksp	20	0.020013	0.000000
ksp	21	0.019289	0.000000
ksp	22	0.018935	0.000000
ksp	23	0.021064	0.000000
mcf	0	0.216805	0.000000
mcf	1	0.204506	0.000000
mcf	2	0.248917	0.000000
mcf	3	0.180180	0.000000
mcf	4	0.200783	0.000000
mcf	5	0.159688	0.000000
mcf	6	0.236342	0.000000
mcf	7	0.186435	0.000000
mcf	8	0.256619	0.000000
mcf	9	0.237765	0.000000
mcf	10	0.247941	0.000000
mcf	11	0.193231	0.000000
mcf	12	0.205224	0.000000
mcf	13	0.182021	0.000000
mcf	14	0.199683	0.000000
mcf	15	0.239780	0.000000
mcf	16	0.193414	0.000000
mcf	17	0.260990	0.000000
mcf	18	0.209087	0.000000
mcf	19	0.259587	0.000000
mcf	20	0.218320	0.000000
mcf	21	0.293204	0.000000
mcf	22	0.202674	0.000000
mcf	23	0.229057	0.000000
raeke	0	0.326359	0.000000
raeke	1	0.000552	0.000000
raeke	2	0.000398	0.000000
raeke	3	0.000417	0.000000
raeke	4	0.000486	0.000000
raeke	5	0.000503	0.000000
raeke	6	0.000501	0.000000
raeke	7	0.000561	0.000000
raeke	8	0.001689	0.000000
raeke	9	0.000479	0.000000
raeke	10	0.000458	0.000000
raeke	11	0.000421	0.000000
raeke	12	0.000444	0.000000
raeke	13	0.000489	0.000000
raeke	14	0.000402	0.000000
raeke	15	0.000397	0.000000
raeke	16	0.000439	0.000000
raeke	17	0.000408	0.000000
raeke	18	0.000465	0.000000
raeke	19	0.000488	0.000000
raeke	20	0.000459	0.000000
raeke	21	0.000413	0.000000
raeke	22	0.000430	0.000000
raeke	23	0.000483	0.000000
semimcfecmp	0	0.014979	0.000000
semimcfecmp	1	0.011521	0.000000
semimcfecmp	2	0.018708	0.000000
semimcfecmp	3	0.018270	0.000000
semimcfecmp	4	0.017789	0.000000
semimcfecmp	5	0.022931	0.000000
semimcfecmp	6	0.013099	0.000000
semimcfecmp	7	0.020964	0.000000
semimcfecmp	8	0.026051	0.000000
semimcfecmp	9	0.041857	0.000000
semimcfecmp	10	0.020658	0.000000
semimcfecmp	11	0.011923	0.000000
semimcfecmp	12	0.044593	0.000000
semimcfecmp	13	0.029941	0.000000
semimcfecmp	14	0.012205	0.000000
semimcfecmp	15	0.012917	0.000000
semimcfecmp	16	0.011399	0.000000
semimcfecmp	17	0.046548	0.000000
semimcfecmp	18	0.022012	0.000000
semimcfecmp	19	0.018268	0.000000
semimcfecmp	20	0.014371	0.000000
semimcfecmp	21	0.013481	0.000000
semimcfecmp	22	0.070666	0.000000
semimcfecmp	23	0.017226	0.000000
semimcfksp	0	0.027060	0.000000
semimcfksp	1	0.031136	0.000000
semimcfksp	2	0.062617	0.000000
semimcfksp	3	0.041181	0.000000
semimcfksp	4	0.030064	0.000000
semimcfksp	5	0.037823	0.000000
semimcfksp	6	0.044897	0.000000
semimcfksp	7	0.029079	0.000000
semimcfksp	8	0.019433	0.000000
semimcfksp	9	0.025501	0.000000
semimcfksp	10	0.050639	0.000000
semimcfksp	11	0.052403	0.000000
semimcfksp	12	0.019904	0.000000
semimcfksp	13	0.018479	0.000000
semimcfksp	14	0.044541	0.000000
semimcfksp	15	0.022740	0.000000
semimcfksp	16	0.059497	0.000000
semimcfksp	17	0.037148	0.000000
semimcfksp	18	0.019390	0.000000
semimcfksp	19	0.026071	0.000000
semimcfksp	20	0.048213	0.000000
semimcfksp	21	0.051822	0.000000
semimcfksp	22	0.027528	0.000000
semimcfksp	23	0.036554	0.000000
semimcfmcf	0	0.041051	0.000000
semimcfmcf	1	0.021958	0.000000
semimcfmcf	2	0.018660	0.000000
semimcfmcf	3	0.019051	0.000000
semimcfmcf	4	0.012220	0.000000
semimcfmcf	5	0.011623	0.000000
semimcfmcf	6	0.012580	0.000000
semimcfmcf	7	0.019429	0.000000
semimcfmcf	8	0.036273	0.000000
semimcfmcf	9	0.011679	0.000000
semimcfmcf	10	0.021854	0.000000
semimcfmcf	11	0.032829	0.000000
semimcfmcf	12	0.047200	0.000000
semimcfmcf	13	0.038208	0.000000
semimcfmcf	14	0.048158	0.000000
semimcfmcf	15	0.047752	0.000000
semimcfmcf	16	0.042467	0.000000
semimcfmcf	17	0.011578	0.000000
semimcfmcf	18	0.016704	0.000000
semimcfmcf	19	0.017416	0.000000
semimcfmcf	20	0.025483	0.000000
semimcfmcf	21	0.016910	0.000000
semimcfmcf	22	0.014561	0.000000
semimcfmcf	23	0.013158	0.000000
semimcfraeke	0	0.030239	0.000000
semimcfraeke	1	0.029310	0.000000
semimcfraeke	2	0.028432	0.000000
semimcfraeke	3	0.022136	0.000000
semimcfraeke	4	0.020354	0.000000
semimcfraeke	5	0.023409	0.000000
semimcfraeke	6	0.027834	0.000000
semimcfraeke	7	0.020156	0.000000
semimcfraeke	8	0.023513	0.000000
semimcfraeke	9	0.029602	0.000000
semimcfraeke	10	0.037131	0.000000
semimcfraeke	11	0.040058	0.000000
semimcfraeke	12	0.035782	0.000000
semimcfraeke	13	0.014231	0.000000
semimcfraeke	14	0.021029	0.000000
semimcfraeke	15	0.046386	0.000000
semimcfraeke	16	0.024210	0.000000
semimcfraeke	17	0.026188	0.000000
semimcfraeke	18	0.033023	0.000000
semimcfraeke	19	0.056224	0.000000
semimcfraeke	20	0.052119	0.000000
semimcfraeke	21	0.079613	0.000000
semimcfraeke	22	0.067171	0.000000
semimcfraeke	23	0.068232	0.000000
semimcfvlb	0	0.017194	0.000000
semimcfvlb	1	0.018800	0.000000
semimcfvlb	2	0.034129	0.000000
semimcfvlb	3	0.017549	0.000000
semimcfvlb	4	0.018666	0.000000
semimcfvlb	5	0.018816	0.000000
semimcfvlb	6	0.050411	0.000000
semimcfvlb	7	0.019504	0.000000
semimcfvlb	8	0.044503	0.000000
semimcfvlb	9	0.028444	0.000000
semimcfvlb	10	0.019660	0.000000
semimcfvlb	11	0.034935	0.000000
semimcfvlb	12	0.027636	0.000000
semimcfvlb	13	0.026177	0.000000
semimcfvlb	14	0.061806	0.000000
semimcfvlb	15	0.027988	0.000000
semimcfvlb	16	0.047501	0.000000
semimcfvlb	17	0.020782	0.000000
semimcfvlb	18	0.027731	0.000000
semimcfvlb	19	0.063704	0.000000
semimcfvlb	20	0.020496	0.000000
semimcfvlb	21	0.038021	0.000000
semimcfvlb	22	0.025649	0.000000
semimcfvlb	23	0.058009	0.000000
spf	0	0.000905	0.000000
spf	1	0.001731	0.000000
spf	2	0.001122	0.000000
spf	3	0.001879	0.000000
spf	4	0.001427	0.000000
spf	5	0.001434	0.000000
spf	6	0.001011	0.000000
spf	7	0.000906	0.000000
spf	8	0.001025	0.000000
spf	9	0.000920	0.000000
spf	10	0.001043	0.000000
spf	11	0.001345	0.000000
spf	12	0.001360	0.000000
spf	13	0.001062	0.000000
spf	14	0.000799	0.000000
spf	15	0.001065	0.000000
spf	16	0.000916	0.000000
spf	17	0.000976	0.000000
spf	18	0.001212	0.000000
spf	19	0.002923	0.000000
spf	20	0.001029	0.000000
spf	21	0.001004	0.000000
spf	22	0.010308	0.000000
spf	23	0.001641	0.000000
vlb	0	0.049869	0.000000
vlb	1	0.049108	0.000000
vlb	2	0.050137	0.000000
vlb	3	0.047179	0.000000
vlb	4	0.051588	0.000000
vlb	5	0.051244	0.000000
vlb	6	0.063598	0.000000
vlb	7	0.047052	0.000000
vlb	8	0.059566	0.000000
vlb	9	0.049881	0.000000
vlb	10	0.071940	0.000000
vlb	11	0.048139	0.000000
