# solver	iter	.0.950000-exp-congestion	stddev
ecmp	0	0.261631	0.000000
ecmp	1	0.257475	0.000000
ecmp	2	0.255253	0.000000
ecmp	3	0.225425	0.000000
ecmp	4	0.201943	0.000000
ecmp	5	0.217615	0.000000
ecmp	6	0.197880	0.000000
ecmp	7	0.200647	0.000000
ecmp	8	0.212143	0.000000
ecmp	9	0.217559	0.000000
ecmp	10	0.220974	0.000000
ecmp	11	0.224110	0.000000
ecmp	12	0.240537	0.000000
ecmp	13	0.246075	0.000000
ecmp	14	0.247822	0.000000
ecmp	15	0.221368	0.000000
ecmp	16	0.220062	0.000000
ecmp	17	0.254780	0.000000
ecmp	18	0.262663	0.000000
ecmp	19	0.272190	0.000000
ecmp	20	0.276018	0.000000
ecmp	21	0.257403	0.000000
ecmp	22	0.276220	0.000000
ecmp	23	0.279718	0.000000
ksp	0	0.417489	0.000000
ksp	1	0.412614	0.000000
ksp	2	0.407918	0.000000
ksp	3	0.354698	0.000000
ksp	4	0.315714	0.000000
ksp	5	0.339694	0.000000
ksp	6	0.313245	0.000000
ksp	7	0.316976	0.000000
ksp	8	0.334373	0.000000
ksp	9	0.344894	0.000000
ksp	10	0.351004	0.000000
ksp	11	0.357859	0.000000
ksp	12	0.384001	0.000000
ksp	13	0.392410	0.000000
ksp	14	0.396240	0.000000
ksp	15	0.353199	0.000000
ksp	16	0.351287	0.000000
ksp	17	0.406441	0.000000
ksp	18	0.417093	0.000000
ksp	19	0.430906	0.000000
ksp	20	0.437783	0.000000
ksp	21	0.409551	0.000000
ksp	22	0.442870	0.000000
ksp	23	0.448528	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.393325	0.000000
mcf	2	0.392416	0.000000
mcf	3	0.343544	0.000000
mcf	4	0.308766	0.000000
mcf	5	0.330345	0.000000
mcf	6	0.302911	0.000000
mcf	7	0.305639	0.000000
mcf	8	0.322968	0.000000
mcf	9	0.337566	0.000000
mcf	10	0.343974	0.000000
mcf	11	0.349791	0.000000
mcf	12	0.375344	0.000000
mcf	13	0.383031	0.000000
mcf	14	0.387625	0.000000
mcf	15	0.345567	0.000000
mcf	16	0.343696	0.000000
mcf	17	0.397660	0.000000
mcf	18	0.407475	0.000000
mcf	19	0.421789	0.000000
mcf	20	0.428870	0.000000
mcf	21	0.400012	0.000000
mcf	22	0.427400	0.000000
mcf	23	0.433542	0.000000
raeke	0	0.363354	0.000000
raeke	1	0.351347	0.000000
raeke	2	0.350623	0.000000
