# solver	iter	failure-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.023221	0.000000
ecmp	3	0.023021	0.000000
ecmp	4	0.023125	0.000000
ecmp	5	0.023179	0.000000
ecmp	6	0.023136	0.000000
ecmp	7	0.023292	0.000000
ecmp	8	0.023215	0.000000
ecmp	9	0.023356	0.000000
ecmp	10	0.023361	0.000000
ecmp	11	0.023311	0.000000
ecmp	12	0.023214	0.000000
ecmp	13	0.023236	0.000000
ecmp	14	0.023035	0.000000
ecmp	15	0.022906	0.000000
ecmp	16	0.023074	0.000000
ecmp	17	0.023072	0.000000
ecmp	18	0.022903	0.000000
ecmp	19	0.022645	0.000000
ecmp	20	0.022476	0.000000
ecmp	21	0.023111	0.000000
ecmp	22	0.022122	0.000000
ecmp	23	0.021959	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.020145	0.000000
ksp	3	0.019886	0.000000
ksp	4	0.019960	0.000000
ksp	5	0.020006	0.000000
ksp	6	0.019942	0.000000
ksp	7	0.020110	0.000000
ksp	8	0.020046	0.000000
ksp	9	0.020140	0.000000
ksp	10	0.020191	0.000000
ksp	11	0.020179	0.000000
ksp	12	0.020106	0.000000
ksp	13	0.020077	0.000000
ksp	14	0.019919	0.000000
ksp	15	0.019801	0.000000
ksp	16	0.019934	0.000000
ksp	17	0.019927	0.000000
ksp	18	0.019979	0.000000
ksp	19	0.020130	0.000000
ksp	20	0.020104	0.000000
ksp	21	0.019961	0.000000
ksp	22	0.019930	0.000000
ksp	23	0.019940	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.018446	0.000000
mcf	3	0.018534	0.000000
mcf	4	0.021709	0.000000
mcf	5	0.017818	0.000000
mcf	6	0.022313	0.000000
mcf	7	0.022689	0.000000
mcf	8	0.022630	0.000000
mcf	9	0.021907	0.000000
mcf	10	0.018660	0.000000
mcf	11	0.018644	0.000000
mcf	12	0.018573	0.000000
mcf	13	0.022488	0.000000
mcf	14	0.022214	0.000000
mcf	15	0.018390	0.000000
mcf	16	0.017805	0.000000
mcf	17	0.019016	0.000000
mcf	18	0.021058	0.000000
mcf	19	0.017966	0.000000
mcf	20	0.022967	0.000000
mcf	21	0.018507	0.000000
mcf	22	0.017918	0.000000
mcf	23	0.018500	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.016971	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.000000	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.000000	0.000000
raeke	9	0.000000	0.000000
raeke	10	0.000000	0.000000
raeke	11	0.000000	0.000000
raeke	12	0.000000	0.000000
raeke	13	0.000000	0.000000
raeke	14	0.000000	0.000000
raeke	15	0.000000	0.000000
raeke	16	0.000000	0.000000
raeke	17	0.000000	0.000000
raeke	18	0.000000	0.000000
raeke	19	0.000000	0.000000
raeke	20	0.000000	0.000000
raeke	21	0.000000	0.000000
raeke	22	0.000000	0.000000
raeke	23	0.000000	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.023184	0.000000
semimcfecmp	3	0.000000	0.000000
semimcfecmp	4	0.000000	0.000000
semimcfecmp	5	0.000000	0.000000
semimcfecmp	6	0.000000	0.000000
semimcfecmp	7	0.000000	0.000000
semimcfecmp	8	0.000000	0.000000
semimcfecmp	9	0.000000	0.000000
semimcfecmp	10	0.000000	0.000000
semimcfecmp	11	0.000000	0.000000
semimcfecmp	12	0.000000	0.000000
semimcfecmp	13	0.000000	0.000000
semimcfecmp	14	0.000000	0.000000
semimcfecmp	15	0.000000	0.000000
semimcfecmp	16	0.000000	0.000000
semimcfecmp	17	0.000000	0.000000
semimcfecmp	18	0.000000	0.000000
semimcfecmp	19	0.000000	0.000000
semimcfecmp	20	0.000000	0.000000
semimcfecmp	21	0.000000	0.000000
semimcfecmp	22	0.000000	0.000000
semimcfecmp	23	0.000000	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.013812	0.000000
semimcfksp	3	0.000000	0.000000
semimcfksp	4	0.000000	0.000000
semimcfksp	5	0.000000	0.000000
semimcfksp	6	0.000000	0.000000
semimcfksp	7	0.000000	0.000000
semimcfksp	8	0.000000	0.000000
semimcfksp	9	0.000000	0.000000
semimcfksp	10	0.000000	0.000000
semimcfksp	11	0.000000	0.000000
semimcfksp	12	0.000000	0.000000
semimcfksp	13	0.000000	0.000000
semimcfksp	14	0.000000	0.000000
semimcfksp	15	0.000000	0.000000
semimcfksp	16	0.000000	0.000000
semimcfksp	17	0.000000	0.000000
semimcfksp	18	0.000000	0.000000
semimcfksp	19	0.000000	0.000000
semimcfksp	20	0.000000	0.000000
semimcfksp	21	0.000000	0.000000
semimcfksp	22	0.000000	0.000000
semimcfksp	23	0.000000	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.017958	0.000000
semimcfmcf	3	0.000000	0.000000
semimcfmcf	4	0.000000	0.000000
semimcfmcf	5	0.000000	0.000000
semimcfmcf	6	0.000000	0.000000
semimcfmcf	7	0.000000	0.000000
semimcfmcf	8	0.000000	0.000000
semimcfmcf	9	0.000000	0.000000
semimcfmcf	10	0.000000	0.000000
semimcfmcf	11	0.000000	0.000000
semimcfmcf	12	0.000000	0.000000
semimcfmcf	13	0.000000	0.000000
semimcfmcf	14	0.000000	0.000000
semimcfmcf	15	0.000000	0.000000
semimcfmcf	16	0.000000	0.000000
semimcfmcf	17	0.000000	0.000000
semimcfmcf	18	0.000000	0.000000
semimcfmcf	19	0.000000	0.000000
semimcfmcf	20	0.000000	0.000000
semimcfmcf	21	0.000000	0.000000
semimcfmcf	22	0.000000	0.000000
semimcfmcf	23	0.000000	0.000000
semimcfmcfenv	0	0.000000	0.000000
semimcfmcfenv	1	0.000000	0.000000
semimcfmcfenv	2	0.017964	0.000000
semimcfmcfenv	3	0.000000	0.000000
semimcfmcfenv	4	0.000000	0.000000
semimcfmcfenv	5	0.000000	0.000000
semimcfmcfenv	6	0.000000	0.000000
semimcfmcfenv	7	0.000000	0.000000
semimcfmcfenv	8	0.000000	0.000000
semimcfmcfenv	9	0.000000	0.000000
semimcfmcfenv	10	0.000000	0.000000
semimcfmcfenv	11	0.000000	0.000000
semimcfmcfenv	12	0.000000	0.000000
semimcfmcfenv	13	0.000000	0.000000
semimcfmcfenv	14	0.000000	0.000000
semimcfmcfenv	15	0.000000	0.000000
semimcfmcfenv	16	0.000000	0.000000
semimcfmcfenv	17	0.000000	0.000000
semimcfmcfenv	18	0.000000	0.000000
semimcfmcfenv	19	0.000000	0.000000
semimcfmcfenv	20	0.000000	0.000000
semimcfmcfenv	21	0.000000	0.000000
semimcfmcfenv	22	0.000000	0.000000
semimcfmcfenv	23	0.000000	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.011662	0.000000
semimcfraeke	3	0.000000	0.000000
semimcfraeke	4	0.000000	0.000000
semimcfraeke	5	0.000000	0.000000
semimcfraeke	6	0.000000	0.000000
semimcfraeke	7	0.000000	0.000000
semimcfraeke	8	0.000000	0.000000
semimcfraeke	9	0.000000	0.000000
semimcfraeke	10	0.000000	0.000000
semimcfraeke	11	0.000000	0.000000
semimcfraeke	12	0.000000	0.000000
semimcfraeke	13	0.000000	0.000000
semimcfraeke	14	0.000000	0.000000
semimcfraeke	15	0.000000	0.000000
semimcfraeke	16	0.000000	0.000000
semimcfraeke	17	0.000000	0.000000
semimcfraeke	18	0.000000	0.000000
semimcfraeke	19	0.000000	0.000000
semimcfraeke	20	0.000000	0.000000
semimcfraeke	21	0.000000	0.000000
semimcfraeke	22	0.000000	0.000000
semimcfraeke	23	0.000000	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.012520	0.000000
semimcfvlb	3	0.000000	0.000000
semimcfvlb	4	0.000000	0.000000
semimcfvlb	5	0.000000	0.000000
semimcfvlb	6	0.000000	0.000000
semimcfvlb	7	0.000000	0.000000
semimcfvlb	8	0.000000	0.000000
semimcfvlb	9	0.000000	0.000000
semimcfvlb	10	0.000000	0.000000
semimcfvlb	11	0.000000	0.000000
semimcfvlb	12	0.000000	0.000000
semimcfvlb	13	0.000000	0.000000
semimcfvlb	14	0.000000	0.000000
semimcfvlb	15	0.000000	0.000000
semimcfvlb	16	0.000000	0.000000
semimcfvlb	17	0.000000	0.000000
semimcfvlb	18	0.000000	0.000000
semimcfvlb	19	0.000000	0.000000
semimcfvlb	20	0.000000	0.000000
semimcfvlb	21	0.000000	0.000000
semimcfvlb	22	0.000000	0.000000
semimcfvlb	23	0.000000	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.020545	0.000000
spf	3	0.022243	0.000000
spf	4	0.023090	0.000000
spf	5	0.022994	0.000000
spf	6	0.023104	0.000000
spf	7	0.023259	0.000000
spf	8	0.023182	0.000000
spf	9	0.022919	0.000000
spf	10	0.022670	0.000000
spf	11	0.022318	0.000000
spf	12	0.021253	0.000000
spf	13	0.021037	0.000000
spf	14	0.020729	0.000000
spf	15	0.022125	0.000000
spf	16	0.022365	0.000000
spf	17	0.020407	0.000000
spf	18	0.020179	0.000000
spf	19	0.019906	0.000000
spf	20	0.019745	0.000000
spf	21	0.020370	0.000000
spf	22	0.019334	0.000000
spf	23	0.019184	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.019306	0.000000
vlb	3	0.020644	0.000000
vlb	4	0.019809	0.000000
vlb	5	0.020017	0.000000
vlb	6	0.020084	0.000000
vlb	7	0.019802	0.000000
vlb	8	0.020461	0.000000
vlb	9	0.020284	0.000000
vlb	10	0.019331	0.000000
vlb	11	0.019559	0.000000
vlb	12	0.020321	0.000000
vlb	13	0.019442	0.000000
vlb	14	0.016490	0.000000
vlb	15	0.019845	0.000000
vlb	16	0.020278	0.000000
vlb	17	0.018463	0.000000
vlb	18	0.017854	0.000000
vlb	19	0.020609	0.000000
vlb	20	0.020432	0.000000
