# solver	iter	time	stddev
ecmp	0	0.054311	0.000000
ecmp	1	0.040199	0.000000
ecmp	2	0.040344	0.000000
ecmp	3	0.040781	0.000000
ecmp	4	0.045560	0.000000
ecmp	5	0.039969	0.000000
ecmp	6	0.041413	0.000000
ecmp	7	0.042704	0.000000
ecmp	8	0.039275	0.000000
ecmp	9	0.040870	0.000000
ecmp	10	0.041276	0.000000
ecmp	11	0.043413	0.000000
ecmp	12	0.045424	0.000000
ecmp	13	0.044385	0.000000
ecmp	14	0.040459	0.000000
ecmp	15	0.041789	0.000000
ecmp	16	0.059867	0.000000
ecmp	17	0.041069	0.000000
ecmp	18	0.044891	0.000000
ecmp	19	0.044170	0.000000
ecmp	20	0.040799	0.000000
ecmp	21	0.062413	0.000000
ecmp	22	0.046721	0.000000
ecmp	23	0.045853	0.000000
ksp	0	0.019078	0.000000
ksp	1	0.018750	0.000000
ksp	2	0.022649	0.000000
ksp	3	0.019037	0.000000
ksp	4	0.018965	0.000000
ksp	5	0.018413	0.000000
ksp	6	0.019495	0.000000
ksp	7	0.020217	0.000000
ksp	8	0.018207	0.000000
ksp	9	0.019147	0.000000
ksp	10	0.018780	0.000000
ksp	11	0.040515	0.000000
ksp	12	0.018457	0.000000
ksp	13	0.020080	0.000000
ksp	14	0.018015	0.000000
ksp	15	0.019523	0.000000
ksp	16	0.019218	0.000000
ksp	17	0.021283	0.000000
ksp	18	0.019062	0.000000
ksp	19	0.020546	0.000000
ksp	20	0.018685	0.000000
ksp	21	0.022693	0.000000
ksp	22	0.019406	0.000000
ksp	23	0.018105	0.000000
mcf	0	0.235452	0.000000
mcf	1	0.242012	0.000000
mcf	2	0.270999	0.000000
mcf	3	0.250944	0.000000
mcf	4	0.238035	0.000000
mcf	5	0.222532	0.000000
mcf	6	0.231579	0.000000
mcf	7	0.183744	0.000000
mcf	8	0.242402	0.000000
mcf	9	0.218504	0.000000
mcf	10	0.254763	0.000000
mcf	11	0.172146	0.000000
mcf	12	0.336338	0.000000
mcf	13	0.343971	0.000000
mcf	14	0.252025	0.000000
mcf	15	0.227465	0.000000
mcf	16	0.372035	0.000000
mcf	17	0.214915	0.000000
mcf	18	0.372565	0.000000
mcf	19	0.333445	0.000000
mcf	20	0.371831	0.000000
mcf	21	0.355308	0.000000
mcf	22	0.267173	0.000000
mcf	23	0.280369	0.000000
raeke	0	0.319257	0.000000
raeke	1	0.000438	0.000000
raeke	2	0.000679	0.000000
raeke	3	0.000405	0.000000
raeke	4	0.000408	0.000000
raeke	5	0.000381	0.000000
raeke	6	0.000401	0.000000
raeke	7	0.000483	0.000000
raeke	8	0.000418	0.000000
raeke	9	0.000432	0.000000
raeke	10	0.000427	0.000000
raeke	11	0.000682	0.000000
raeke	12	0.000468	0.000000
raeke	13	0.000675	0.000000
raeke	14	0.000416	0.000000
raeke	15	0.000404	0.000000
raeke	16	0.000427	0.000000
raeke	17	0.000411	0.000000
raeke	18	0.000434	0.000000
raeke	19	0.000381	0.000000
raeke	20	0.000442	0.000000
raeke	21	0.000432	0.000000
raeke	22	0.000383	0.000000
raeke	23	0.000359	0.000000
semimcfecmp	0	0.040323	0.000000
semimcfecmp	1	0.031184	0.000000
semimcfecmp	2	0.017383	0.000000
semimcfecmp	3	0.040799	0.000000
semimcfecmp	4	0.056608	0.000000
semimcfecmp	5	0.012055	0.000000
semimcfecmp	6	0.036054	0.000000
semimcfecmp	7	0.011427	0.000000
semimcfecmp	8	0.057365	0.000000
semimcfecmp	9	0.015206	0.000000
semimcfecmp	10	0.037875	0.000000
semimcfecmp	11	0.028233	0.000000
semimcfecmp	12	0.058191	0.000000
semimcfecmp	13	0.055630	0.000000
semimcfecmp	14	0.012555	0.000000
semimcfecmp	15	0.012747	0.000000
semimcfecmp	16	0.023482	0.000000
semimcfecmp	17	0.021770	0.000000
semimcfecmp	18	0.064566	0.000000
semimcfecmp	19	0.020135	0.000000
semimcfecmp	20	0.011989	0.000000
semimcfecmp	21	0.025861	0.000000
semimcfecmp	22	0.038539	0.000000
semimcfecmp	23	0.013300	0.000000
semimcfksp	0	0.018480	0.000000
semimcfksp	1	0.055593	0.000000
semimcfksp	2	0.032180	0.000000
semimcfksp	3	0.061016	0.000000
semimcfksp	4	0.020191	0.000000
semimcfksp	5	0.033929	0.000000
semimcfksp	6	0.078997	0.000000
semimcfksp	7	0.050985	0.000000
semimcfksp	8	0.042547	0.000000
semimcfksp	9	0.024905	0.000000
semimcfksp	10	0.046591	0.000000
semimcfksp	11	0.044502	0.000000
semimcfksp	12	0.030563	0.000000
semimcfksp	13	0.049856	0.000000
semimcfksp	14	0.033749	0.000000
semimcfksp	15	0.039685	0.000000
semimcfksp	16	0.020589	0.000000
semimcfksp	17	0.027910	0.000000
semimcfksp	18	0.053937	0.000000
semimcfksp	19	0.019162	0.000000
semimcfksp	20	0.024174	0.000000
semimcfksp	21	0.035073	0.000000
semimcfksp	22	0.020022	0.000000
semimcfksp	23	0.020085	0.000000
semimcfmcf	0	0.030385	0.000000
semimcfmcf	1	0.011647	0.000000
semimcfmcf	2	0.011163	0.000000
semimcfmcf	3	0.041237	0.000000
semimcfmcf	4	0.010215	0.000000
semimcfmcf	5	0.036841	0.000000
semimcfmcf	6	0.017350	0.000000
semimcfmcf	7	0.045073	0.000000
semimcfmcf	8	0.076344	0.000000
semimcfmcf	9	0.042673	0.000000
semimcfmcf	10	0.058584	0.000000
semimcfmcf	11	0.023952	0.000000
semimcfmcf	12	0.057638	0.000000
semimcfmcf	13	0.044693	0.000000
semimcfmcf	14	0.051772	0.000000
semimcfmcf	15	0.018033	0.000000
semimcfmcf	16	0.033336	0.000000
semimcfmcf	17	0.034346	0.000000
semimcfmcf	18	0.011161	0.000000
semimcfmcf	19	0.051442	0.000000
semimcfmcf	20	0.039540	0.000000
semimcfmcf	21	0.023219	0.000000
semimcfmcf	22	0.029454	0.000000
semimcfmcf	23	0.023667	0.000000
semimcfmcfenv	0	0.027666	0.000000
semimcfmcfenv	1	0.028605	0.000000
semimcfmcfenv	2	0.019584	0.000000
semimcfmcfenv	3	0.036596	0.000000
semimcfmcfenv	4	0.042330	0.000000
semimcfmcfenv	5	0.009851	0.000000
semimcfmcfenv	6	0.025587	0.000000
semimcfmcfenv	7	0.031583	0.000000
semimcfmcfenv	8	0.038383	0.000000
semimcfmcfenv	9	0.019223	0.000000
semimcfmcfenv	10	0.011938	0.000000
semimcfmcfenv	11	0.043658	0.000000
semimcfmcfenv	12	0.036226	0.000000
semimcfmcfenv	13	0.024091	0.000000
semimcfmcfenv	14	0.053726	0.000000
semimcfmcfenv	15	0.059046	0.000000
semimcfmcfenv	16	0.016207	0.000000
semimcfmcfenv	17	0.053520	0.000000
semimcfmcfenv	18	0.050341	0.000000
semimcfmcfenv	19	0.010679	0.000000
semimcfmcfenv	20	0.010414	0.000000
semimcfmcfenv	21	0.024696	0.000000
semimcfmcfenv	22	0.029642	0.000000
semimcfmcfenv	23	0.033498	0.000000
semimcfraeke	0	0.052435	0.000000
semimcfraeke	1	0.025777	0.000000
semimcfraeke	2	0.027603	0.000000
semimcfraeke	3	0.044918	0.000000
semimcfraeke	4	0.020799	0.000000
semimcfraeke	5	0.031793	0.000000
semimcfraeke	6	0.036820	0.000000
semimcfraeke	7	0.020500	0.000000
semimcfraeke	8	0.023563	0.000000
semimcfraeke	9	0.021299	0.000000
semimcfraeke	10	0.020145	0.000000
semimcfraeke	11	0.037859	0.000000
semimcfraeke	12	0.021361	0.000000
semimcfraeke	13	0.042709	0.000000
semimcfraeke	14	0.046632	0.000000
semimcfraeke	15	0.036494	0.000000
semimcfraeke	16	0.020078	0.000000
semimcfraeke	17	0.034824	0.000000
semimcfraeke	18	0.022703	0.000000
semimcfraeke	19	0.029706	0.000000
semimcfraeke	20	0.029399	0.000000
semimcfraeke	21	0.027467	0.000000
semimcfraeke	22	0.020883	0.000000
semimcfraeke	23	0.053663	0.000000
semimcfvlb	0	0.024518	0.000000
semimcfvlb	1	0.030870	0.000000
semimcfvlb	2	0.062035	0.000000
semimcfvlb	3	0.045661	0.000000
semimcfvlb	4	0.022242	0.000000
semimcfvlb	5	0.035882	0.000000
semimcfvlb	6	0.033870	0.000000
semimcfvlb	7	0.045933	0.000000
semimcfvlb	8	0.039459	0.000000
semimcfvlb	9	0.035633	0.000000
semimcfvlb	10	0.043475	0.000000
semimcfvlb	11	0.039239	0.000000
semimcfvlb	12	0.050695	0.000000
semimcfvlb	13	0.045024	0.000000
semimcfvlb	14	0.022595	0.000000
semimcfvlb	15	0.038671	0.000000
semimcfvlb	16	0.060974	0.000000
semimcfvlb	17	0.017827	0.000000
semimcfvlb	18	0.050817	0.000000
semimcfvlb	19	0.071729	0.000000
semimcfvlb	20	0.046163	0.000000
semimcfvlb	21	0.066271	0.000000
semimcfvlb	22	0.064636	0.000000
semimcfvlb	23	0.055419	0.000000
spf	0	0.000972	0.000000
spf	1	0.000921	0.000000
spf	2	0.000870	0.000000
spf	3	0.000847	0.000000
spf	4	0.000942	0.000000
spf	5	0.000950	0.000000
spf	6	0.000908	0.000000
spf	7	0.000909	0.000000
spf	8	0.000923	0.000000
spf	9	0.001524	0.000000
spf	10	0.001315	0.000000
spf	11	0.001353	0.000000
