# solver	iter	max-congestion	stddev
ecmp	0	1.000000	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	0.991780	0.000000
ecmp	3	0.863297	0.000000
ecmp	4	0.770808	0.000000
ecmp	5	0.829789	0.000000
ecmp	6	0.767328	0.000000
ecmp	7	0.778618	0.000000
ecmp	8	0.820665	0.000000
ecmp	9	0.843940	0.000000
ecmp	10	0.857635	0.000000
ecmp	11	0.876457	0.000000
ecmp	12	0.940484	0.000000
ecmp	13	0.957587	0.000000
ecmp	14	0.967724	0.000000
ecmp	15	0.865919	0.000000
ecmp	16	0.861230	0.000000
ecmp	17	0.996187	0.000000
ecmp	18	1.000000	0.000000
ecmp	19	1.000000	0.000000
ecmp	20	1.000000	0.000000
ecmp	21	0.999988	0.000000
ecmp	22	1.000000	0.000000
ecmp	23	1.000000	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	0.794689	0.000000
ksp	3	0.701814	0.000000
ksp	4	0.627909	0.000000
ksp	5	0.671089	0.000000
ksp	6	0.621661	0.000000
ksp	7	0.620538	0.000000
ksp	8	0.656522	0.000000
ksp	9	0.682992	0.000000
ksp	10	0.691419	0.000000
ksp	11	0.704579	0.000000
ksp	12	0.760502	0.000000
ksp	13	0.777508	0.000000
ksp	14	0.792840	0.000000
ksp	15	0.714980	0.000000
ksp	16	0.705092	0.000000
ksp	17	0.816049	0.000000
ksp	18	0.832346	0.000000
ksp	19	0.853345	0.000000
ksp	20	0.867682	0.000000
ksp	21	0.812242	0.000000
ksp	22	0.871514	0.000000
ksp	23	0.885469	0.000000
mcf	0	0.800000	0.000000
mcf	1	0.786650	0.000000
mcf	2	0.784833	0.000000
mcf	3	0.687088	0.000000
mcf	4	0.617531	0.000000
mcf	5	0.660689	0.000000
mcf	6	0.605822	0.000000
mcf	7	0.611279	0.000000
mcf	8	0.645936	0.000000
mcf	9	0.675132	0.000000
mcf	10	0.687947	0.000000
mcf	11	0.699583	0.000000
mcf	12	0.750689	0.000000
mcf	13	0.766062	0.000000
mcf	14	0.775250	0.000000
mcf	15	0.691134	0.000000
mcf	16	0.687391	0.000000
mcf	17	0.795321	0.000000
mcf	18	0.814950	0.000000
mcf	19	0.843577	0.000000
mcf	20	0.857740	0.000000
mcf	21	0.800024	0.000000
mcf	22	0.854799	0.000000
mcf	23	0.867083	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	0.821787	0.000000
raeke	3	0.717722	0.000000
raeke	4	0.639828	0.000000
raeke	5	0.689439	0.000000
raeke	6	0.636242	0.000000
raeke	7	0.643945	0.000000
raeke	8	0.678821	0.000000
raeke	9	0.698879	0.000000
raeke	10	0.710579	0.000000
raeke	11	0.726061	0.000000
raeke	12	0.779140	0.000000
raeke	13	0.795014	0.000000
raeke	14	0.803076	0.000000
raeke	15	0.717478	0.000000
raeke	16	0.713394	0.000000
raeke	17	0.825315	0.000000
raeke	18	0.846713	0.000000
raeke	19	0.874782	0.000000
raeke	20	0.886907	0.000000
raeke	21	0.828483	0.000000
raeke	22	0.894917	0.000000
raeke	23	0.907648	0.000000
semimcfecmp	0	1.000000	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	0.866624	0.000000
semimcfecmp	3	0.750792	0.000000
semimcfecmp	4	0.671926	0.000000
semimcfecmp	5	0.725279	0.000000
semimcfecmp	6	0.670624	0.000000
semimcfecmp	7	0.678950	0.000000
semimcfecmp	8	0.715324	0.000000
semimcfecmp	9	0.734669	0.000000
semimcfecmp	10	0.745419	0.000000
semimcfecmp	11	0.762769	0.000000
semimcfecmp	12	0.817694	0.000000
semimcfecmp	13	0.835610	0.000000
semimcfecmp	14	0.844871	0.000000
semimcfecmp	15	0.753868	0.000000
semimcfecmp	16	0.749786	0.000000
semimcfecmp	17	0.867174	0.000000
semimcfecmp	18	0.889337	0.000000
semimcfecmp	19	0.918604	0.000000
semimcfecmp	20	0.931263	0.000000
semimcfecmp	21	0.865957	0.000000
semimcfecmp	22	0.929073	0.000000
semimcfecmp	23	0.943347	0.000000
semimcfksp	0	0.800000	0.000000
semimcfksp	1	0.786650	0.000000
semimcfksp	2	0.784833	0.000000
semimcfksp	3	0.687088	0.000000
semimcfksp	4	0.617531	0.000000
semimcfksp	5	0.660689	0.000000
semimcfksp	6	0.605822	0.000000
semimcfksp	7	0.611279	0.000000
semimcfksp	8	0.645936	0.000000
semimcfksp	9	0.675132	0.000000
semimcfksp	10	0.687947	0.000000
semimcfksp	11	0.699583	0.000000
semimcfksp	12	0.750689	0.000000
semimcfksp	13	0.766062	0.000000
semimcfksp	14	0.775250	0.000000
semimcfksp	15	0.691134	0.000000
semimcfksp	16	0.687391	0.000000
semimcfksp	17	0.795321	0.000000
semimcfksp	18	0.814950	0.000000
semimcfksp	19	0.843577	0.000000
semimcfksp	20	0.857740	0.000000
semimcfksp	21	0.800024	0.000000
semimcfksp	22	0.854799	0.000000
semimcfksp	23	0.867083	0.000000
semimcfmcf	0	0.800000	0.000000
semimcfmcf	1	0.786650	0.000000
semimcfmcf	2	0.784833	0.000000
semimcfmcf	3	0.687088	0.000000
semimcfmcf	4	0.617531	0.000000
semimcfmcf	5	0.660689	0.000000
semimcfmcf	6	0.605822	0.000000
semimcfmcf	7	0.611279	0.000000
semimcfmcf	8	0.645936	0.000000
semimcfmcf	9	0.675132	0.000000
semimcfmcf	10	0.687947	0.000000
semimcfmcf	11	0.699583	0.000000
semimcfmcf	12	0.750689	0.000000
semimcfmcf	13	0.766062	0.000000
semimcfmcf	14	0.775250	0.000000
semimcfmcf	15	0.691797	0.000000
semimcfmcf	16	0.687391	0.000000
semimcfmcf	17	0.795321	0.000000
semimcfmcf	18	0.814950	0.000000
semimcfmcf	19	0.843577	0.000000
semimcfmcf	20	0.857740	0.000000
semimcfmcf	21	0.800024	0.000000
semimcfmcf	22	0.856648	0.000000
semimcfmcf	23	0.871034	0.000000
semimcfraeke	0	0.800000	0.000000
semimcfraeke	1	0.786650	0.000000
semimcfraeke	2	0.784833	0.000000
semimcfraeke	3	0.687088	0.000000
semimcfraeke	4	0.617531	0.000000
semimcfraeke	5	0.660689	0.000000
semimcfraeke	6	0.605822	0.000000
semimcfraeke	7	0.611279	0.000000
semimcfraeke	8	0.645936	0.000000
semimcfraeke	9	0.675132	0.000000
semimcfraeke	10	0.687947	0.000000
semimcfraeke	11	0.699583	0.000000
semimcfraeke	12	0.750689	0.000000
semimcfraeke	13	0.766062	0.000000
semimcfraeke	14	0.775250	0.000000
semimcfraeke	15	0.691134	0.000000
semimcfraeke	16	0.687391	0.000000
semimcfraeke	17	0.795321	0.000000
semimcfraeke	18	0.814950	0.000000
semimcfraeke	19	0.843577	0.000000
semimcfraeke	20	0.857740	0.000000
semimcfraeke	21	0.800024	0.000000
semimcfraeke	22	0.854799	0.000000
semimcfraeke	23	0.867083	0.000000
semimcfvlb	0	0.800000	0.000000
semimcfvlb	1	0.786650	0.000000
semimcfvlb	2	0.784833	0.000000
semimcfvlb	3	0.687088	0.000000
semimcfvlb	4	0.617531	0.000000
semimcfvlb	5	0.660689	0.000000
semimcfvlb	6	0.605822	0.000000
semimcfvlb	7	0.611279	0.000000
semimcfvlb	8	0.645936	0.000000
semimcfvlb	9	0.675132	0.000000
semimcfvlb	10	0.687947	0.000000
semimcfvlb	11	0.699583	0.000000
semimcfvlb	12	0.750689	0.000000
semimcfvlb	13	0.766062	0.000000
semimcfvlb	14	0.775250	0.000000
semimcfvlb	15	0.691134	0.000000
semimcfvlb	16	0.687391	0.000000
semimcfvlb	17	0.795321	0.000000
semimcfvlb	18	0.814950	0.000000
semimcfvlb	19	0.843577	0.000000
semimcfvlb	20	0.857740	0.000000
semimcfvlb	21	0.800024	0.000000
semimcfvlb	22	0.854799	0.000000
semimcfvlb	23	0.867083	0.000000
spf	0	1.000000	0.000000
spf	1	1.000000	0.000000
spf	2	1.000000	0.000000
spf	3	1.000000	0.000000
spf	4	0.937933	0.000000
spf	5	1.000000	0.000000
spf	6	0.933096	0.000000
spf	7	0.946244	0.000000
spf	8	0.997548	0.000000
spf	9	1.000000	0.000000
spf	10	1.000000	0.000000
spf	11	1.000000	0.000000
spf	12	1.000000	0.000000
spf	13	1.000000	0.000000
spf	14	1.000000	0.000000
spf	15	1.000000	0.000000
spf	16	1.000000	0.000000
spf	17	1.000000	0.000000
spf	18	1.000000	0.000000
