# solver	iter	.0.300000-congestion	stddev
ecmp	0	0.020037	0.000000
ecmp	1	0.020233	0.000000
ecmp	2	0.012108	0.000000
ecmp	3	0.012974	0.000000
ecmp	4	0.010950	0.000000
ecmp	5	0.011784	0.000000
ecmp	6	0.010831	0.000000
ecmp	7	0.009487	0.000000
ecmp	8	0.010030	0.000000
ecmp	9	0.011471	0.000000
ecmp	10	0.010920	0.000000
ecmp	11	0.011059	0.000000
ecmp	12	0.012053	0.000000
ecmp	13	0.013668	0.000000
ecmp	14	0.013748	0.000000
ecmp	15	0.012209	0.000000
ecmp	16	0.012129	0.000000
ecmp	17	0.014031	0.000000
ecmp	18	0.014418	0.000000
ecmp	19	0.013507	0.000000
ecmp	20	0.013735	0.000000
ecmp	21	0.013001	0.000000
ecmp	22	0.013902	0.000000
ecmp	23	0.014096	0.000000
ksp	0	0.020637	0.000000
ksp	1	0.020233	0.000000
ksp	2	0.014406	0.000000
ksp	3	0.013038	0.000000
ksp	4	0.011949	0.000000
ksp	5	0.012858	0.000000
ksp	6	0.011793	0.000000
ksp	7	0.010561	0.000000
ksp	8	0.011164	0.000000
ksp	9	0.011684	0.000000
ksp	10	0.011848	0.000000
ksp	11	0.011999	0.000000
ksp	12	0.012879	0.000000
ksp	13	0.014347	0.000000
ksp	14	0.014431	0.000000
ksp	15	0.012883	0.000000
ksp	16	0.012806	0.000000
ksp	17	0.014816	0.000000
ksp	18	0.015236	0.000000
ksp	19	0.014182	0.000000
ksp	20	0.014420	0.000000
ksp	21	0.013656	0.000000
ksp	22	0.016035	0.000000
ksp	23	0.016247	0.000000
mcf	0	0.017417	0.000000
mcf	1	0.017060	0.000000
mcf	2	0.011494	0.000000
mcf	3	0.011501	0.000000
mcf	4	0.008873	0.000000
mcf	5	0.009740	0.000000
mcf	6	0.009098	0.000000
mcf	7	0.008819	0.000000
mcf	8	0.009324	0.000000
mcf	9	0.009237	0.000000
mcf	10	0.009378	0.000000
mcf	11	0.009508	0.000000
mcf	12	0.011498	0.000000
mcf	13	0.010467	0.000000
mcf	14	0.012214	0.000000
mcf	15	0.010869	0.000000
mcf	16	0.010802	0.000000
mcf	17	0.012506	0.000000
mcf	18	0.011043	0.000000
mcf	19	0.011429	0.000000
mcf	20	0.011622	0.000000
mcf	21	0.011002	0.000000
mcf	22	0.011765	0.000000
mcf	23	0.011927	0.000000
raeke	0	0.020637	0.000000
raeke	1	0.020233	0.000000
raeke	2	0.014539	0.000000
raeke	3	0.013050	0.000000
raeke	4	0.011960	0.000000
raeke	5	0.012870	0.000000
raeke	6	0.011804	0.000000
raeke	7	0.010643	0.000000
raeke	8	0.011253	0.000000
raeke	9	0.011781	0.000000
raeke	10	0.011942	0.000000
raeke	11	0.012095	0.000000
raeke	12	0.012983	0.000000
raeke	13	0.014365	0.000000
raeke	14	0.014450	0.000000
raeke	15	0.012891	0.000000
raeke	16	0.012813	0.000000
raeke	17	0.014824	0.000000
raeke	18	0.015244	0.000000
raeke	19	0.014282	0.000000
raeke	20	0.014535	0.000000
raeke	21	0.013765	0.000000
raeke	22	0.016148	0.000000
raeke	23	0.016362	0.000000
semimcfecmp	0	0.020037	0.000000
semimcfecmp	1	0.020233	0.000000
semimcfecmp	2	0.012108	0.000000
semimcfecmp	3	0.012974	0.000000
semimcfecmp	4	0.010950	0.000000
semimcfecmp	5	0.011784	0.000000
semimcfecmp	6	0.010831	0.000000
semimcfecmp	7	0.009487	0.000000
semimcfecmp	8	0.010030	0.000000
semimcfecmp	9	0.011471	0.000000
semimcfecmp	10	0.010920	0.000000
semimcfecmp	11	0.011059	0.000000
semimcfecmp	12	0.012224	0.000000
semimcfecmp	13	0.013668	0.000000
semimcfecmp	14	0.013748	0.000000
semimcfecmp	15	0.012209	0.000000
semimcfecmp	16	0.012129	0.000000
semimcfecmp	17	0.014031	0.000000
semimcfecmp	18	0.014418	0.000000
semimcfecmp	19	0.013507	0.000000
semimcfecmp	20	0.013735	0.000000
semimcfecmp	21	0.013001	0.000000
semimcfecmp	22	0.013902	0.000000
semimcfecmp	23	0.014096	0.000000
semimcfksp	0	0.020037	0.000000
semimcfksp	1	0.020233	0.000000
semimcfksp	2	0.014891	0.000000
semimcfksp	3	0.012360	0.000000
semimcfksp	4	0.010432	0.000000
semimcfksp	5	0.013721	0.000000
semimcfksp	6	0.012577	0.000000
semimcfksp	7	0.012376	0.000000
semimcfksp	8	0.012558	0.000000
semimcfksp	9	0.012032	0.000000
semimcfksp	10	0.012202	0.000000
semimcfksp	11	0.012357	0.000000
semimcfksp	12	0.014481	0.000000
semimcfksp	13	0.013018	0.000000
semimcfksp	14	0.015396	0.000000
semimcfksp	15	0.013739	0.000000
semimcfksp	16	0.013655	0.000000
semimcfksp	17	0.015798	0.000000
semimcfksp	18	0.013754	0.000000
semimcfksp	19	0.014599	0.000000
semimcfksp	20	0.014856	0.000000
semimcfksp	21	0.014069	0.000000
semimcfksp	22	0.016490	0.000000
semimcfksp	23	0.016710	0.000000
semimcfmcf	0	0.017417	0.000000
semimcfmcf	1	0.017060	0.000000
semimcfmcf	2	0.011494	0.000000
semimcfmcf	3	0.009871	0.000000
semimcfmcf	4	0.008873	0.000000
semimcfmcf	5	0.009740	0.000000
semimcfmcf	6	0.009110	0.000000
semimcfmcf	7	0.009172	0.000000
semimcfmcf	8	0.009698	0.000000
semimcfmcf	9	0.009237	0.000000
semimcfmcf	10	0.009378	0.000000
semimcfmcf	11	0.009508	0.000000
semimcfmcf	12	0.011498	0.000000
semimcfmcf	13	0.010467	0.000000
semimcfmcf	14	0.012214	0.000000
semimcfmcf	15	0.010869	0.000000
semimcfmcf	16	0.010802	0.000000
semimcfmcf	17	0.012506	0.000000
semimcfmcf	18	0.011043	0.000000
semimcfmcf	19	0.011429	0.000000
semimcfmcf	20	0.011622	0.000000
semimcfmcf	21	0.011002	0.000000
semimcfmcf	22	0.011765	0.000000
semimcfmcf	23	0.011927	0.000000
semimcfraeke	0	0.020637	0.000000
semimcfraeke	1	0.020233	0.000000
semimcfraeke	2	0.014917	0.000000
semimcfraeke	3	0.012653	0.000000
semimcfraeke	4	0.011590	0.000000
semimcfraeke	5	0.013721	0.000000
semimcfraeke	6	0.012577	0.000000
semimcfraeke	7	0.012395	0.000000
semimcfraeke	8	0.012558	0.000000
semimcfraeke	9	0.012067	0.000000
semimcfraeke	10	0.012230	0.000000
semimcfraeke	11	0.012387	0.000000
semimcfraeke	12	0.014481	0.000000
semimcfraeke	13	0.013930	0.000000
semimcfraeke	14	0.015396	0.000000
semimcfraeke	15	0.013739	0.000000
semimcfraeke	16	0.013655	0.000000
semimcfraeke	17	0.015798	0.000000
semimcfraeke	18	0.014775	0.000000
semimcfraeke	19	0.014620	0.000000
semimcfraeke	20	0.014887	0.000000
semimcfraeke	21	0.014097	0.000000
semimcfraeke	22	0.016531	0.000000
semimcfraeke	23	0.016751	0.000000
semimcfvlb	0	0.020637	0.000000
semimcfvlb	1	0.020233	0.000000
semimcfvlb	2	0.014891	0.000000
semimcfvlb	3	0.012637	0.000000
semimcfvlb	4	0.011575	0.000000
semimcfvlb	5	0.013704	0.000000
semimcfvlb	6	0.012562	0.000000
semimcfvlb	7	0.012376	0.000000
semimcfvlb	8	0.012588	0.000000
semimcfvlb	9	0.012032	0.000000
semimcfvlb	10	0.012202	0.000000
semimcfvlb	11	0.012357	0.000000
semimcfvlb	12	0.014519	0.000000
semimcfvlb	13	0.013901	0.000000
semimcfvlb	14	0.015396	0.000000
semimcfvlb	15	0.013716	0.000000
semimcfvlb	16	0.013642	0.000000
semimcfvlb	17	0.015783	0.000000
semimcfvlb	18	0.014759	0.000000
semimcfvlb	19	0.014599	0.000000
semimcfvlb	20	0.014856	0.000000
semimcfvlb	21	0.014069	0.000000
semimcfvlb	22	0.016490	0.000000
semimcfvlb	23	0.016710	0.000000
spf	0	0.020037	0.000000
spf	1	0.020233	0.000000
spf	2	0.012108	0.000000
spf	3	0.012974	0.000000
spf	4	0.010950	0.000000
spf	5	0.011784	0.000000
spf	6	0.010831	0.000000
spf	7	0.009487	0.000000
spf	8	0.010030	0.000000
spf	9	0.011471	0.000000
spf	10	0.010920	0.000000
spf	11	0.011059	0.000000
spf	12	0.012224	0.000000
spf	13	0.013668	0.000000
spf	14	0.013748	0.000000
spf	15	0.012209	0.000000
spf	16	0.012129	0.000000
spf	17	0.014031	0.000000
spf	18	0.014418	0.000000
spf	19	0.013507	0.000000
spf	20	0.013735	0.000000
spf	21	0.013001	0.000000
spf	22	0.013902	0.000000
spf	23	0.014096	0.000000
vlb	0	0.020637	0.000000
vlb	1	0.020233	0.000000
vlb	2	0.014207	0.000000
vlb	3	0.012520	0.000000
vlb	4	0.011487	0.000000
vlb	5	0.012413	0.000000
vlb	6	0.011399	0.000000
vlb	7	0.010355	0.000000
vlb	8	0.010960	0.000000
vlb	9	0.011400	0.000000
vlb	10	0.011669	0.000000
vlb	11	0.011787	0.000000
vlb	12	0.012749	0.000000
vlb	13	0.013802	0.000000
vlb	14	0.013883	0.000000
vlb	15	0.012377	0.000000
vlb	16	0.012374	0.000000
vlb	17	0.014267	0.000000
vlb	18	0.014624	0.000000
vlb	19	0.013868	0.000000
vlb	20	0.014263	0.000000
vlb	21	0.013378	0.000000
vlb	22	0.015723	0.000000
vlb	23	0.015962	0.000000

