# solver	iter	max-exp-congestion	stddev
ecmp	0	1.252914	0.000000
ecmp	1	1.229887	0.000000
ecmp	2	1.228696	0.000000
ecmp	3	1.076368	0.000000
ecmp	4	0.967417	0.000000
ecmp	5	1.036989	0.000000
ecmp	6	0.951120	0.000000
ecmp	7	0.958961	0.000000
ecmp	8	1.013331	0.000000
ecmp	9	1.059126	0.000000
ecmp	10	1.074418	0.000000
ecmp	11	1.091124	0.000000
ecmp	12	1.170832	0.000000
ecmp	13	1.197359	0.000000
ecmp	14	1.209324	0.000000
ecmp	15	1.078276	0.000000
ecmp	16	1.072437	0.000000
ecmp	17	1.240825	0.000000
ecmp	18	1.273056	0.000000
ecmp	19	1.317734	0.000000
ecmp	20	1.339968	0.000000
ecmp	21	1.244611	0.000000
ecmp	22	1.329670	0.000000
ecmp	23	1.348883	0.000000
ksp	0	1.046340	0.000000
ksp	1	1.027113	0.000000
ksp	2	1.028267	0.000000
ksp	3	0.898196	0.000000
ksp	4	0.806903	0.000000
ksp	5	0.864543	0.000000
ksp	6	0.791975	0.000000
ksp	7	0.799145	0.000000
ksp	8	0.844973	0.000000
ksp	9	0.883411	0.000000
ksp	10	0.898422	0.000000
ksp	11	0.912515	0.000000
ksp	12	0.979492	0.000000
ksp	13	0.999893	0.000000
ksp	14	1.010519	0.000000
ksp	15	0.900687	0.000000
ksp	16	0.895197	0.000000
ksp	17	1.035618	0.000000
ksp	18	1.061683	0.000000
ksp	19	1.098997	0.000000
ksp	20	1.116631	0.000000
ksp	21	1.039706	0.000000
ksp	22	1.113634	0.000000
ksp	23	1.129831	0.000000
mcf	0	0.800000	0.000000
mcf	1	0.786650	0.000000
mcf	2	0.784833	0.000000
mcf	3	0.687088	0.000000
mcf	4	0.617531	0.000000
mcf	5	0.660689	0.000000
mcf	6	0.605822	0.000000
mcf	7	0.611279	0.000000
mcf	8	0.645936	0.000000
mcf	9	0.675132	0.000000
mcf	10	0.687947	0.000000
mcf	11	0.699583	0.000000
mcf	12	0.750689	0.000000
mcf	13	0.766062	0.000000
mcf	14	0.775250	0.000000
mcf	15	0.691134	0.000000
mcf	16	0.687391	0.000000
mcf	17	0.795321	0.000000
mcf	18	0.814950	0.000000
mcf	19	0.843577	0.000000
mcf	20	0.857740	0.000000
mcf	21	0.800024	0.000000
mcf	22	0.854799	0.000000
mcf	23	0.867083	0.000000
raeke	0	1.078058	0.000000
raeke	1	1.058573	0.000000
raeke	2	1.057204	0.000000
raeke	3	0.925281	0.000000
raeke	4	0.831615	0.000000
raeke	5	0.891309	0.000000
raeke	6	0.817835	0.000000
raeke	7	0.824385	0.000000
raeke	8	0.871400	0.000000
raeke	9	0.911097	0.000000
raeke	10	0.925476	0.000000
raeke	11	0.939990	0.000000
raeke	12	1.008882	0.000000
raeke	13	1.031911	0.000000
raeke	14	1.042415	0.000000
raeke	15	0.929163	0.000000
raeke	16	0.923699	0.000000
raeke	17	1.068714	0.000000
raeke	18	1.096235	0.000000
raeke	19	1.134520	0.000000
raeke	20	1.154234	0.000000
raeke	21	1.073481	0.000000
raeke	22	1.146779	0.000000
raeke	23	1.163713	0.000000
semimcfecmp	0	1.252350	0.000000
semimcfecmp	1	1.229144	0.000000
semimcfecmp	2	1.227977	0.000000
semimcfecmp	3	1.075744	0.000000
semimcfecmp	4	0.966857	0.000000
semimcfecmp	5	1.036513	0.000000
semimcfecmp	6	0.950688	0.000000
semimcfecmp	7	0.958482	0.000000
semimcfecmp	8	1.012825	0.000000
semimcfecmp	9	1.058600	0.000000
semimcfecmp	10	1.073883	0.000000
semimcfecmp	11	1.090486	0.000000
semimcfecmp	12	1.170148	0.000000
semimcfecmp	13	1.196818	0.000000
semimcfecmp	14	1.208623	0.000000
semimcfecmp	15	1.077645	0.000000
semimcfecmp	16	1.071810	0.000000
semimcfecmp	17	1.240112	0.000000
semimcfecmp	18	1.272427	0.000000
semimcfecmp	19	1.317083	0.000000
semimcfecmp	20	1.339308	0.000000
semimcfecmp	21	1.243987	0.000000
semimcfecmp	22	1.329000	0.000000
semimcfecmp	23	1.348203	0.000000
semimcfksp	0	0.800000	0.000000
semimcfksp	1	0.786650	0.000000
semimcfksp	2	0.784833	0.000000
semimcfksp	3	0.687088	0.000000
semimcfksp	4	0.617531	0.000000
semimcfksp	5	0.660689	0.000000
semimcfksp	6	0.605822	0.000000
semimcfksp	7	0.611279	0.000000
semimcfksp	8	0.645936	0.000000
semimcfksp	9	0.675132	0.000000
semimcfksp	10	0.687947	0.000000
semimcfksp	11	0.699583	0.000000
semimcfksp	12	0.750689	0.000000
semimcfksp	13	0.766062	0.000000
semimcfksp	14	0.775250	0.000000
semimcfksp	15	0.691134	0.000000
semimcfksp	16	0.687391	0.000000
semimcfksp	17	0.795321	0.000000
semimcfksp	18	0.814950	0.000000
semimcfksp	19	0.843577	0.000000
semimcfksp	20	0.857740	0.000000
semimcfksp	21	0.800024	0.000000
semimcfksp	22	0.854799	0.000000
semimcfksp	23	0.867083	0.000000
semimcfmcf	0	0.800000	0.000000
semimcfmcf	1	0.786650	0.000000
semimcfmcf	2	0.784833	0.000000
semimcfmcf	3	0.687088	0.000000
semimcfmcf	4	0.617531	0.000000
semimcfmcf	5	0.660689	0.000000
semimcfmcf	6	0.605822	0.000000
semimcfmcf	7	0.611279	0.000000
semimcfmcf	8	0.645936	0.000000
semimcfmcf	9	0.675132	0.000000
semimcfmcf	10	0.687947	0.000000
semimcfmcf	11	0.699583	0.000000
semimcfmcf	12	0.750689	0.000000
semimcfmcf	13	0.766062	0.000000
semimcfmcf	14	0.775250	0.000000
semimcfmcf	15	0.691797	0.000000
semimcfmcf	16	0.687391	0.000000
semimcfmcf	17	0.795321	0.000000
semimcfmcf	18	0.814950	0.000000
semimcfmcf	19	0.843577	0.000000
semimcfmcf	20	0.857740	0.000000
semimcfmcf	21	0.800024	0.000000
semimcfmcf	22	0.856648	0.000000
semimcfmcf	23	0.871034	0.000000
semimcfraeke	0	0.800000	0.000000
semimcfraeke	1	0.786650	0.000000
semimcfraeke	2	0.784833	0.000000
semimcfraeke	3	0.687088	0.000000
semimcfraeke	4	0.617531	0.000000
semimcfraeke	5	0.660689	0.000000
semimcfraeke	6	0.605822	0.000000
semimcfraeke	7	0.611279	0.000000
semimcfraeke	8	0.645936	0.000000
semimcfraeke	9	0.675132	0.000000
semimcfraeke	10	0.687947	0.000000
semimcfraeke	11	0.699583	0.000000
semimcfraeke	12	0.750689	0.000000
semimcfraeke	13	0.766062	0.000000
semimcfraeke	14	0.775250	0.000000
semimcfraeke	15	0.691134	0.000000
semimcfraeke	16	0.687391	0.000000
semimcfraeke	17	0.795321	0.000000
semimcfraeke	18	0.814950	0.000000
semimcfraeke	19	0.843577	0.000000
semimcfraeke	20	0.857740	0.000000
semimcfraeke	21	0.800024	0.000000
semimcfraeke	22	0.854799	0.000000
semimcfraeke	23	0.867083	0.000000
semimcfvlb	0	0.800000	0.000000
semimcfvlb	1	0.786650	0.000000
semimcfvlb	2	0.784833	0.000000
semimcfvlb	3	0.687088	0.000000
semimcfvlb	4	0.617531	0.000000
semimcfvlb	5	0.660689	0.000000
semimcfvlb	6	0.605822	0.000000
semimcfvlb	7	0.611279	0.000000
semimcfvlb	8	0.645936	0.000000
semimcfvlb	9	0.675132	0.000000
semimcfvlb	10	0.687947	0.000000
semimcfvlb	11	0.699583	0.000000
semimcfvlb	12	0.750689	0.000000
semimcfvlb	13	0.766062	0.000000
semimcfvlb	14	0.775250	0.000000
semimcfvlb	15	0.691134	0.000000
semimcfvlb	16	0.687391	0.000000
semimcfvlb	17	0.795321	0.000000
semimcfvlb	18	0.814950	0.000000
semimcfvlb	19	0.843577	0.000000
semimcfvlb	20	0.857740	0.000000
semimcfvlb	21	0.800024	0.000000
semimcfvlb	22	0.854799	0.000000
semimcfvlb	23	0.867083	0.000000
spf	0	1.252350	0.000000
spf	1	1.229144	0.000000
spf	2	1.227977	0.000000
spf	3	1.075744	0.000000
spf	4	0.966857	0.000000
spf	5	1.036513	0.000000
spf	6	0.950688	0.000000
spf	7	0.958482	0.000000
spf	8	1.012825	0.000000
spf	9	1.058600	0.000000
spf	10	1.073883	0.000000
spf	11	1.090486	0.000000
spf	12	1.170148	0.000000
spf	13	1.196818	0.000000
spf	14	1.208623	0.000000
spf	15	1.077645	0.000000
spf	16	1.071810	0.000000
spf	17	1.240112	0.000000
spf	18	1.272427	0.000000
spf	19	1.317083	0.000000
spf	20	1.339308	0.000000
spf	21	1.243987	0.000000
spf	22	1.329000	0.000000
spf	23	1.348203	0.000000
vlb	0	1.299847	0.000000
vlb	1	1.168984	0.000000
vlb	2	1.164770	0.000000
vlb	3	1.006406	0.000000
vlb	4	0.961188	0.000000
vlb	5	0.988800	0.000000
vlb	6	0.907296	0.000000
vlb	7	0.963119	0.000000
vlb	8	0.941798	0.000000
vlb	9	1.000727	0.000000
vlb	10	0.998906	0.000000
vlb	11	1.036136	0.000000
vlb	12	1.115273	0.000000
vlb	13	1.124441	0.000000
vlb	14	1.164137	0.000000
vlb	15	1.027155	0.000000
vlb	16	1.022115	0.000000
vlb	17	1.221710	0.000000
vlb	18	1.212112	0.000000
vlb	19	1.252183	0.000000
vlb	20	1.252316	0.000000
vlb	21	1.199398	0.000000
vlb	22	1.266941	0.000000
vlb	23	1.315728	0.000000

