# solver	iter	time	stddev
ecmp	0	0.041242	0.000000
ecmp	1	0.038620	0.000000
ecmp	2	0.040662	0.000000
ecmp	3	0.041397	0.000000
ecmp	4	0.040060	0.000000
ecmp	5	0.057552	0.000000
ecmp	6	0.041147	0.000000
ecmp	7	0.039537	0.000000
ecmp	8	0.043281	0.000000
ecmp	9	0.040339	0.000000
ecmp	10	0.039524	0.000000
ecmp	11	0.039778	0.000000
ecmp	12	0.042825	0.000000
ecmp	13	0.047983	0.000000
ecmp	14	0.040965	0.000000
ecmp	15	0.049070	0.000000
ecmp	16	0.039239	0.000000
ecmp	17	0.060946	0.000000
ecmp	18	0.077625	0.000000
ecmp	19	0.050019	0.000000
ecmp	20	0.044963	0.000000
ecmp	21	0.041987	0.000000
ecmp	22	0.043147	0.000000
ecmp	23	0.044692	0.000000
ksp	0	0.020826	0.000000
ksp	1	0.021473	0.000000
ksp	2	0.025928	0.000000
ksp	3	0.019134	0.000000
ksp	4	0.019332	0.000000
ksp	5	0.018749	0.000000
ksp	6	0.020273	0.000000
ksp	7	0.020019	0.000000
ksp	8	0.018271	0.000000
ksp	9	0.018508	0.000000
ksp	10	0.051806	0.000000
ksp	11	0.020041	0.000000
ksp	12	0.019577	0.000000
ksp	13	0.018040	0.000000
ksp	14	0.018460	0.000000
ksp	15	0.018586	0.000000
ksp	16	0.018503	0.000000
ksp	17	0.019895	0.000000
ksp	18	0.017774	0.000000
ksp	19	0.018479	0.000000
ksp	20	0.018830	0.000000
ksp	21	0.018889	0.000000
ksp	22	0.023611	0.000000
ksp	23	0.019063	0.000000
mcf	0	0.218466	0.000000
mcf	1	0.194300	0.000000
mcf	2	0.266890	0.000000
mcf	3	0.200864	0.000000
mcf	4	0.157828	0.000000
mcf	5	0.218050	0.000000
mcf	6	0.208354	0.000000
mcf	7	0.214753	0.000000
mcf	8	0.236719	0.000000
mcf	9	0.201444	0.000000
mcf	10	0.236141	0.000000
mcf	11	0.210587	0.000000
mcf	12	0.222664	0.000000
mcf	13	0.235792	0.000000
mcf	14	0.189828	0.000000
mcf	15	0.202613	0.000000
mcf	16	0.185157	0.000000
mcf	17	0.189003	0.000000
mcf	18	0.253657	0.000000
mcf	19	0.180872	0.000000
mcf	20	0.191885	0.000000
mcf	21	0.204072	0.000000
mcf	22	0.185416	0.000000
mcf	23	0.173835	0.000000
raeke	0	0.329652	0.000000
raeke	1	0.000387	0.000000
raeke	2	0.000384	0.000000
raeke	3	0.000487	0.000000
raeke	4	0.000743	0.000000
raeke	5	0.000417	0.000000
raeke	6	0.000421	0.000000
raeke	7	0.000605	0.000000
raeke	8	0.000398	0.000000
raeke	9	0.000461	0.000000
raeke	10	0.001269	0.000000
raeke	11	0.000428	0.000000
raeke	12	0.000420	0.000000
raeke	13	0.000625	0.000000
raeke	14	0.000401	0.000000
raeke	15	0.000404	0.000000
raeke	16	0.000470	0.000000
raeke	17	0.000416	0.000000
raeke	18	0.000753	0.000000
raeke	19	0.000430	0.000000
raeke	20	0.000441	0.000000
raeke	21	0.000497	0.000000
raeke	22	0.000448	0.000000
raeke	23	0.000690	0.000000
semimcfecmp	0	0.012949	0.000000
semimcfecmp	1	0.033817	0.000000
semimcfecmp	2	0.023911	0.000000
semimcfecmp	3	0.011207	0.000000
semimcfecmp	4	0.024734	0.000000
semimcfecmp	5	0.013594	0.000000
semimcfecmp	6	0.009109	0.000000
semimcfecmp	7	0.028837	0.000000
semimcfecmp	8	0.011974	0.000000
semimcfecmp	9	0.016409	0.000000
semimcfecmp	10	0.020274	0.000000
semimcfecmp	11	0.023708	0.000000
semimcfecmp	12	0.013558	0.000000
semimcfecmp	13	0.020565	0.000000
semimcfecmp	14	0.023681	0.000000
semimcfecmp	15	0.025923	0.000000
semimcfecmp	16	0.012310	0.000000
semimcfecmp	17	0.012435	0.000000
semimcfecmp	18	0.014104	0.000000
semimcfecmp	19	0.048542	0.000000
semimcfecmp	20	0.016197	0.000000
semimcfecmp	21	0.010772	0.000000
semimcfecmp	22	0.022096	0.000000
semimcfecmp	23	0.011745	0.000000
semimcfksp	0	0.030510	0.000000
semimcfksp	1	0.019210	0.000000
semimcfksp	2	0.043865	0.000000
semimcfksp	3	0.025899	0.000000
semimcfksp	4	0.019556	0.000000
semimcfksp	5	0.024537	0.000000
semimcfksp	6	0.018557	0.000000
semimcfksp	7	0.047563	0.000000
semimcfksp	8	0.019747	0.000000
semimcfksp	9	0.045230	0.000000
semimcfksp	10	0.062052	0.000000
semimcfksp	11	0.033190	0.000000
semimcfksp	12	0.018011	0.000000
semimcfksp	13	0.018731	0.000000
semimcfksp	14	0.029566	0.000000
semimcfksp	15	0.038304	0.000000
semimcfksp	16	0.040984	0.000000
semimcfksp	17	0.070958	0.000000
semimcfksp	18	0.042271	0.000000
semimcfksp	19	0.047257	0.000000
semimcfksp	20	0.018838	0.000000
semimcfksp	21	0.040341	0.000000
semimcfksp	22	0.028091	0.000000
semimcfksp	23	0.018330	0.000000
semimcfmcf	0	0.011631	0.000000
semimcfmcf	1	0.047482	0.000000
semimcfmcf	2	0.011946	0.000000
semimcfmcf	3	0.027286	0.000000
semimcfmcf	4	0.040618	0.000000
semimcfmcf	5	0.010224	0.000000
semimcfmcf	6	0.009914	0.000000
semimcfmcf	7	0.009531	0.000000
semimcfmcf	8	0.038162	0.000000
semimcfmcf	9	0.040109	0.000000
semimcfmcf	10	0.011225	0.000000
semimcfmcf	11	0.013565	0.000000
semimcfmcf	12	0.068384	0.000000
semimcfmcf	13	0.011575	0.000000
semimcfmcf	14	0.024352	0.000000
semimcfmcf	15	0.039732	0.000000
semimcfmcf	16	0.024501	0.000000
semimcfmcf	17	0.013224	0.000000
semimcfmcf	18	0.030085	0.000000
semimcfmcf	19	0.050504	0.000000
semimcfmcf	20	0.011659	0.000000
semimcfmcf	21	0.011274	0.000000
semimcfmcf	22	0.020388	0.000000
semimcfmcf	23	0.009759	0.000000
semimcfraeke	0	0.042757	0.000000
semimcfraeke	1	0.025232	0.000000
semimcfraeke	2	0.044039	0.000000
semimcfraeke	3	0.025441	0.000000
semimcfraeke	4	0.032217	0.000000
semimcfraeke	5	0.019344	0.000000
semimcfraeke	6	0.030264	0.000000
semimcfraeke	7	0.020953	0.000000
semimcfraeke	8	0.023741	0.000000
semimcfraeke	9	0.019613	0.000000
semimcfraeke	10	0.020860	0.000000
semimcfraeke	11	0.023850	0.000000
semimcfraeke	12	0.043731	0.000000
semimcfraeke	13	0.019389	0.000000
semimcfraeke	14	0.023898	0.000000
semimcfraeke	15	0.043733	0.000000
semimcfraeke	16	0.031782	0.000000
semimcfraeke	17	0.034577	0.000000
semimcfraeke	18	0.046024	0.000000
semimcfraeke	19	0.023186	0.000000
semimcfraeke	20	0.068560	0.000000
semimcfraeke	21	0.022908	0.000000
semimcfraeke	22	0.034785	0.000000
semimcfraeke	23	0.018590	0.000000
semimcfvlb	0	0.019571	0.000000
semimcfvlb	1	0.022432	0.000000
semimcfvlb	2	0.034966	0.000000
semimcfvlb	3	0.022266	0.000000
semimcfvlb	4	0.025721	0.000000
semimcfvlb	5	0.019393	0.000000
semimcfvlb	6	0.032079	0.000000
semimcfvlb	7	0.052275	0.000000
semimcfvlb	8	0.051563	0.000000
semimcfvlb	9	0.051362	0.000000
semimcfvlb	10	0.032409	0.000000
semimcfvlb	11	0.019383	0.000000
semimcfvlb	12	0.018983	0.000000
semimcfvlb	13	0.017712	0.000000
semimcfvlb	14	0.047949	0.000000
semimcfvlb	15	0.047312	0.000000
semimcfvlb	16	0.039593	0.000000
semimcfvlb	17	0.019982	0.000000
semimcfvlb	18	0.065839	0.000000
semimcfvlb	19	0.018964	0.000000
semimcfvlb	20	0.054034	0.000000
semimcfvlb	21	0.021373	0.000000
semimcfvlb	22	0.064006	0.000000
semimcfvlb	23	0.070992	0.000000
spf	0	0.015240	0.000000
spf	1	0.001001	0.000000
spf	2	0.001001	0.000000
spf	3	0.000918	0.000000
spf	4	0.001006	0.000000
spf	5	0.001066	0.000000
spf	6	0.001717	0.000000
spf	7	0.001012	0.000000
spf	8	0.000975	0.000000
spf	9	0.001622	0.000000
spf	10	0.000953	0.000000
spf	11	0.000947	0.000000
spf	12	0.001195	0.000000
spf	13	0.001091	0.000000
