# solver	iter	congestion-drop	stddev
ecmp	0	0.179840	0.000000
ecmp	1	0.176172	0.000000
ecmp	2	0.271115	0.000000
ecmp	3	0.239239	0.000000
ecmp	4	0.213822	0.000000
ecmp	5	0.230837	0.000000
ecmp	6	0.208899	0.000000
ecmp	7	0.212950	0.000000
ecmp	8	0.226026	0.000000
ecmp	9	0.238474	0.000000
ecmp	10	0.244136	0.000000
ecmp	11	0.248167	0.000000
ecmp	12	0.262906	0.000000
ecmp	13	0.267259	0.000000
ecmp	14	0.267610	0.000000
ecmp	15	0.240756	0.000000
ecmp	16	0.241524	0.000000
ecmp	17	0.273804	0.000000
ecmp	18	0.279697	0.000000
ecmp	19	0.288975	0.000000
ecmp	20	0.292213	0.000000
ecmp	21	0.276264	0.000000
ecmp	22	0.288059	0.000000
ecmp	23	0.290955	0.000000
ksp	0	0.150445	0.000000
ksp	1	0.143714	0.000000
ksp	2	0.273133	0.000000
ksp	3	0.237805	0.000000
ksp	4	0.211050	0.000000
ksp	5	0.228534	0.000000
ksp	6	0.205891	0.000000
ksp	7	0.209891	0.000000
ksp	8	0.223379	0.000000
ksp	9	0.236385	0.000000
ksp	10	0.242334	0.000000
ksp	11	0.246753	0.000000
ksp	12	0.262899	0.000000
ksp	13	0.267593	0.000000
ksp	14	0.269443	0.000000
ksp	15	0.239624	0.000000
ksp	16	0.240081	0.000000
ksp	17	0.278979	0.000000
ksp	18	0.286752	0.000000
ksp	19	0.298914	0.000000
ksp	20	0.304177	0.000000
ksp	21	0.281294	0.000000
ksp	22	0.301449	0.000000
ksp	23	0.306168	0.000000
mcf	0	0.122374	0.000000
mcf	1	0.081037	0.000000
mcf	2	0.357735	0.000000
mcf	3	0.308630	0.000000
mcf	4	0.259015	0.000000
mcf	5	0.283797	0.000000
mcf	6	0.250743	0.000000
mcf	7	0.254401	0.000000
mcf	8	0.274967	0.000000
mcf	9	0.294080	0.000000
mcf	10	0.303255	0.000000
mcf	11	0.309336	0.000000
mcf	12	0.338502	0.000000
mcf	13	0.342418	0.000000
mcf	14	0.347568	0.000000
mcf	15	0.307234	0.000000
mcf	16	0.304668	0.000000
mcf	17	0.363056	0.000000
mcf	18	0.367494	0.000000
mcf	19	0.382826	0.000000
mcf	20	0.384892	0.000000
mcf	21	0.363913	0.000000
mcf	22	0.386023	0.000000
mcf	23	0.394927	0.000000
raeke	0	0.118639	0.000000
raeke	1	0.115123	0.000000
raeke	2	0.271853	0.000000
raeke	3	0.252562	0.000000
raeke	4	0.226460	0.000000
raeke	5	0.243794	0.000000
raeke	6	0.222205	0.000000
raeke	7	0.225567	0.000000
raeke	8	0.238857	0.000000
raeke	9	0.252211	0.000000
raeke	10	0.258281	0.000000
raeke	11	0.261640	0.000000
raeke	12	0.276865	0.000000
raeke	13	0.281092	0.000000
raeke	14	0.281687	0.000000
raeke	15	0.253897	0.000000
raeke	16	0.255377	0.000000
raeke	17	0.287913	0.000000
raeke	18	0.298415	0.000000
raeke	19	0.303609	0.000000
raeke	20	0.310818	0.000000
raeke	21	0.290756	0.000000
raeke	22	0.301752	0.000000
raeke	23	0.311911	0.000000
semimcfecmp	0	0.179667	0.000000
semimcfecmp	1	0.175940	0.000000
semimcfecmp	2	0.272039	0.000000
semimcfecmp	3	0.252679	0.000000
semimcfecmp	4	0.226708	0.000000
semimcfecmp	5	0.244164	0.000000
semimcfecmp	6	0.221488	0.000000
semimcfecmp	7	0.225658	0.000000
semimcfecmp	8	0.239136	0.000000
semimcfecmp	9	0.252089	0.000000
semimcfecmp	10	0.257931	0.000000
semimcfecmp	11	0.261967	0.000000
semimcfecmp	12	0.276798	0.000000
semimcfecmp	13	0.281215	0.000000
semimcfecmp	14	0.281489	0.000000
semimcfecmp	15	0.254273	0.000000
semimcfecmp	16	0.255133	0.000000
semimcfecmp	17	0.287724	0.000000
semimcfecmp	18	0.293653	0.000000
semimcfecmp	19	0.303630	0.000000
semimcfecmp	20	0.307422	0.000000
semimcfecmp	21	0.290250	0.000000
semimcfecmp	22	0.306281	0.000000
semimcfecmp	23	0.309530	0.000000
semimcfksp	0	0.081804	0.000000
semimcfksp	1	0.075060	0.000000
