# solver	iter	time	stddev
ecmp	0	0.047160	0.000000
ecmp	1	0.081236	0.000000
ecmp	2	0.042153	0.000000
ecmp	3	0.040341	0.000000
ecmp	4	0.042454	0.000000
ecmp	5	0.047967	0.000000
ecmp	6	0.042030	0.000000
ecmp	7	0.043363	0.000000
ecmp	8	0.037998	0.000000
ecmp	9	0.040365	0.000000
ecmp	10	0.040603	0.000000
ecmp	11	0.040436	0.000000
ecmp	12	0.043155	0.000000
ecmp	13	0.037769	0.000000
ecmp	14	0.045383	0.000000
ecmp	15	0.042864	0.000000
ecmp	16	0.041849	0.000000
ecmp	17	0.044208	0.000000
ecmp	18	0.041731	0.000000
ecmp	19	0.040133	0.000000
ecmp	20	0.041014	0.000000
ecmp	21	0.039978	0.000000
ecmp	22	0.040836	0.000000
ecmp	23	0.041463	0.000000
ksp	0	0.020338	0.000000
ksp	1	0.018908	0.000000
ksp	2	0.021357	0.000000
ksp	3	0.019862	0.000000
ksp	4	0.018446	0.000000
ksp	5	0.019370	0.000000
ksp	6	0.018841	0.000000
ksp	7	0.021665	0.000000
ksp	8	0.018444	0.000000
ksp	9	0.018126	0.000000
ksp	10	0.019807	0.000000
ksp	11	0.018509	0.000000
ksp	12	0.015088	0.000000
ksp	13	0.022414	0.000000
ksp	14	0.017895	0.000000
ksp	15	0.029706	0.000000
ksp	16	0.017927	0.000000
ksp	17	0.039600	0.000000
ksp	18	0.020169	0.000000
ksp	19	0.024017	0.000000
ksp	20	0.029962	0.000000
ksp	21	0.017896	0.000000
ksp	22	0.020497	0.000000
ksp	23	0.021320	0.000000
mcf	0	0.422475	0.000000
mcf	1	0.240409	0.000000
mcf	2	0.305489	0.000000
mcf	3	0.209342	0.000000
mcf	4	0.341724	0.000000
mcf	5	0.241930	0.000000
mcf	6	0.416306	0.000000
mcf	7	0.313163	0.000000
mcf	8	0.274401	0.000000
mcf	9	0.306602	0.000000
mcf	10	0.207406	0.000000
mcf	11	0.275015	0.000000
mcf	12	0.292062	0.000000
mcf	13	0.208084	0.000000
mcf	14	0.203336	0.000000
mcf	15	0.348815	0.000000
mcf	16	0.250980	0.000000
mcf	17	0.438789	0.000000
mcf	18	0.462873	0.000000
mcf	19	0.368175	0.000000
mcf	20	0.206156	0.000000
mcf	21	0.325307	0.000000
mcf	22	0.316877	0.000000
mcf	23	0.207167	0.000000
raeke	0	0.344818	0.000000
raeke	1	0.000631	0.000000
raeke	2	0.000400	0.000000
raeke	3	0.000531	0.000000
raeke	4	0.000419	0.000000
raeke	5	0.000384	0.000000
raeke	6	0.000436	0.000000
raeke	7	0.000365	0.000000
raeke	8	0.000411	0.000000
raeke	9	0.000371	0.000000
raeke	10	0.000345	0.000000
raeke	11	0.000365	0.000000
raeke	12	0.000487	0.000000
raeke	13	0.000403	0.000000
raeke	14	0.000407	0.000000
raeke	15	0.000381	0.000000
raeke	16	0.000363	0.000000
raeke	17	0.000502	0.000000
raeke	18	0.000393	0.000000
raeke	19	0.000551	0.000000
raeke	20	0.000363	0.000000
raeke	21	0.000408	0.000000
raeke	22	0.000355	0.000000
raeke	23	0.000347	0.000000
semimcfecmp	0	0.033352	0.000000
semimcfecmp	1	0.012914	0.000000
semimcfecmp	2	0.034202	0.000000
semimcfecmp	3	0.024844	0.000000
semimcfecmp	4	0.049264	0.000000
semimcfecmp	5	0.027957	0.000000
semimcfecmp	6	0.023693	0.000000
semimcfecmp	7	0.055199	0.000000
semimcfecmp	8	0.027760	0.000000
semimcfecmp	9	0.020442	0.000000
semimcfecmp	10	0.012095	0.000000
semimcfecmp	11	0.010496	0.000000
semimcfecmp	12	0.012179	0.000000
semimcfecmp	13	0.028189	0.000000
semimcfecmp	14	0.018607	0.000000
semimcfecmp	15	0.026280	0.000000
semimcfecmp	16	0.026403	0.000000
semimcfecmp	17	0.011876	0.000000
semimcfecmp	18	0.048277	0.000000
semimcfecmp	19	0.013685	0.000000
semimcfecmp	20	0.029030	0.000000
semimcfecmp	21	0.026669	0.000000
semimcfecmp	22	0.024753	0.000000
semimcfecmp	23	0.022310	0.000000
semimcfksp	0	0.016911	0.000000
semimcfksp	1	0.020233	0.000000
semimcfksp	2	0.043445	0.000000
semimcfksp	3	0.016789	0.000000
semimcfksp	4	0.062040	0.000000
semimcfksp	5	0.024947	0.000000
semimcfksp	6	0.022726	0.000000
semimcfksp	7	0.044207	0.000000
semimcfksp	8	0.019398	0.000000
semimcfksp	9	0.050383	0.000000
semimcfksp	10	0.019279	0.000000
semimcfksp	11	0.030696	0.000000
semimcfksp	12	0.029744	0.000000
semimcfksp	13	0.018232	0.000000
semimcfksp	14	0.069554	0.000000
semimcfksp	15	0.037736	0.000000
semimcfksp	16	0.017075	0.000000
semimcfksp	17	0.017718	0.000000
semimcfksp	18	0.033782	0.000000
semimcfksp	19	0.045441	0.000000
semimcfksp	20	0.032039	0.000000
semimcfksp	21	0.018439	0.000000
semimcfksp	22	0.028465	0.000000
semimcfksp	23	0.035496	0.000000
semimcfmcf	0	0.043768	0.000000
semimcfmcf	1	0.009931	0.000000
semimcfmcf	2	0.044321	0.000000
semimcfmcf	3	0.016346	0.000000
semimcfmcf	4	0.023290	0.000000
semimcfmcf	5	0.024318	0.000000
semimcfmcf	6	0.030888	0.000000
semimcfmcf	7	0.020250	0.000000
semimcfmcf	8	0.024759	0.000000
semimcfmcf	9	0.010778	0.000000
semimcfmcf	10	0.019799	0.000000
semimcfmcf	11	0.031662	0.000000
semimcfmcf	12	0.016934	0.000000
semimcfmcf	13	0.030976	0.000000
semimcfmcf	14	0.010902	0.000000
semimcfmcf	15	0.022786	0.000000
semimcfmcf	16	0.042788	0.000000
semimcfmcf	17	0.057814	0.000000
semimcfmcf	18	0.011111	0.000000
semimcfmcf	19	0.031461	0.000000
semimcfmcf	20	0.017343	0.000000
semimcfmcf	21	0.039481	0.000000
semimcfmcf	22	0.010289	0.000000
semimcfmcf	23	0.018377	0.000000
semimcfmcfenv	0	0.010532	0.000000
semimcfmcfenv	1	0.019904	0.000000
semimcfmcfenv	2	0.039664	0.000000
semimcfmcfenv	3	0.023185	0.000000
semimcfmcfenv	4	0.019625	0.000000
semimcfmcfenv	5	0.027015	0.000000
semimcfmcfenv	6	0.021838	0.000000
semimcfmcfenv	7	0.022951	0.000000
semimcfmcfenv	8	0.006966	0.000000
semimcfmcfenv	9	0.029369	0.000000
semimcfmcfenv	10	0.011491	0.000000
semimcfmcfenv	11	0.010671	0.000000
semimcfmcfenv	12	0.033338	0.000000
semimcfmcfenv	13	0.030002	0.000000
semimcfmcfenv	14	0.014791	0.000000
semimcfmcfenv	15	0.022252	0.000000
semimcfmcfenv	16	0.010371	0.000000
semimcfmcfenv	17	0.010881	0.000000
semimcfmcfenv	18	0.023872	0.000000
semimcfmcfenv	19	0.009576	0.000000
semimcfmcfenv	20	0.019273	0.000000
semimcfmcfenv	21	0.015006	0.000000
semimcfmcfenv	22	0.009767	0.000000
semimcfmcfenv	23	0.010808	0.000000
semimcfraeke	0	0.029422	0.000000
semimcfraeke	1	0.051138	0.000000
semimcfraeke	2	0.022479	0.000000
semimcfraeke	3	0.033602	0.000000
semimcfraeke	4	0.073200	0.000000
semimcfraeke	5	0.047873	0.000000
semimcfraeke	6	0.033538	0.000000
semimcfraeke	7	0.029707	0.000000
semimcfraeke	8	0.025996	0.000000
semimcfraeke	9	0.035100	0.000000
semimcfraeke	10	0.034136	0.000000
semimcfraeke	11	0.024444	0.000000
semimcfraeke	12	0.037163	0.000000
semimcfraeke	13	0.019956	0.000000
semimcfraeke	14	0.032822	0.000000
semimcfraeke	15	0.022892	0.000000
semimcfraeke	16	0.029216	0.000000
semimcfraeke	17	0.028528	0.000000
semimcfraeke	18	0.029024	0.000000
semimcfraeke	19	0.042725	0.000000
semimcfraeke	20	0.032225	0.000000
semimcfraeke	21	0.031125	0.000000
semimcfraeke	22	0.017546	0.000000
semimcfraeke	23	0.033590	0.000000
semimcfvlb	0	0.019331	0.000000
semimcfvlb	1	0.039176	0.000000
semimcfvlb	2	0.031892	0.000000
semimcfvlb	3	0.076706	0.000000
semimcfvlb	4	0.019096	0.000000
semimcfvlb	5	0.052578	0.000000
semimcfvlb	6	0.020737	0.000000
semimcfvlb	7	0.034891	0.000000
semimcfvlb	8	0.035160	0.000000
semimcfvlb	9	0.024561	0.000000
semimcfvlb	10	0.019422	0.000000
semimcfvlb	11	0.018088	0.000000
semimcfvlb	12	0.020865	0.000000
semimcfvlb	13	0.025585	0.000000
semimcfvlb	14	0.018397	0.000000
semimcfvlb	15	0.037347	0.000000
semimcfvlb	16	0.017924	0.000000
semimcfvlb	17	0.030505	0.000000
semimcfvlb	18	0.019616	0.000000
semimcfvlb	19	0.031399	0.000000
semimcfvlb	20	0.023504	0.000000
semimcfvlb	21	0.026927	0.000000
semimcfvlb	22	0.047491	0.000000
semimcfvlb	23	0.018184	0.000000
spf	0	0.000941	0.000000
spf	1	0.000919	0.000000
spf	2	0.000950	0.000000
spf	3	0.001421	0.000000
spf	4	0.000948	0.000000
spf	5	0.000890	0.000000
spf	6	0.000927	0.000000
spf	7	0.001742	0.000000
spf	8	0.000908	0.000000
spf	9	0.000946	0.000000
spf	10	0.002479	0.000000
spf	11	0.000931	0.000000
spf	12	0.000914	0.000000
spf	13	0.001345	0.000000
spf	14	0.000913	0.000000
spf	15	0.000953	0.000000
spf	16	0.000922	0.000000
spf	17	0.001100	0.000000
spf	18	0.000903	0.000000
spf	19	0.000889	0.000000
spf	20	0.001253	0.000000
spf	21	0.000939	0.000000
spf	22	0.000912	0.000000
spf	23	0.001390	0.000000
vlb	0	0.048439	0.000000
vlb	1	0.048697	0.000000
vlb	2	0.049710	0.000000
vlb	3	0.049836	0.000000
vlb	4	0.047989	0.000000
vlb	5	0.049808	0.000000
vlb	6	0.057015	0.000000
vlb	7	0.079507	0.000000
vlb	8	0.049856	0.000000
vlb	9	0.061191	0.000000
vlb	10	0.073543	0.000000
vlb	11	0.050548	0.000000
vlb	12	0.050119	0.000000
vlb	13	0.051156	0.000000
vlb	14	0.052223	0.000000
vlb	15	0.060925	0.000000
vlb	16	0.051243	0.000000
vlb	17	0.052467	0.000000
vlb	18	0.052937	0.000000
vlb	19	0.051690	0.000000
vlb	20	0.058117	0.000000
vlb	21	0.047012	0.000000
vlb	22	0.053798	0.000000
vlb	23	0.050093	0.000000

