# solver	iter	failure-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.336346	0.000000
ecmp	3	0.365400	0.000000
ecmp	4	0.396195	0.000000
ecmp	5	0.377782	0.000000
ecmp	6	0.397148	0.000000
ecmp	7	0.395175	0.000000
ecmp	8	0.380397	0.000000
ecmp	9	0.376035	0.000000
ecmp	10	0.371969	0.000000
ecmp	11	0.365464	0.000000
ecmp	12	0.347982	0.000000
ecmp	13	0.344870	0.000000
ecmp	14	0.340085	0.000000
ecmp	15	0.363661	0.000000
ecmp	16	0.367388	0.000000
ecmp	17	0.334903	0.000000
ecmp	18	0.331022	0.000000
ecmp	19	0.325981	0.000000
ecmp	20	0.323522	0.000000
ecmp	21	0.334385	0.000000
ecmp	22	0.317478	0.000000
ecmp	23	0.314999	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.332144	0.000000
ksp	3	0.371170	0.000000
ksp	4	0.384757	0.000000
ksp	5	0.384367	0.000000
ksp	6	0.384420	0.000000
ksp	7	0.387162	0.000000
ksp	8	0.385739	0.000000
ksp	9	0.384305	0.000000
ksp	10	0.381653	0.000000
ksp	11	0.373890	0.000000
ksp	12	0.347610	0.000000
ksp	13	0.340227	0.000000
ksp	14	0.333120	0.000000
ksp	15	0.369184	0.000000
ksp	16	0.374621	0.000000
ksp	17	0.325750	0.000000
ksp	18	0.319710	0.000000
ksp	19	0.313632	0.000000
ksp	20	0.308989	0.000000
ksp	21	0.326730	0.000000
ksp	22	0.303675	0.000000
ksp	23	0.299863	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.270302	0.000000
mcf	3	0.298292	0.000000
mcf	4	0.307179	0.000000
mcf	5	0.307185	0.000000
mcf	6	0.306576	0.000000
mcf	7	0.308091	0.000000
mcf	8	0.307451	0.000000
mcf	9	0.308546	0.000000
mcf	10	0.307467	0.000000
mcf	11	0.303034	0.000000
mcf	12	0.286443	0.000000
mcf	13	0.275834	0.000000
mcf	14	0.277762	0.000000
mcf	15	0.302562	0.000000
mcf	16	0.300156	0.000000
mcf	17	0.260364	0.000000
mcf	18	0.272043	0.000000
mcf	19	0.251616	0.000000
mcf	20	0.254583	0.000000
mcf	21	0.266298	0.000000
mcf	22	0.245070	0.000000
mcf	23	0.237084	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.293465	0.000000
raeke	3	0.321673	0.000000
raeke	4	0.352270	0.000000
raeke	5	0.333820	0.000000
raeke	6	0.354231	0.000000
raeke	7	0.352931	0.000000
raeke	8	0.338118	0.000000
raeke	9	0.332388	0.000000
raeke	10	0.328737	0.000000
raeke	11	0.322663	0.000000
raeke	12	0.305427	0.000000
raeke	13	0.301673	0.000000
raeke	14	0.297410	0.000000
raeke	15	0.321392	0.000000
raeke	16	0.325073	0.000000
raeke	17	0.292566	0.000000
raeke	18	0.288409	0.000000
raeke	19	0.283647	0.000000
raeke	20	0.281302	0.000000
raeke	21	0.292571	0.000000
raeke	22	0.275529	0.000000
raeke	23	0.273152	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.375041	0.000000
semimcfecmp	3	0.404820	0.000000
semimcfecmp	4	0.434873	0.000000
semimcfecmp	5	0.417122	0.000000
semimcfecmp	6	0.436810	0.000000
semimcfecmp	7	0.434900	0.000000
semimcfecmp	8	0.419958	0.000000
semimcfecmp	9	0.415629	0.000000
semimcfecmp	10	0.412076	0.000000
semimcfecmp	11	0.405388	0.000000
semimcfecmp	12	0.387881	0.000000
semimcfecmp	13	0.384789	0.000000
semimcfecmp	14	0.379571	0.000000
semimcfecmp	15	0.403838	0.000000
semimcfecmp	16	0.407906	0.000000
semimcfecmp	17	0.375446	0.000000
semimcfecmp	18	0.371707	0.000000
semimcfecmp	19	0.366655	0.000000
semimcfecmp	20	0.364076	0.000000
semimcfecmp	21	0.375362	0.000000
semimcfecmp	22	0.359683	0.000000
semimcfecmp	23	0.356945	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.260634	0.000000
semimcfksp	3	0.281369	0.000000
semimcfksp	4	0.290134	0.000000
semimcfksp	5	0.285638	0.000000
semimcfksp	6	0.285181	0.000000
semimcfksp	7	0.286093	0.000000
semimcfksp	8	0.286702	0.000000
semimcfksp	9	0.295895	0.000000
semimcfksp	10	0.292308	0.000000
semimcfksp	11	0.287714	0.000000
semimcfksp	12	0.259829	0.000000
semimcfksp	13	0.258850	0.000000
semimcfksp	14	0.259084	0.000000
semimcfksp	15	0.276030	0.000000
semimcfksp	16	0.278964	0.000000
semimcfksp	17	0.246388	0.000000
semimcfksp	18	0.245993	0.000000
semimcfksp	19	0.248039	0.000000
semimcfksp	20	0.244666	0.000000
semimcfksp	21	0.257565	0.000000
semimcfksp	22	0.243749	0.000000
semimcfksp	23	0.241183	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.266818	0.000000
semimcfmcf	3	0.298272	0.000000
semimcfmcf	4	0.307027	0.000000
semimcfmcf	5	0.307185	0.000000
semimcfmcf	6	0.306549	0.000000
semimcfmcf	7	0.308063	0.000000
semimcfmcf	8	0.307418	0.000000
semimcfmcf	9	0.305446	0.000000
semimcfmcf	10	0.301819	0.000000
semimcfmcf	11	0.297409	0.000000
semimcfmcf	12	0.280312	0.000000
semimcfmcf	13	0.275795	0.000000
semimcfmcf	14	0.271980	0.000000
semimcfmcf	15	0.296750	0.000000
semimcfmcf	16	0.300156	0.000000
semimcfmcf	17	0.267593	0.000000
semimcfmcf	18	0.261234	0.000000
semimcfmcf	19	0.251788	0.000000
semimcfmcf	20	0.248142	0.000000
semimcfmcf	21	0.266494	0.000000
semimcfmcf	22	0.241915	0.000000
semimcfmcf	23	0.239400	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.257185	0.000000
semimcfraeke	3	0.278865	0.000000
semimcfraeke	4	0.286159	0.000000
semimcfraeke	5	0.270587	0.000000
semimcfraeke	6	0.270237	0.000000
semimcfraeke	7	0.275019	0.000000
semimcfraeke	8	0.271603	0.000000
semimcfraeke	9	0.292642	0.000000
semimcfraeke	10	0.288963	0.000000
semimcfraeke	11	0.289743	0.000000
semimcfraeke	12	0.272720	0.000000
semimcfraeke	13	0.259106	0.000000
semimcfraeke	14	0.274392	0.000000
semimcfraeke	15	0.269993	0.000000
semimcfraeke	16	0.271261	0.000000
semimcfraeke	17	0.267703	0.000000
semimcfraeke	18	0.243993	0.000000
semimcfraeke	19	0.248799	0.000000
semimcfraeke	20	0.246150	0.000000
semimcfraeke	21	0.259241	0.000000
semimcfraeke	22	0.244051	0.000000
semimcfraeke	23	0.241599	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.287679	0.000000
semimcfvlb	3	0.288739	0.000000
semimcfvlb	4	0.289993	0.000000
semimcfvlb	5	0.271997	0.000000
semimcfvlb	6	0.271601	0.000000
semimcfvlb	7	0.287883	0.000000
semimcfvlb	8	0.272588	0.000000
semimcfvlb	9	0.299457	0.000000
semimcfvlb	10	0.300400	0.000000
semimcfvlb	11	0.300102	0.000000
semimcfvlb	12	0.274951	0.000000
semimcfvlb	13	0.291918	0.000000
semimcfvlb	14	0.252757	0.000000
semimcfvlb	15	0.272043	0.000000
semimcfvlb	16	0.273643	0.000000
semimcfvlb	17	0.273655	0.000000
semimcfvlb	18	0.291579	0.000000
semimcfvlb	19	0.281453	0.000000
semimcfvlb	20	0.280106	0.000000
semimcfvlb	21	0.284232	0.000000
semimcfvlb	22	0.276520	0.000000
semimcfvlb	23	0.275943	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.282345	0.000000
spf	3	0.300283	0.000000
spf	4	0.328774	0.000000
spf	5	0.309779	0.000000
spf	6	0.329065	0.000000
spf	7	0.326395	0.000000
spf	8	0.312009	0.000000
spf	9	0.307648	0.000000
spf	10	0.304598	0.000000
spf	11	0.301171	0.000000
spf	12	0.291035	0.000000
spf	13	0.289106	0.000000
spf	14	0.285851	0.000000
spf	15	0.298962	0.000000
spf	16	0.301489	0.000000
spf	17	0.283164	0.000000
spf	18	0.280685	0.000000
spf	19	0.277653	0.000000
spf	20	0.276495	0.000000
spf	21	0.283074	0.000000
spf	22	0.272798	0.000000
spf	23	0.271488	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.277578	0.000000
vlb	3	0.348533	0.000000
vlb	4	0.372943	0.000000
vlb	5	0.364280	0.000000
vlb	6	0.425669	0.000000
vlb	7	0.336056	0.000000
vlb	8	0.352159	0.000000
vlb	9	0.407502	0.000000
vlb	10	0.365458	0.000000
vlb	11	0.370400	0.000000
vlb	12	0.350766	0.000000
vlb	13	0.346914	0.000000
vlb	14	0.274484	0.000000
vlb	15	0.334475	0.000000
vlb	16	0.324266	0.000000
vlb	17	0.275655	0.000000
vlb	18	0.315255	0.000000
vlb	19	0.295997	0.000000
vlb	20	0.312244	0.000000
vlb	21	0.287773	0.000000
vlb	22	0.283061	0.000000
vlb	23	0.288394	0.000000

