# solver	iter	total-throughput	stddev
ecmp	0	0.820160	0.000000
ecmp	1	0.823828	0.000000
ecmp	2	0.822666	0.000000
ecmp	3	0.853680	0.000000
ecmp	4	0.880044	0.000000
ecmp	5	0.861894	0.000000
ecmp	6	0.884393	0.000000
ecmp	7	0.881346	0.000000
ecmp	8	0.867404	0.000000
ecmp	9	0.855273	0.000000
ecmp	10	0.851710	0.000000
ecmp	11	0.848199	0.000000
ecmp	12	0.832814	0.000000
ecmp	13	0.827561	0.000000
ecmp	14	0.827171	0.000000
ecmp	15	0.853744	0.000000
ecmp	16	0.853802	0.000000
ecmp	17	0.821208	0.000000
ecmp	18	0.815135	0.000000
ecmp	19	0.806658	0.000000
ecmp	20	0.803358	0.000000
ecmp	21	0.820279	0.000000
ecmp	22	0.808134	0.000000
ecmp	23	0.805279	0.000000
ksp	0	0.849555	0.000000
ksp	1	0.856286	0.000000
ksp	2	0.855346	0.000000
ksp	3	0.900800	0.000000
ksp	4	0.941444	0.000000
ksp	5	0.915107	0.000000
ksp	6	0.948041	0.000000
ksp	7	0.945481	0.000000
ksp	8	0.923624	0.000000
ksp	9	0.906865	0.000000
ksp	10	0.900999	0.000000
ksp	11	0.895033	0.000000
ksp	12	0.870433	0.000000
ksp	13	0.863472	0.000000
ksp	14	0.860096	0.000000
ksp	15	0.897825	0.000000
ksp	16	0.900356	0.000000
ksp	17	0.851462	0.000000
ksp	18	0.844022	0.000000
ksp	19	0.833675	0.000000
ksp	20	0.829040	0.000000
ksp	21	0.851111	0.000000
ksp	22	0.830606	0.000000
ksp	23	0.825640	0.000000
mcf	0	0.877626	0.000000
mcf	1	0.918963	0.000000
mcf	2	0.894389	0.000000
mcf	3	0.978365	0.000000
mcf	4	1.000000	0.000000
mcf	5	1.000000	0.000000
mcf	6	1.000000	0.000000
mcf	7	1.000000	0.000000
mcf	8	1.000000	0.000000
mcf	9	0.993756	0.000000
mcf	10	0.976782	0.000000
mcf	11	0.964684	0.000000
mcf	12	0.922358	0.000000
mcf	13	0.935327	0.000000
mcf	14	0.927716	0.000000
mcf	15	0.973919	0.000000
mcf	16	0.977599	0.000000
mcf	17	0.883302	0.000000
mcf	18	0.890784	0.000000
mcf	19	0.850350	0.000000
mcf	20	0.880468	0.000000
mcf	21	0.885750	0.000000
mcf	22	0.841383	0.000000
mcf	23	0.829218	0.000000
raeke	0	0.876165	0.000000
raeke	1	0.879827	0.000000
raeke	2	0.879089	0.000000
raeke	3	0.910311	0.000000
raeke	4	0.937126	0.000000
raeke	5	0.919093	0.000000
raeke	6	0.941287	0.000000
raeke	7	0.938703	0.000000
raeke	8	0.924439	0.000000
raeke	9	0.912756	0.000000
raeke	10	0.908477	0.000000
raeke	11	0.904893	0.000000
raeke	12	0.889171	0.000000
raeke	13	0.883948	0.000000
raeke	14	0.882999	0.000000
raeke	15	0.909299	0.000000
raeke	16	0.909937	0.000000
raeke	17	0.877341	0.000000
raeke	18	0.871559	0.000000
raeke	19	0.863631	0.000000
raeke	20	0.860263	0.000000
raeke	21	0.875866	0.000000
raeke	22	0.863019	0.000000
raeke	23	0.860109	0.000000
semimcfecmp	0	0.820333	0.000000
semimcfecmp	1	0.824060	0.000000
semimcfecmp	2	0.822892	0.000000
semimcfecmp	3	0.853903	0.000000
semimcfecmp	4	0.880267	0.000000
semimcfecmp	5	0.862072	0.000000
semimcfecmp	6	0.884568	0.000000
semimcfecmp	7	0.881541	0.000000
semimcfecmp	8	0.867597	0.000000
semimcfecmp	9	0.855467	0.000000
semimcfecmp	10	0.851904	0.000000
semimcfecmp	11	0.848427	0.000000
semimcfecmp	12	0.833041	0.000000
semimcfecmp	13	0.827737	0.000000
semimcfecmp	14	0.827394	0.000000
semimcfecmp	15	0.853968	0.000000
semimcfecmp	16	0.854028	0.000000
semimcfecmp	17	0.821430	0.000000
semimcfecmp	18	0.815327	0.000000
semimcfecmp	19	0.806852	0.000000
semimcfecmp	20	0.803551	0.000000
semimcfecmp	21	0.820473	0.000000
semimcfecmp	22	0.808327	0.000000
semimcfecmp	23	0.805474	0.000000
semimcfksp	0	0.918196	0.000000
semimcfksp	1	0.924940	0.000000
semimcfksp	2	0.925431	0.000000
semimcfksp	3	0.985413	0.000000
semimcfksp	4	1.000000	0.000000
semimcfksp	5	1.000000	0.000000
semimcfksp	6	1.000000	0.000000
semimcfksp	7	1.000000	0.000000
semimcfksp	8	1.000000	0.000000
semimcfksp	9	0.993756	0.000000
semimcfksp	10	0.984522	0.000000
semimcfksp	11	0.976456	0.000000
semimcfksp	12	0.944275	0.000000
semimcfksp	13	0.935406	0.000000
semimcfksp	14	0.930835	0.000000
semimcfksp	15	0.982612	0.000000
semimcfksp	16	0.985066	0.000000
semimcfksp	17	0.919875	0.000000
semimcfksp	18	0.909588	0.000000
semimcfksp	19	0.894929	0.000000
semimcfksp	20	0.888391	0.000000
semimcfksp	21	0.917060	0.000000
semimcfksp	22	0.891113	0.000000
semimcfksp	23	0.885593	0.000000
semimcfmcf	0	0.877626	0.000000
semimcfmcf	1	0.884928	0.000000
semimcfmcf	2	0.891429	0.000000
semimcfmcf	3	0.978120	0.000000
semimcfmcf	4	1.000000	0.000000
semimcfmcf	5	1.000000	0.000000
semimcfmcf	6	1.000000	0.000000
semimcfmcf	7	1.000000	0.000000
semimcfmcf	8	1.000000	0.000000
semimcfmcf	9	0.992130	0.000000
semimcfmcf	10	0.978111	0.000000
semimcfmcf	11	0.964809	0.000000
semimcfmcf	12	0.922358	0.000000
semimcfmcf	13	0.912686	0.000000
semimcfmcf	14	0.904477	0.000000
semimcfmcf	15	0.973211	0.000000
semimcfmcf	16	0.977599	0.000000
semimcfmcf	17	0.889819	0.000000
semimcfmcf	18	0.874454	0.000000
semimcfmcf	19	0.850600	0.000000
semimcfmcf	20	0.841772	0.000000
semimcfmcf	21	0.885750	0.000000
semimcfmcf	22	0.837734	0.000000
semimcfmcf	23	0.830082	0.000000
semimcfmcfenv	0	0.877626	0.000000
semimcfmcfenv	1	0.884928	0.000000
semimcfmcfenv	2	0.891429	0.000000
semimcfmcfenv	3	0.978120	0.000000
semimcfmcfenv	4	1.000000	0.000000
semimcfmcfenv	5	1.000000	0.000000
semimcfmcfenv	6	1.000000	0.000000
semimcfmcfenv	7	1.000000	0.000000
semimcfmcfenv	8	1.000000	0.000000
semimcfmcfenv	9	0.992130	0.000000
semimcfmcfenv	10	0.978111	0.000000
semimcfmcfenv	11	0.964809	0.000000
semimcfmcfenv	12	0.922358	0.000000
semimcfmcfenv	13	0.912686	0.000000
semimcfmcfenv	14	0.904477	0.000000
semimcfmcfenv	15	0.973211	0.000000
semimcfmcfenv	16	0.977599	0.000000
semimcfmcfenv	17	0.889819	0.000000
semimcfmcfenv	18	0.874454	0.000000
semimcfmcfenv	19	0.850600	0.000000
semimcfmcfenv	20	0.841772	0.000000
semimcfmcfenv	21	0.885750	0.000000
semimcfmcfenv	22	0.837448	0.000000
