# solver	iter	max-congestion	stddev
ecmp	0	0.939686	0.000000
ecmp	1	0.922416	0.000000
ecmp	2	0.960852	0.000000
ecmp	3	0.957483	0.000000
ecmp	4	0.886154	0.000000
ecmp	5	0.948018	0.000000
ecmp	6	0.869245	0.000000
ecmp	7	0.877090	0.000000
ecmp	8	0.926819	0.000000
ecmp	9	0.956870	0.000000
ecmp	10	0.957586	0.000000
ecmp	11	0.958104	0.000000
ecmp	12	0.960109	0.000000
ecmp	13	0.960453	0.000000
ecmp	14	0.960774	0.000000
ecmp	15	0.957813	0.000000
ecmp	16	0.957663	0.000000
ecmp	17	0.961322	0.000000
ecmp	18	0.961800	0.000000
ecmp	19	0.962574	0.000000
ecmp	20	0.962930	0.000000
ecmp	21	0.961587	0.000000
ecmp	22	0.963096	0.000000
ecmp	23	0.963438	0.000000
ksp	0	0.821023	0.000000
ksp	1	0.805389	0.000000
ksp	2	0.975283	0.000000
ksp	3	0.966169	0.000000
ksp	4	0.892968	0.000000
ksp	5	0.955342	0.000000
ksp	6	0.875953	0.000000
ksp	7	0.883806	0.000000
ksp	8	0.933913	0.000000
ksp	9	0.964701	0.000000
ksp	10	0.966051	0.000000
ksp	11	0.967220	0.000000
ksp	12	0.972138	0.000000
ksp	13	0.973660	0.000000
ksp	14	0.974578	0.000000
ksp	15	0.966539	0.000000
ksp	16	0.966178	0.000000
ksp	17	0.976144	0.000000
ksp	18	0.977499	0.000000
ksp	19	0.979464	0.000000
ksp	20	0.980537	0.000000
ksp	21	0.976525	0.000000
ksp	22	0.980292	0.000000
ksp	23	0.981217	0.000000
mcf	0	0.600000	0.000000
mcf	1	0.589987	0.000000
mcf	2	0.982513	0.000000
mcf	3	0.979470	0.000000
mcf	4	0.881697	0.000000
mcf	5	0.945619	0.000000
mcf	6	0.868847	0.000000
mcf	7	0.869274	0.000000
mcf	8	0.919712	0.000000
mcf	9	0.958145	0.000000
mcf	10	0.974321	0.000000
mcf	11	0.978205	0.000000
mcf	12	0.981550	0.000000
mcf	13	0.980070	0.000000
mcf	14	0.980248	0.000000
mcf	15	0.978525	0.000000
mcf	16	0.977835	0.000000
mcf	17	0.982836	0.000000
mcf	18	0.981760	0.000000
mcf	19	0.984213	0.000000
mcf	20	0.982399	0.000000
mcf	21	0.982989	0.000000
mcf	22	0.984554	0.000000
mcf	23	0.984936	0.000000
raeke	0	0.799742	0.000000
raeke	1	0.785579	0.000000
raeke	2	0.989847	0.000000
raeke	3	1.000000	0.000000
raeke	4	0.926812	0.000000
raeke	5	0.990840	0.000000
raeke	6	0.908215	0.000000
raeke	7	0.917525	0.000000
raeke	8	0.969157	0.000000
raeke	9	0.999794	0.000000
raeke	10	1.000000	0.000000
raeke	11	1.000000	0.000000
raeke	12	1.000000	0.000000
raeke	13	1.000000	0.000000
raeke	14	1.000000	0.000000
raeke	15	1.000000	0.000000
raeke	16	1.000000	0.000000
raeke	17	0.969554	0.000000
raeke	18	1.000000	0.000000
raeke	19	1.000000	0.000000
raeke	20	0.985657	0.000000
raeke	21	1.000000	0.000000
raeke	22	1.000000	0.000000
raeke	23	1.000000	0.000000
semimcfecmp	0	0.939262	0.000000
semimcfecmp	1	0.921858	0.000000
semimcfecmp	2	0.960884	0.000000
semimcfecmp	3	1.000000	0.000000
semimcfecmp	4	0.926297	0.000000
semimcfecmp	5	0.991034	0.000000
semimcfecmp	6	0.908732	0.000000
semimcfecmp	7	0.916918	0.000000
semimcfecmp	8	0.968905	0.000000
semimcfecmp	9	1.000000	0.000000
semimcfecmp	10	1.000000	0.000000
semimcfecmp	11	1.000000	0.000000
semimcfecmp	12	1.000000	0.000000
semimcfecmp	13	1.000000	0.000000
semimcfecmp	14	1.000000	0.000000
semimcfecmp	15	1.000000	0.000000
semimcfecmp	16	1.000000	0.000000
semimcfecmp	17	1.000000	0.000000
semimcfecmp	18	1.000000	0.000000
semimcfecmp	19	1.000000	0.000000
semimcfecmp	20	1.000000	0.000000
semimcfecmp	21	1.000000	0.000000
semimcfecmp	22	1.000000	0.000000
semimcfecmp	23	1.000000	0.000000
semimcfksp	0	0.600000	0.000000
semimcfksp	1	0.589987	0.000000
semimcfksp	2	0.984260	0.000000
semimcfksp	3	1.000000	0.000000
semimcfksp	4	0.926297	0.000000
semimcfksp	5	0.990964	0.000000
semimcfksp	6	0.908732	0.000000
semimcfksp	7	0.916918	0.000000
semimcfksp	8	0.968905	0.000000
semimcfksp	9	1.000000	0.000000
semimcfksp	10	1.000000	0.000000
semimcfksp	11	1.000000	0.000000
semimcfksp	12	1.000000	0.000000
semimcfksp	13	1.000000	0.000000
semimcfksp	14	1.000000	0.000000
semimcfksp	15	1.000000	0.000000
semimcfksp	16	1.000000	0.000000
semimcfksp	17	1.000000	0.000000
semimcfksp	18	1.000000	0.000000
semimcfksp	19	1.000000	0.000000
semimcfksp	20	1.000000	0.000000
semimcfksp	21	1.000000	0.000000
semimcfksp	22	1.000000	0.000000
semimcfksp	23	1.000000	0.000000
semimcfmcf	0	0.600000	0.000000
semimcfmcf	1	0.589987	0.000000
semimcfmcf	2	0.982450	0.000000
semimcfmcf	3	1.000000	0.000000
semimcfmcf	4	0.926474	0.000000
semimcfmcf	5	0.990944	0.000000
semimcfmcf	6	0.908678	0.000000
semimcfmcf	7	0.916860	0.000000
semimcfmcf	8	0.968968	0.000000
semimcfmcf	9	1.000000	0.000000
semimcfmcf	10	1.000000	0.000000
semimcfmcf	11	1.000000	0.000000
semimcfmcf	12	1.000000	0.000000
semimcfmcf	13	1.000000	0.000000
semimcfmcf	14	1.000000	0.000000
semimcfmcf	15	1.000000	0.000000
semimcfmcf	16	1.000000	0.000000
semimcfmcf	17	1.000000	0.000000
semimcfmcf	18	1.000000	0.000000
semimcfmcf	19	1.000000	0.000000
semimcfmcf	20	1.000000	0.000000
semimcfmcf	21	1.000000	0.000000
semimcfmcf	22	1.000000	0.000000
semimcfmcf	23	1.000000	0.000000
semimcfmcfenv	0	0.600000	0.000000
semimcfmcfenv	1	0.589987	0.000000
semimcfmcfenv	2	0.982450	0.000000
semimcfmcfenv	3	1.000000	0.000000
semimcfmcfenv	4	0.926297	0.000000
semimcfmcfenv	5	0.991034	0.000000
semimcfmcfenv	6	0.908732	0.000000
semimcfmcfenv	7	0.916918	0.000000
semimcfmcfenv	8	0.968905	0.000000
semimcfmcfenv	9	1.000000	0.000000
semimcfmcfenv	10	1.000000	0.000000
semimcfmcfenv	11	1.000000	0.000000
semimcfmcfenv	12	1.000000	0.000000
semimcfmcfenv	13	1.000000	0.000000
semimcfmcfenv	14	1.000000	0.000000
semimcfmcfenv	15	1.000000	0.000000
semimcfmcfenv	16	1.000000	0.000000
semimcfmcfenv	17	1.000000	0.000000
semimcfmcfenv	18	1.000000	0.000000
semimcfmcfenv	19	1.000000	0.000000
semimcfmcfenv	20	1.000000	0.000000
semimcfmcfenv	21	1.000000	0.000000
semimcfmcfenv	22	1.000000	0.000000
semimcfmcfenv	23	1.000000	0.000000
semimcfraeke	0	0.600000	0.000000
semimcfraeke	1	0.589987	0.000000
semimcfraeke	2	0.984652	0.000000
semimcfraeke	3	1.000000	0.000000
semimcfraeke	4	0.926306	0.000000
semimcfraeke	5	0.990493	0.000000
semimcfraeke	6	0.909438	0.000000
semimcfraeke	7	0.917254	0.000000
semimcfraeke	8	0.968415	0.000000
semimcfraeke	9	1.000000	0.000000
semimcfraeke	10	1.000000	0.000000
semimcfraeke	11	1.000000	0.000000
semimcfraeke	12	1.000000	0.000000
semimcfraeke	13	1.000000	0.000000
semimcfraeke	14	1.000000	0.000000
semimcfraeke	15	1.000000	0.000000
semimcfraeke	16	1.000000	0.000000
semimcfraeke	17	1.000000	0.000000
semimcfraeke	18	1.000000	0.000000
semimcfraeke	19	1.000000	0.000000
semimcfraeke	20	1.000000	0.000000
semimcfraeke	21	1.000000	0.000000
semimcfraeke	22	1.000000	0.000000
semimcfraeke	23	1.000000	0.000000
semimcfvlb	0	0.600000	0.000000
semimcfvlb	1	0.589987	0.000000
semimcfvlb	2	0.984871	0.000000
semimcfvlb	3	1.000000	0.000000
semimcfvlb	4	0.927113	0.000000
semimcfvlb	5	0.990717	0.000000
semimcfvlb	6	0.908421	0.000000
semimcfvlb	7	0.916826	0.000000
semimcfvlb	8	0.968808	0.000000
semimcfvlb	9	0.999964	0.000000
semimcfvlb	10	1.000000	0.000000
semimcfvlb	11	1.000000	0.000000
semimcfvlb	12	1.000000	0.000000
semimcfvlb	13	1.000000	0.000000
semimcfvlb	14	1.000000	0.000000
semimcfvlb	15	1.000000	0.000000
semimcfvlb	16	1.000000	0.000000
semimcfvlb	17	1.000000	0.000000
semimcfvlb	18	1.000000	0.000000
semimcfvlb	19	1.000000	0.000000
semimcfvlb	20	1.000000	0.000000
semimcfvlb	21	1.000000	0.000000
semimcfvlb	22	1.000000	0.000000
semimcfvlb	23	1.000000	0.000000
spf	0	0.939262	0.000000
spf	1	0.921858	0.000000
spf	2	0.960884	0.000000
spf	3	0.957511	0.000000
spf	4	0.886179	0.000000
spf	5	0.948039	0.000000
spf	6	0.869264	0.000000
spf	7	0.877112	0.000000
spf	8	0.926841	0.000000
spf	9	0.956894	0.000000
spf	10	0.957610	0.000000
spf	11	0.958132	0.000000
spf	12	0.960140	0.000000
spf	13	0.960477	0.000000
spf	14	0.960806	0.000000
spf	15	0.957842	0.000000
spf	16	0.957691	0.000000
spf	17	0.961354	0.000000
spf	18	0.961828	0.000000
spf	19	0.962603	0.000000
spf	20	0.962960	0.000000
spf	21	0.961615	0.000000
spf	22	0.963127	0.000000
spf	23	0.963469	0.000000
vlb	0	0.903483	0.000000
vlb	1	0.883732	0.000000
vlb	2	0.972902	0.000000
vlb	3	0.967123	0.000000
vlb	4	0.895175	0.000000
vlb	5	0.957663	0.000000
vlb	6	0.877720	0.000000
vlb	7	0.886604	0.000000
vlb	8	0.934996	0.000000
vlb	9	0.966926	0.000000
vlb	10	0.968463	0.000000
vlb	11	0.968620	0.000000
vlb	12	0.971830	0.000000
vlb	13	0.972374	0.000000
vlb	14	0.973014	0.000000
vlb	15	0.969143	0.000000
vlb	16	0.968652	0.000000
vlb	17	0.973371	0.000000
vlb	18	0.974186	0.000000
vlb	19	0.975005	0.000000
vlb	20	0.975144	0.000000
vlb	21	0.973612	0.000000
vlb	22	0.975380	0.000000
vlb	23	0.975549	0.000000

