# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.115346	0.000000
ecmp	1	0.113265	0.000000
ecmp	2	0.112037	0.000000
ecmp	3	0.098574	0.000000
ecmp	4	0.088287	0.000000
ecmp	5	0.094676	0.000000
ecmp	6	0.086788	0.000000
ecmp	7	0.087195	0.000000
ecmp	8	0.092641	0.000000
ecmp	9	0.096007	0.000000
ecmp	10	0.097455	0.000000
ecmp	11	0.099169	0.000000
ecmp	12	0.106989	0.000000
ecmp	13	0.108721	0.000000
ecmp	14	0.110994	0.000000
ecmp	15	0.099234	0.000000
ecmp	16	0.097938	0.000000
ecmp	17	0.113302	0.000000
ecmp	18	0.115644	0.000000
ecmp	19	0.119027	0.000000
ecmp	20	0.121077	0.000000
ecmp	21	0.113731	0.000000
ecmp	22	0.122081	0.000000
ecmp	23	0.123754	0.000000
ksp	0	0.218704	0.000000
ksp	1	0.214690	0.000000
ksp	2	0.212569	0.000000
ksp	3	0.187591	0.000000
ksp	4	0.167970	0.000000
ksp	5	0.179907	0.000000
ksp	6	0.165020	0.000000
ksp	7	0.165363	0.000000
ksp	8	0.175432	0.000000
ksp	9	0.181735	0.000000
ksp	10	0.184358	0.000000
ksp	11	0.187634	0.000000
ksp	12	0.202263	0.000000
ksp	13	0.206441	0.000000
ksp	14	0.210459	0.000000
ksp	15	0.188502	0.000000
ksp	16	0.186025	0.000000
ksp	17	0.215238	0.000000
ksp	18	0.219890	0.000000
ksp	19	0.225872	0.000000
ksp	20	0.229837	0.000000
ksp	21	0.215771	0.000000
ksp	22	0.231510	0.000000
ksp	23	0.234763	0.000000
mcf	0	0.166153	0.000000
mcf	1	0.168083	0.000000
mcf	2	0.162995	0.000000
mcf	3	0.165030	0.000000
mcf	4	0.130618	0.000000
mcf	5	0.135746	0.000000
mcf	6	0.135200	0.000000
mcf	7	0.135457	0.000000
mcf	8	0.145188	0.000000
mcf	9	0.143641	0.000000
mcf	10	0.142267	0.000000
mcf	11	0.147414	0.000000
mcf	12	0.158327	0.000000
mcf	13	0.162128	0.000000
mcf	14	0.166400	0.000000
mcf	15	0.146137	0.000000
mcf	16	0.142439	0.000000
mcf	17	0.171572	0.000000
mcf	18	0.169872	0.000000
mcf	19	0.171888	0.000000
mcf	20	0.192516	0.000000
mcf	21	0.166713	0.000000
mcf	22	0.174974	0.000000
mcf	23	0.181356	0.000000
raeke	0	0.152813	0.000000
raeke	1	0.149991	0.000000
raeke	2	0.148444	0.000000
raeke	3	0.138555	0.000000
raeke	4	0.123989	0.000000
raeke	5	0.133066	0.000000
raeke	6	0.121677	0.000000
raeke	7	0.122630	0.000000
raeke	8	0.128859	0.000000
raeke	9	0.133642	0.000000
raeke	10	0.136648	0.000000
raeke	11	0.138302	0.000000
raeke	12	0.148394	0.000000
raeke	13	0.150922	0.000000
raeke	14	0.154391	0.000000
raeke	15	0.140315	0.000000
raeke	16	0.136457	0.000000
raeke	17	0.157786	0.000000
raeke	18	0.187958	0.000000
raeke	19	0.192489	0.000000
raeke	20	0.196942	0.000000
raeke	21	0.186926	0.000000
raeke	22	0.201749	0.000000
raeke	23	0.200792	0.000000
semimcfecmp	0	0.115346	0.000000
semimcfecmp	1	0.113265	0.000000
semimcfecmp	2	0.112037	0.000000
semimcfecmp	3	0.137818	0.000000
semimcfecmp	4	0.123596	0.000000
semimcfecmp	5	0.132571	0.000000
semimcfecmp	6	0.121646	0.000000
semimcfecmp	7	0.122278	0.000000
semimcfecmp	8	0.129775	0.000000
semimcfecmp	9	0.134651	0.000000
semimcfecmp	10	0.136634	0.000000
semimcfecmp	11	0.138874	0.000000
semimcfecmp	12	0.149659	0.000000
semimcfecmp	13	0.152422	0.000000
semimcfecmp	14	0.155184	0.000000
semimcfecmp	15	0.138752	0.000000
semimcfecmp	16	0.137187	0.000000
semimcfecmp	17	0.158717	0.000000
semimcfecmp	18	0.162280	0.000000
semimcfecmp	19	0.167221	0.000000
semimcfecmp	20	0.170124	0.000000
semimcfecmp	21	0.159368	0.000000
semimcfecmp	22	0.170836	0.000000
semimcfecmp	23	0.173261	0.000000
semimcfksp	0	0.156491	0.000000
semimcfksp	1	0.140657	0.000000
semimcfksp	2	0.138404	0.000000
semimcfksp	3	0.153207	0.000000
semimcfksp	4	0.137351	0.000000
semimcfksp	5	0.146881	0.000000
semimcfksp	6	0.134706	0.000000
semimcfksp	7	0.135217	0.000000
semimcfksp	8	0.143477	0.000000
semimcfksp	9	0.148980	0.000000
semimcfksp	10	0.151011	0.000000
semimcfksp	11	0.154156	0.000000
semimcfksp	12	0.165547	0.000000
semimcfksp	13	0.168762	0.000000
semimcfksp	14	0.172045	0.000000
semimcfksp	15	0.154315	0.000000
semimcfksp	16	0.151877	0.000000
semimcfksp	17	0.175697	0.000000
semimcfksp	18	0.179491	0.000000
semimcfksp	19	0.184588	0.000000
semimcfksp	20	0.187950	0.000000
semimcfksp	21	0.175301	0.000000
semimcfksp	22	0.187766	0.000000
semimcfksp	23	0.191288	0.000000
semimcfmcf	0	0.166153	0.000000
semimcfmcf	1	0.164264	0.000000
semimcfmcf	2	0.161770	0.000000
semimcfmcf	3	0.207854	0.000000
semimcfmcf	4	0.186101	0.000000
semimcfmcf	5	0.200086	0.000000
semimcfmcf	6	0.184410	0.000000
semimcfmcf	7	0.185850	0.000000
semimcfmcf	8	0.196673	0.000000
semimcfmcf	9	0.202759	0.000000
semimcfmcf	10	0.206078	0.000000
semimcfmcf	11	0.208985	0.000000
semimcfmcf	12	0.225857	0.000000
semimcfmcf	13	0.230318	0.000000
semimcfmcf	14	0.233842	0.000000
semimcfmcf	15	0.209794	0.000000
semimcfmcf	16	0.207244	0.000000
semimcfmcf	17	0.239831	0.000000
semimcfmcf	18	0.250160	0.000000
semimcfmcf	19	0.256632	0.000000
semimcfmcf	20	0.256348	0.000000
semimcfmcf	21	0.239940	0.000000
semimcfmcf	22	0.263337	0.000000
semimcfmcf	23	0.262690	0.000000
semimcfmcfenv	0	0.166093	0.000000
semimcfmcfenv	1	0.164204	0.000000
semimcfmcfenv	2	0.161755	0.000000
semimcfmcfenv	3	0.208895	0.000000
semimcfmcfenv	4	0.186899	0.000000
semimcfmcfenv	5	0.200833	0.000000
semimcfmcfenv	6	0.184737	0.000000
semimcfmcfenv	7	0.185633	0.000000
semimcfmcfenv	8	0.196655	0.000000
semimcfmcfenv	9	0.203123	0.000000
semimcfmcfenv	10	0.206151	0.000000
semimcfmcfenv	11	0.209873	0.000000
semimcfmcfenv	12	0.225914	0.000000
semimcfmcfenv	13	0.230558	0.000000
semimcfmcfenv	14	0.234353	0.000000
semimcfmcfenv	15	0.209895	0.000000
semimcfmcfenv	16	0.207662	0.000000
semimcfmcfenv	17	0.240249	0.000000
semimcfmcfenv	18	0.245926	0.000000
semimcfmcfenv	19	0.253092	0.000000
semimcfmcfenv	20	0.257210	0.000000
semimcfmcfenv	21	0.241038	0.000000
semimcfmcfenv	22	0.259071	0.000000
semimcfmcfenv	23	0.262567	0.000000
semimcfraeke	0	0.151786	0.000000
semimcfraeke	1	0.164810	0.000000
semimcfraeke	2	0.165791	0.000000
semimcfraeke	3	0.149337	0.000000
