# solver	iter	time	stddev
ecmp	0	0.039927	0.000000
ecmp	1	0.036777	0.000000
ecmp	2	0.036122	0.000000
ecmp	3	0.025408	0.000000
ecmp	4	0.024538	0.000000
ecmp	5	0.023789	0.000000
ecmp	6	0.024644	0.000000
ecmp	7	0.031651	0.000000
ecmp	8	0.024914	0.000000
ecmp	9	0.024867	0.000000
ecmp	10	0.024595	0.000000
ecmp	11	0.025010	0.000000
ecmp	12	0.024324	0.000000
ecmp	13	0.025460	0.000000
ecmp	14	0.025403	0.000000
ecmp	15	0.026232	0.000000
ecmp	16	0.025658	0.000000
ecmp	17	0.024817	0.000000
ecmp	18	0.024731	0.000000
ecmp	19	0.026504	0.000000
ecmp	20	0.026111	0.000000
ecmp	21	0.024735	0.000000
ecmp	22	0.024693	0.000000
ecmp	23	0.025462	0.000000
ksp	0	0.017521	0.000000
ksp	1	0.028163	0.000000
ksp	2	0.027421	0.000000
ksp	3	0.026513	0.000000
ksp	4	0.027507	0.000000
ksp	5	0.026671	0.000000
ksp	6	0.026446	0.000000
ksp	7	0.016748	0.000000
ksp	8	0.016649	0.000000
ksp	9	0.029509	0.000000
ksp	10	0.017374	0.000000
ksp	11	0.017901	0.000000
ksp	12	0.018072	0.000000
ksp	13	0.016251	0.000000
ksp	14	0.016855	0.000000
ksp	15	0.017794	0.000000
ksp	16	0.017879	0.000000
ksp	17	0.016741	0.000000
ksp	18	0.017343	0.000000
ksp	19	0.016534	0.000000
ksp	20	0.026144	0.000000
ksp	21	0.026118	0.000000
ksp	22	0.017247	0.000000
ksp	23	0.017113	0.000000
mcf	0	0.121118	0.000000
mcf	1	0.110437	0.000000
mcf	2	0.188854	0.000000
mcf	3	0.140210	0.000000
mcf	4	0.169279	0.000000
mcf	5	0.156526	0.000000
mcf	6	0.178877	0.000000
mcf	7	0.167996	0.000000
mcf	8	0.185775	0.000000
mcf	9	0.162135	0.000000
mcf	10	0.122203	0.000000
mcf	11	0.163701	0.000000
mcf	12	0.131393	0.000000
mcf	13	0.159594	0.000000
mcf	14	0.153644	0.000000
mcf	15	0.135588	0.000000
mcf	16	0.143625	0.000000
mcf	17	0.126800	0.000000
mcf	18	0.176304	0.000000
mcf	19	0.121037	0.000000
mcf	20	0.125461	0.000000
mcf	21	0.137583	0.000000
mcf	22	0.130045	0.000000
mcf	23	0.167182	0.000000
raeke	0	0.169771	0.000000
raeke	1	0.000240	0.000000
raeke	2	0.000264	0.000000
raeke	3	0.000335	0.000000
