# solver	iter	.0.300000-congestion	stddev
ecmp	0	0.015028	0.000000
ecmp	1	0.015175	0.000000
ecmp	2	0.012634	0.000000
ecmp	3	0.010983	0.000000
ecmp	4	0.009805	0.000000
ecmp	5	0.010551	0.000000
ecmp	6	0.009668	0.000000
ecmp	7	0.009239	0.000000
ecmp	8	0.009770	0.000000
ecmp	9	0.010222	0.000000
ecmp	10	0.010363	0.000000
ecmp	11	0.010496	0.000000
ecmp	12	0.011268	0.000000
ecmp	13	0.011765	0.000000
ecmp	14	0.011834	0.000000
ecmp	15	0.010563	0.000000
ecmp	16	0.010498	0.000000
ecmp	17	0.012147	0.000000
ecmp	18	0.012487	0.000000
ecmp	19	0.012407	0.000000
ecmp	20	0.012627	0.000000
ecmp	21	0.011954	0.000000
ecmp	22	0.014025	0.000000
ecmp	23	0.014217	0.000000
ksp	0	0.015478	0.000000
ksp	1	0.015175	0.000000
ksp	2	0.012641	0.000000
ksp	3	0.010989	0.000000
ksp	4	0.009786	0.000000
ksp	5	0.010530	0.000000
ksp	6	0.009649	0.000000
ksp	7	0.009244	0.000000
ksp	8	0.009775	0.000000
ksp	9	0.010227	0.000000
ksp	10	0.010369	0.000000
ksp	11	0.010501	0.000000
ksp	12	0.011273	0.000000
ksp	13	0.011742	0.000000
ksp	14	0.011811	0.000000
ksp	15	0.010542	0.000000
ksp	16	0.010478	0.000000
ksp	17	0.012123	0.000000
ksp	18	0.012463	0.000000
ksp	19	0.012414	0.000000
ksp	20	0.012633	0.000000
ksp	21	0.011960	0.000000
ksp	22	0.014033	0.000000
ksp	23	0.014225	0.000000
mcf	0	0.013063	0.000000
mcf	1	0.012795	0.000000
mcf	2	0.009712	0.000000
mcf	3	0.010675	0.000000
mcf	4	0.009157	0.000000
mcf	5	0.008484	0.000000
mcf	6	0.007792	0.000000
mcf	7	0.007679	0.000000
mcf	8	0.008199	0.000000
mcf	9	0.009383	0.000000
mcf	10	0.008789	0.000000
mcf	11	0.007859	0.000000
mcf	12	0.009913	0.000000
mcf	13	0.011318	0.000000
mcf	14	0.011464	0.000000
mcf	15	0.010376	0.000000
mcf	16	0.010312	0.000000
mcf	17	0.011928	0.000000
mcf	18	0.012058	0.000000
mcf	19	0.010870	0.000000
mcf	20	0.011234	0.000000
mcf	21	0.010454	0.000000
mcf	22	0.011182	0.000000
mcf	23	0.011338	0.000000
raeke	0	0.015478	0.000000
raeke	1	0.015175	0.000000
raeke	2	0.012656	0.000000
raeke	3	0.012216	0.000000
raeke	4	0.011122	0.000000
