# solver	iter	congestion-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	0.000000	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.000000	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.000000	0.000000
ecmp	9	0.000000	0.000000
ecmp	10	0.000000	0.000000
ecmp	11	0.000000	0.000000
ecmp	12	0.000000	0.000000
ecmp	13	0.000000	0.000000
ecmp	14	0.000000	0.000000
ecmp	15	0.000000	0.000000
ecmp	16	0.000000	0.000000
ecmp	17	0.000000	0.000000
ecmp	18	0.000000	0.000000
ecmp	19	0.000000	0.000000
ecmp	20	0.000000	0.000000
ecmp	21	0.000000	0.000000
ecmp	22	0.000000	0.000000
ecmp	23	0.000000	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.070005	0.000000
ksp	3	0.013474	0.000000
ksp	4	0.000000	0.000000
ksp	5	0.000000	0.000000
ksp	6	0.000000	0.000000
ksp	7	0.000000	0.000000
ksp	8	0.000000	0.000000
ksp	9	0.005687	0.000000
ksp	10	0.014311	0.000000
ksp	11	0.021891	0.000000
ksp	12	0.052142	0.000000
ksp	13	0.060516	0.000000
ksp	14	0.064862	0.000000
ksp	15	0.016106	0.000000
ksp	16	0.013798	0.000000
ksp	17	0.075292	0.000000
ksp	18	0.085064	0.000000
ksp	19	0.098985	0.000000
ksp	20	0.105189	0.000000
ksp	21	0.077958	0.000000
ksp	22	0.102623	0.000000
ksp	23	0.107867	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.000000	0.000000
mcf	3	0.000000	0.000000
mcf	4	0.000000	0.000000
mcf	5	0.000000	0.000000
mcf	6	0.000000	0.000000
mcf	7	0.000000	0.000000
mcf	8	0.000000	0.000000
mcf	9	0.000000	0.000000
mcf	10	0.000000	0.000000
mcf	11	0.000000	0.000000
mcf	12	0.000000	0.000000
mcf	13	0.000000	0.000000
mcf	14	0.000000	0.000000
mcf	15	0.000000	0.000000
mcf	16	0.000000	0.000000
mcf	17	0.000000	0.000000
mcf	18	0.000000	0.000000
mcf	19	0.000000	0.000000
mcf	20	0.000000	0.000000
mcf	21	0.000000	0.000000
mcf	22	0.000000	0.000000
mcf	23	0.000000	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000991	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.000000	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.000000	0.000000
raeke	9	0.000000	0.000000
raeke	10	0.000000	0.000000
raeke	11	0.000000	0.000000
raeke	12	0.000000	0.000000
raeke	13	0.000000	0.000000
raeke	14	0.000000	0.000000
raeke	15	0.000000	0.000000
raeke	16	0.000000	0.000000
raeke	17	0.000000	0.000000
raeke	18	0.009530	0.000000
raeke	19	0.022426	0.000000
raeke	20	0.027458	0.000000
raeke	21	0.002322	0.000000
raeke	22	0.032457	0.000000
raeke	23	0.036960	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.000000	0.000000
semimcfecmp	3	0.000000	0.000000
semimcfecmp	4	0.000000	0.000000
semimcfecmp	5	0.000000	0.000000
semimcfecmp	6	0.000000	0.000000
semimcfecmp	7	0.000000	0.000000
semimcfecmp	8	0.000000	0.000000
semimcfecmp	9	0.000000	0.000000
semimcfecmp	10	0.000000	0.000000
semimcfecmp	11	0.000000	0.000000
semimcfecmp	12	0.000000	0.000000
semimcfecmp	13	0.000000	0.000000
semimcfecmp	14	0.000000	0.000000
semimcfecmp	15	0.000000	0.000000
semimcfecmp	16	0.000000	0.000000
semimcfecmp	17	0.000000	0.000000
semimcfecmp	18	0.000000	0.000000
semimcfecmp	19	0.000000	0.000000
semimcfecmp	20	0.000000	0.000000
semimcfecmp	21	0.000000	0.000000
semimcfecmp	22	0.000000	0.000000
semimcfecmp	23	0.000000	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.071329	0.000000
semimcfksp	3	0.014570	0.000000
semimcfksp	4	0.000000	0.000000
semimcfksp	5	0.001246	0.000000
semimcfksp	6	0.000000	0.000000
semimcfksp	7	0.000000	0.000000
semimcfksp	8	0.000535	0.000000
semimcfksp	9	0.006382	0.000000
semimcfksp	10	0.015148	0.000000
semimcfksp	11	0.022833	0.000000
semimcfksp	12	0.054426	0.000000
semimcfksp	13	0.061825	0.000000
semimcfksp	14	0.066323	0.000000
semimcfksp	15	0.018000	0.000000
semimcfksp	16	0.015682	0.000000
semimcfksp	17	0.077615	0.000000
semimcfksp	18	0.086325	0.000000
semimcfksp	19	0.100245	0.000000
semimcfksp	20	0.106517	0.000000
semimcfksp	21	0.079272	0.000000
semimcfksp	22	0.103836	0.000000
semimcfksp	23	0.109086	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.000000	0.000000
semimcfmcf	3	0.000000	0.000000
semimcfmcf	4	0.000000	0.000000
semimcfmcf	5	0.000000	0.000000
semimcfmcf	6	0.000000	0.000000
semimcfmcf	7	0.000000	0.000000
semimcfmcf	8	0.000000	0.000000
semimcfmcf	9	0.000000	0.000000
semimcfmcf	10	0.000000	0.000000
semimcfmcf	11	0.000000	0.000000
semimcfmcf	12	0.000000	0.000000
semimcfmcf	13	0.000000	0.000000
semimcfmcf	14	0.000000	0.000000
semimcfmcf	15	0.000000	0.000000
semimcfmcf	16	0.000000	0.000000
semimcfmcf	17	0.000000	0.000000
semimcfmcf	18	0.000000	0.000000
semimcfmcf	19	0.000000	0.000000
semimcfmcf	20	0.000000	0.000000
semimcfmcf	21	0.000000	0.000000
semimcfmcf	22	0.000000	0.000000
semimcfmcf	23	0.000000	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.070697	0.000000
semimcfraeke	3	0.013412	0.000000
semimcfraeke	4	0.000000	0.000000
semimcfraeke	5	0.000260	0.000000
semimcfraeke	6	0.000000	0.000000
semimcfraeke	7	0.000000	0.000000
semimcfraeke	8	0.000146	0.000000
semimcfraeke	9	0.006019	0.000000
semimcfraeke	10	0.014693	0.000000
semimcfraeke	11	0.022283	0.000000
semimcfraeke	12	0.053035	0.000000
semimcfraeke	13	0.060791	0.000000
semimcfraeke	14	0.066919	0.000000
semimcfraeke	15	0.016590	0.000000
semimcfraeke	16	0.014260	0.000000
semimcfraeke	17	0.076191	0.000000
semimcfraeke	18	0.085338	0.000000
semimcfraeke	19	0.099700	0.000000
semimcfraeke	20	0.105892	0.000000
semimcfraeke	21	0.078645	0.000000
semimcfraeke	22	0.103333	0.000000
semimcfraeke	23	0.108597	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.070618	0.000000
semimcfvlb	3	0.013922	0.000000
semimcfvlb	4	0.000000	0.000000
semimcfvlb	5	0.000067	0.000000
semimcfvlb	6	0.000000	0.000000
semimcfvlb	7	0.000000	0.000000
semimcfvlb	8	0.000000	0.000000
semimcfvlb	9	0.005939	0.000000
semimcfvlb	10	0.014621	0.000000
semimcfvlb	11	0.022328	0.000000
semimcfvlb	12	0.053241	0.000000
semimcfvlb	13	0.061096	0.000000
semimcfvlb	14	0.065507	0.000000
semimcfvlb	15	0.016831	0.000000
semimcfvlb	16	0.014503	0.000000
semimcfvlb	17	0.076435	0.000000
semimcfvlb	18	0.085634	0.000000
semimcfvlb	19	0.099471	0.000000
semimcfvlb	20	0.105684	0.000000
semimcfvlb	21	0.078460	0.000000
semimcfvlb	22	0.103109	0.000000
semimcfvlb	23	0.108507	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.000000	0.000000
spf	3	0.000000	0.000000
spf	4	0.000000	0.000000
spf	5	0.000000	0.000000
spf	6	0.000000	0.000000
spf	7	0.000000	0.000000
spf	8	0.000000	0.000000
spf	9	0.000000	0.000000
spf	10	0.000000	0.000000
spf	11	0.000000	0.000000
spf	12	0.000000	0.000000
spf	13	0.000000	0.000000
spf	14	0.000000	0.000000
spf	15	0.000000	0.000000
spf	16	0.000000	0.000000
spf	17	0.000000	0.000000
spf	18	0.000000	0.000000
spf	19	0.000000	0.000000
spf	20	0.000000	0.000000
spf	21	0.000000	0.000000
spf	22	0.000000	0.000000
spf	23	0.000000	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.070322	0.000000
vlb	3	0.013647	0.000000
vlb	4	0.000000	0.000000
vlb	5	0.000000	0.000000
vlb	6	0.000000	0.000000
vlb	7	0.000000	0.000000
vlb	8	0.000000	0.000000
vlb	9	0.005876	0.000000
vlb	10	0.014508	0.000000
vlb	11	0.022065	0.000000
vlb	12	0.052412	0.000000
vlb	13	0.060876	0.000000
vlb	14	0.065204	0.000000
vlb	15	0.016340	0.000000
vlb	16	0.014004	0.000000
vlb	17	0.075617	0.000000
vlb	18	0.085414	0.000000
vlb	19	0.099329	0.000000
vlb	20	0.105586	0.000000
vlb	21	0.078318	0.000000
vlb	22	0.102975	0.000000
vlb	23	0.108180	0.000000

