# solver	iter	failure-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.452591	0.000000
ecmp	3	0.449188	0.000000
ecmp	4	0.451357	0.000000
ecmp	5	0.452318	0.000000
ecmp	6	0.451736	0.000000
ecmp	7	0.454381	0.000000
ecmp	8	0.453013	0.000000
ecmp	9	0.455248	0.000000
ecmp	10	0.455263	0.000000
ecmp	11	0.454273	0.000000
ecmp	12	0.452418	0.000000
ecmp	13	0.453224	0.000000
ecmp	14	0.449494	0.000000
ecmp	15	0.447885	0.000000
ecmp	16	0.451014	0.000000
ecmp	17	0.451039	0.000000
ecmp	18	0.452986	0.000000
ecmp	19	0.455974	0.000000
ecmp	20	0.455850	0.000000
ecmp	21	0.451699	0.000000
ecmp	22	0.449926	0.000000
ecmp	23	0.450216	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.040002	0.000000
ksp	3	0.039573	0.000000
ksp	4	0.040019	0.000000
ksp	5	0.040160	0.000000
ksp	6	0.039933	0.000000
ksp	7	0.040223	0.000000
ksp	8	0.040339	0.000000
ksp	9	0.040283	0.000000
ksp	10	0.040372	0.000000
ksp	11	0.040295	0.000000
ksp	12	0.040688	0.000000
ksp	13	0.039856	0.000000
ksp	14	0.040288	0.000000
ksp	15	0.040320	0.000000
ksp	16	0.040591	0.000000
ksp	17	0.040601	0.000000
ksp	18	0.040249	0.000000
ksp	19	0.040544	0.000000
ksp	20	0.040452	0.000000
ksp	21	0.040387	0.000000
ksp	22	0.040358	0.000000
ksp	23	0.040411	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.297196	0.000000
mcf	3	0.216234	0.000000
mcf	4	0.306097	0.000000
mcf	5	0.296646	0.000000
mcf	6	0.310673	0.000000
mcf	7	0.316267	0.000000
mcf	8	0.310963	0.000000
mcf	9	0.297388	0.000000
mcf	10	0.298858	0.000000
mcf	11	0.297570	0.000000
mcf	12	0.296634	0.000000
mcf	13	0.322255	0.000000
mcf	14	0.322850	0.000000
mcf	15	0.295757	0.000000
mcf	16	0.296654	0.000000
mcf	17	0.286096	0.000000
mcf	18	0.303601	0.000000
mcf	19	0.294828	0.000000
mcf	20	0.318164	0.000000
mcf	21	0.293195	0.000000
mcf	22	0.296166	0.000000
mcf	23	0.292712	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.013176	0.000000
raeke	3	0.013124	0.000000
raeke	4	0.013117	0.000000
raeke	5	0.013170	0.000000
raeke	6	0.013174	0.000000
raeke	7	0.013228	0.000000
raeke	8	0.013221	0.000000
raeke	9	0.013164	0.000000
raeke	10	0.013171	0.000000
raeke	11	0.013156	0.000000
raeke	12	0.013134	0.000000
raeke	13	0.013132	0.000000
raeke	14	0.013090	0.000000
raeke	15	0.013045	0.000000
raeke	16	0.013083	0.000000
raeke	17	0.013080	0.000000
raeke	18	0.013121	0.000000
raeke	19	0.013152	0.000000
raeke	20	0.013148	0.000000
raeke	21	0.013128	0.000000
raeke	22	0.013139	0.000000
raeke	23	0.013126	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.452555	0.000000
semimcfecmp	3	0.449153	0.000000
semimcfecmp	4	0.451322	0.000000
semimcfecmp	5	0.452329	0.000000
semimcfecmp	6	0.451747	0.000000
semimcfecmp	7	0.454347	0.000000
semimcfecmp	8	0.452980	0.000000
semimcfecmp	9	0.455216	0.000000
semimcfecmp	10	0.455231	0.000000
semimcfecmp	11	0.454239	0.000000
semimcfecmp	12	0.452380	0.000000
semimcfecmp	13	0.453232	0.000000
semimcfecmp	14	0.449504	0.000000
semimcfecmp	15	0.447895	0.000000
semimcfecmp	16	0.451024	0.000000
semimcfecmp	17	0.451050	0.000000
semimcfecmp	18	0.452994	0.000000
semimcfecmp	19	0.455942	0.000000
semimcfecmp	20	0.455818	0.000000
semimcfecmp	21	0.451667	0.000000
semimcfecmp	22	0.449894	0.000000
semimcfecmp	23	0.450184	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.026910	0.000000
semimcfksp	3	0.028933	0.000000
semimcfksp	4	0.029326	0.000000
semimcfksp	5	0.027281	0.000000
semimcfksp	6	0.027141	0.000000
semimcfksp	7	0.029063	0.000000
semimcfksp	8	0.027512	0.000000
semimcfksp	9	0.027196	0.000000
semimcfksp	10	0.027218	0.000000
semimcfksp	11	0.027246	0.000000
semimcfksp	12	0.027941	0.000000
semimcfksp	13	0.029178	0.000000
semimcfksp	14	0.027028	0.000000
semimcfksp	15	0.027694	0.000000
semimcfksp	16	0.027912	0.000000
semimcfksp	17	0.027923	0.000000
semimcfksp	18	0.029504	0.000000
semimcfksp	19	0.027475	0.000000
semimcfksp	20	0.027425	0.000000
semimcfksp	21	0.027450	0.000000
semimcfksp	22	0.027379	0.000000
semimcfksp	23	0.027434	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.293112	0.000000
semimcfmcf	3	0.289292	0.000000
semimcfmcf	4	0.290637	0.000000
semimcfmcf	5	0.292000	0.000000
semimcfmcf	6	0.292918	0.000000
semimcfmcf	7	0.293530	0.000000
semimcfmcf	8	0.292942	0.000000
semimcfmcf	9	0.293313	0.000000
semimcfmcf	10	0.293354	0.000000
semimcfmcf	11	0.292164	0.000000
semimcfmcf	12	0.291255	0.000000
semimcfmcf	13	0.292989	0.000000
semimcfmcf	14	0.290349	0.000000
semimcfmcf	15	0.290333	0.000000
semimcfmcf	16	0.291919	0.000000
semimcfmcf	17	0.292088	0.000000
semimcfmcf	18	0.293564	0.000000
semimcfmcf	19	0.294820	0.000000
semimcfmcf	20	0.295085	0.000000
semimcfmcf	21	0.292570	0.000000
semimcfmcf	22	0.291320	0.000000
semimcfmcf	23	0.291946	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.012393	0.000000
semimcfraeke	3	0.012053	0.000000
semimcfraeke	4	0.012118	0.000000
semimcfraeke	5	0.011415	0.000000
semimcfraeke	6	0.011390	0.000000
semimcfraeke	7	0.012500	0.000000
semimcfraeke	8	0.011461	0.000000
semimcfraeke	9	0.012516	0.000000
semimcfraeke	10	0.012585	0.000000
semimcfraeke	11	0.012574	0.000000
semimcfraeke	12	0.011403	0.000000
semimcfraeke	13	0.012183	0.000000
semimcfraeke	14	0.011789	0.000000
semimcfraeke	15	0.011275	0.000000
semimcfraeke	16	0.011339	0.000000
semimcfraeke	17	0.011341	0.000000
semimcfraeke	18	0.012150	0.000000
semimcfraeke	19	0.012512	0.000000
semimcfraeke	20	0.012529	0.000000
semimcfraeke	21	0.012477	0.000000
semimcfraeke	22	0.012371	0.000000
semimcfraeke	23	0.012370	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.012733	0.000000
semimcfvlb	3	0.012822	0.000000
semimcfvlb	4	0.012880	0.000000
semimcfvlb	5	0.011963	0.000000
semimcfvlb	6	0.011864	0.000000
semimcfvlb	7	0.012852	0.000000
semimcfvlb	8	0.011881	0.000000
semimcfvlb	9	0.012862	0.000000
semimcfvlb	10	0.012892	0.000000
semimcfvlb	11	0.012874	0.000000
semimcfvlb	12	0.011700	0.000000
semimcfvlb	13	0.012978	0.000000
semimcfvlb	14	0.013469	0.000000
semimcfvlb	15	0.011559	0.000000
semimcfvlb	16	0.011621	0.000000
semimcfvlb	17	0.011619	0.000000
semimcfvlb	18	0.012907	0.000000
semimcfvlb	19	0.012854	0.000000
semimcfvlb	20	0.012847	0.000000
semimcfvlb	21	0.012767	0.000000
semimcfvlb	22	0.012715	0.000000
semimcfvlb	23	0.012728	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.452555	0.000000
spf	3	0.449153	0.000000
spf	4	0.451322	0.000000
spf	5	0.452286	0.000000
spf	6	0.451704	0.000000
spf	7	0.454347	0.000000
spf	8	0.452980	0.000000
spf	9	0.455216	0.000000
spf	10	0.455231	0.000000
spf	11	0.454239	0.000000
spf	12	0.452380	0.000000
spf	13	0.453195	0.000000
spf	14	0.449457	0.000000
spf	15	0.447848	0.000000
spf	16	0.450977	0.000000
spf	17	0.451002	0.000000
spf	18	0.452954	0.000000
spf	19	0.455942	0.000000
spf	20	0.455818	0.000000
spf	21	0.451667	0.000000
spf	22	0.449894	0.000000
spf	23	0.450184	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.020714	0.000000
vlb	3	0.020609	0.000000
vlb	4	0.021010	0.000000
vlb	5	0.020593	0.000000
vlb	6	0.020207	0.000000
vlb	7	0.020646	0.000000
vlb	8	0.020883	0.000000
vlb	9	0.020928	0.000000
vlb	10	0.021179	0.000000
vlb	11	0.021360	0.000000
vlb	12	0.021190	0.000000
vlb	13	0.020318	0.000000
vlb	14	0.020656	0.000000
vlb	15	0.020127	0.000000
vlb	16	0.020449	0.000000
vlb	17	0.020202	0.000000
vlb	18	0.020736	0.000000
vlb	19	0.021267	0.000000
vlb	20	0.020941	0.000000
vlb	21	0.020087	0.000000
vlb	22	0.020865	0.000000
vlb	23	0.021042	0.000000

