# solver	iter	mean-congestion	stddev
ecmp	0	0.115346	0.000000
ecmp	1	0.113265	0.000000
ecmp	2	0.059872	0.000000
ecmp	3	0.052905	0.000000
ecmp	4	0.047173	0.000000
ecmp	5	0.050629	0.000000
ecmp	6	0.046487	0.000000
ecmp	7	0.046571	0.000000
ecmp	8	0.049631	0.000000
ecmp	9	0.051120	0.000000
ecmp	10	0.051933	0.000000
ecmp	11	0.052944	0.000000
ecmp	12	0.057313	0.000000
ecmp	13	0.058095	0.000000
ecmp	14	0.059686	0.000000
ecmp	15	0.053511	0.000000
ecmp	16	0.052568	0.000000
ecmp	17	0.060820	0.000000
ecmp	18	0.061880	0.000000
ecmp	19	0.063472	0.000000
ecmp	20	0.064632	0.000000
ecmp	21	0.061127	0.000000
ecmp	22	0.065752	0.000000
ecmp	23	0.066659	0.000000
ksp	0	0.218704	0.000000
ksp	1	0.214690	0.000000
ksp	2	0.181958	0.000000
ksp	3	0.167496	0.000000
ksp	4	0.151335	0.000000
ksp	5	0.162152	0.000000
ksp	6	0.148900	0.000000
ksp	7	0.149119	0.000000
ksp	8	0.158181	0.000000
ksp	9	0.163147	0.000000
ksp	10	0.164332	0.000000
ksp	11	0.166323	0.000000
ksp	12	0.175360	0.000000
ksp	13	0.178196	0.000000
ksp	14	0.180962	0.000000
ksp	15	0.167683	0.000000
ksp	16	0.165746	0.000000
ksp	17	0.183347	0.000000
ksp	18	0.186108	0.000000
ksp	19	0.189093	0.000000
ksp	20	0.191643	0.000000
ksp	21	0.183594	0.000000
ksp	22	0.193137	0.000000
ksp	23	0.195012	0.000000
mcf	0	0.166153	0.000000
mcf	1	0.168083	0.000000
mcf	2	0.114973	0.000000
mcf	3	0.147387	0.000000
mcf	4	0.083121	0.000000
mcf	5	0.096925	0.000000
mcf	6	0.087165	0.000000
mcf	7	0.085676	0.000000
mcf	8	0.093202	0.000000
mcf	9	0.090926	0.000000
mcf	10	0.099906	0.000000
mcf	11	0.103802	0.000000
mcf	12	0.111452	0.000000
mcf	13	0.099077	0.000000
mcf	14	0.101160	0.000000
mcf	15	0.102654	0.000000
mcf	16	0.101979	0.000000
mcf	17	0.120588	0.000000
mcf	18	0.108871	0.000000
mcf	19	0.123528	0.000000
mcf	20	0.120979	0.000000
mcf	21	0.118214	0.000000
mcf	22	0.125112	0.000000
mcf	23	0.128587	0.000000
raeke	0	0.153188	0.000000
raeke	1	0.150358	0.000000
raeke	2	0.156579	0.000000
raeke	3	0.144554	0.000000
raeke	4	0.131015	0.000000
raeke	5	0.140400	0.000000
raeke	6	0.128849	0.000000
raeke	7	0.129415	0.000000
raeke	8	0.137357	0.000000
raeke	9	0.141819	0.000000
raeke	10	0.142848	0.000000
raeke	11	0.144336	0.000000
raeke	12	0.151729	0.000000
raeke	13	0.153439	0.000000
raeke	14	0.155765	0.000000
raeke	15	0.145184	0.000000
raeke	16	0.143688	0.000000
raeke	17	0.157836	0.000000
raeke	18	0.159945	0.000000
raeke	19	0.162701	0.000000
raeke	20	0.164626	0.000000
raeke	21	0.158046	0.000000
raeke	22	0.165808	0.000000
raeke	23	0.167371	0.000000
semimcfecmp	0	0.115346	0.000000
semimcfecmp	1	0.113265	0.000000
semimcfecmp	2	0.059877	0.000000
semimcfecmp	3	0.052910	0.000000
semimcfecmp	4	0.047177	0.000000
semimcfecmp	5	0.050627	0.000000
semimcfecmp	6	0.046485	0.000000
semimcfecmp	7	0.046575	0.000000
semimcfecmp	8	0.049635	0.000000
semimcfecmp	9	0.051124	0.000000
semimcfecmp	10	0.051937	0.000000
semimcfecmp	11	0.052948	0.000000
semimcfecmp	12	0.057318	0.000000
semimcfecmp	13	0.058093	0.000000
semimcfecmp	14	0.059683	0.000000
semimcfecmp	15	0.053508	0.000000
semimcfecmp	16	0.052566	0.000000
semimcfecmp	17	0.060817	0.000000
semimcfecmp	18	0.061877	0.000000
semimcfecmp	19	0.063477	0.000000
semimcfecmp	20	0.064637	0.000000
semimcfecmp	21	0.061131	0.000000
semimcfecmp	22	0.065757	0.000000
semimcfecmp	23	0.066664	0.000000
semimcfksp	0	0.156491	0.000000
semimcfksp	1	0.140657	0.000000
semimcfksp	2	0.145070	0.000000
semimcfksp	3	0.134995	0.000000
semimcfksp	4	0.122582	0.000000
semimcfksp	5	0.133025	0.000000
semimcfksp	6	0.122146	0.000000
semimcfksp	7	0.121575	0.000000
semimcfksp	8	0.129937	0.000000
semimcfksp	9	0.133516	0.000000
semimcfksp	10	0.134353	0.000000
semimcfksp	11	0.135343	0.000000
semimcfksp	12	0.142795	0.000000
semimcfksp	13	0.144264	0.000000
semimcfksp	14	0.146481	0.000000
semimcfksp	15	0.136967	0.000000
semimcfksp	16	0.135547	0.000000
semimcfksp	17	0.148335	0.000000
semimcfksp	18	0.148906	0.000000
semimcfksp	19	0.150934	0.000000
semimcfksp	20	0.152860	0.000000
semimcfksp	21	0.147062	0.000000
semimcfksp	22	0.154854	0.000000
semimcfksp	23	0.156080	0.000000
semimcfmcf	0	0.166153	0.000000
semimcfmcf	1	0.164264	0.000000
semimcfmcf	2	0.115712	0.000000
semimcfmcf	3	0.102233	0.000000
semimcfmcf	4	0.091160	0.000000
semimcfmcf	5	0.097824	0.000000
semimcfmcf	6	0.089626	0.000000
semimcfmcf	7	0.090272	0.000000
semimcfmcf	8	0.095841	0.000000
semimcfmcf	9	0.099046	0.000000
semimcfmcf	10	0.100703	0.000000
semimcfmcf	11	0.102570	0.000000
semimcfmcf	12	0.110485	0.000000
semimcfmcf	13	0.112241	0.000000
semimcfmcf	14	0.114516	0.000000
semimcfmcf	15	0.102287	0.000000
semimcfmcf	16	0.100902	0.000000
semimcfmcf	17	0.116687	0.000000
semimcfmcf	18	0.119284	0.000000
semimcfmcf	19	0.122820	0.000000
semimcfmcf	20	0.124837	0.000000
semimcfmcf	21	0.117697	0.000000
semimcfmcf	22	0.126912	0.000000
semimcfmcf	23	0.128305	0.000000
semimcfmcfenv	0	0.166093	0.000000
semimcfmcfenv	1	0.164204	0.000000
semimcfmcfenv	2	0.115546	0.000000
semimcfmcfenv	3	0.102073	0.000000
semimcfmcfenv	4	0.091027	0.000000
semimcfmcfenv	5	0.097645	0.000000
semimcfmcfenv	6	0.089460	0.000000
semimcfmcfenv	7	0.090101	0.000000
semimcfmcfenv	8	0.095661	0.000000
semimcfmcfenv	9	0.098889	0.000000
semimcfmcfenv	10	0.100548	0.000000
semimcfmcfenv	11	0.102401	0.000000
semimcfmcfenv	12	0.110304	0.000000
semimcfmcfenv	13	0.112056	0.000000
semimcfmcfenv	14	0.114333	0.000000
semimcfmcfenv	15	0.102122	0.000000
semimcfmcfenv	16	0.100738	0.000000
semimcfmcfenv	17	0.116499	0.000000
semimcfmcfenv	18	0.119089	0.000000
semimcfmcfenv	19	0.122614	0.000000
semimcfmcfenv	20	0.124629	0.000000
semimcfmcfenv	21	0.117501	0.000000
semimcfmcfenv	22	0.126695	0.000000
semimcfmcfenv	23	0.128084	0.000000
semimcfraeke	0	0.142012	0.000000
semimcfraeke	1	0.159492	0.000000
semimcfraeke	2	0.153795	0.000000
semimcfraeke	3	0.141473	0.000000
