# solver	iter	time	stddev
ecmp	0	0.039146	0.000000
ecmp	1	0.040924	0.000000
ecmp	2	0.083753	0.000000
ecmp	3	0.039373	0.000000
ecmp	4	0.049036	0.000000
ecmp	5	0.042896	0.000000
ecmp	6	0.041503	0.000000
ecmp	7	0.050633	0.000000
ecmp	8	0.038630	0.000000
ecmp	9	0.039944	0.000000
ecmp	10	0.039770	0.000000
ecmp	11	0.041202	0.000000
ecmp	12	0.039977	0.000000
ecmp	13	0.050893	0.000000
ecmp	14	0.047870	0.000000
ecmp	15	0.041799	0.000000
ecmp	16	0.041841	0.000000
ecmp	17	0.040661	0.000000
ecmp	18	0.043576	0.000000
ecmp	19	0.039914	0.000000
ecmp	20	0.042625	0.000000
ecmp	21	0.041827	0.000000
ecmp	22	0.043453	0.000000
ecmp	23	0.044370	0.000000
ksp	0	0.031295	0.000000
ksp	1	0.028235	0.000000
ksp	2	0.029460	0.000000
ksp	3	0.030418	0.000000
ksp	4	0.027598	0.000000
ksp	5	0.019559	0.000000
ksp	6	0.028438	0.000000
ksp	7	0.029131	0.000000
ksp	8	0.029001	0.000000
ksp	9	0.029021	0.000000
ksp	10	0.032553	0.000000
ksp	11	0.029760	0.000000
ksp	12	0.028355	0.000000
ksp	13	0.032820	0.000000
ksp	14	0.031128	0.000000
ksp	15	0.029317	0.000000
ksp	16	0.035223	0.000000
ksp	17	0.029708	0.000000
ksp	18	0.029836	0.000000
ksp	19	0.036719	0.000000
ksp	20	0.035264	0.000000
ksp	21	0.032359	0.000000
ksp	22	0.030165	0.000000
ksp	23	0.029140	0.000000
mcf	0	0.278838	0.000000
mcf	1	0.249355	0.000000
mcf	2	0.235746	0.000000
mcf	3	0.169032	0.000000
mcf	4	0.169699	0.000000
mcf	5	0.257669	0.000000
mcf	6	0.402016	0.000000
mcf	7	0.371320	0.000000
mcf	8	0.408622	0.000000
mcf	9	0.270986	0.000000
mcf	10	0.295337	0.000000
mcf	11	0.305292	0.000000
mcf	12	0.266900	0.000000
mcf	13	0.171622	0.000000
mcf	14	0.441079	0.000000
mcf	15	0.351573	0.000000
mcf	16	0.216751	0.000000
mcf	17	0.364046	0.000000
mcf	18	0.445409	0.000000
mcf	19	0.352289	0.000000
mcf	20	0.256316	0.000000
mcf	21	0.334259	0.000000
mcf	22	0.320908	0.000000
mcf	23	0.419606	0.000000
raeke	0	0.332224	0.000000
raeke	1	0.000498	0.000000
raeke	2	0.000464	0.000000
raeke	3	0.000495	0.000000
raeke	4	0.000446	0.000000
raeke	5	0.000467	0.000000
raeke	6	0.000630	0.000000
raeke	7	0.000502	0.000000
raeke	8	0.000480	0.000000
raeke	9	0.000412	0.000000
raeke	10	0.000462	0.000000
raeke	11	0.000864	0.000000
raeke	12	0.000457	0.000000
raeke	13	0.000514	0.000000
raeke	14	0.000483	0.000000
raeke	15	0.000489	0.000000
raeke	16	0.000641	0.000000
raeke	17	0.000467	0.000000
raeke	18	0.000489	0.000000
raeke	19	0.000463	0.000000
raeke	20	0.000421	0.000000
raeke	21	0.001006	0.000000
raeke	22	0.000469	0.000000
raeke	23	0.000477	0.000000
semimcfecmp	0	0.009909	0.000000
semimcfecmp	1	0.010697	0.000000
semimcfecmp	2	0.007141	0.000000
semimcfecmp	3	0.011120	0.000000
semimcfecmp	4	0.008011	0.000000
semimcfecmp	5	0.007513	0.000000
semimcfecmp	6	0.010533	0.000000
semimcfecmp	7	0.010654	0.000000
semimcfecmp	8	0.008222	0.000000
semimcfecmp	9	0.007485	0.000000
semimcfecmp	10	0.007652	0.000000
semimcfecmp	11	0.007721	0.000000
semimcfecmp	12	0.007169	0.000000
semimcfecmp	13	0.011461	0.000000
semimcfecmp	14	0.008718	0.000000
semimcfecmp	15	0.010217	0.000000
semimcfecmp	16	0.008842	0.000000
semimcfecmp	17	0.009821	0.000000
semimcfecmp	18	0.008787	0.000000
semimcfecmp	19	0.009122	0.000000
semimcfecmp	20	0.008301	0.000000
semimcfecmp	21	0.007512	0.000000
semimcfecmp	22	0.007324	0.000000
semimcfecmp	23	0.008481	0.000000
semimcfksp	0	0.019018	0.000000
semimcfksp	1	0.018135	0.000000
semimcfksp	2	0.018197	0.000000
semimcfksp	3	0.017292	0.000000
semimcfksp	4	0.022812	0.000000
semimcfksp	5	0.026372	0.000000
semimcfksp	6	0.016512	0.000000
semimcfksp	7	0.018895	0.000000
semimcfksp	8	0.016923	0.000000
semimcfksp	9	0.016665	0.000000
semimcfksp	10	0.017961	0.000000
semimcfksp	11	0.016610	0.000000
semimcfksp	12	0.016754	0.000000
semimcfksp	13	0.018251	0.000000
semimcfksp	14	0.016881	0.000000
semimcfksp	15	0.016359	0.000000
semimcfksp	16	0.017950	0.000000
semimcfksp	17	0.021008	0.000000
semimcfksp	18	0.026410	0.000000
semimcfksp	19	0.016189	0.000000
semimcfksp	20	0.017744	0.000000
semimcfksp	21	0.021204	0.000000
semimcfksp	22	0.022533	0.000000
semimcfksp	23	0.021665	0.000000
semimcfmcf	0	0.010777	0.000000
semimcfmcf	1	0.021119	0.000000
semimcfmcf	2	0.021706	0.000000
semimcfmcf	3	0.010995	0.000000
semimcfmcf	4	0.014634	0.000000
semimcfmcf	5	0.010240	0.000000
semimcfmcf	6	0.011813	0.000000
semimcfmcf	7	0.023423	0.000000
semimcfmcf	8	0.009355	0.000000
semimcfmcf	9	0.019704	0.000000
semimcfmcf	10	0.021740	0.000000
semimcfmcf	11	0.016874	0.000000
semimcfmcf	12	0.024630	0.000000
semimcfmcf	13	0.009658	0.000000
semimcfmcf	14	0.014957	0.000000
semimcfmcf	15	0.029299	0.000000
semimcfmcf	16	0.025427	0.000000
semimcfmcf	17	0.027725	0.000000
semimcfmcf	18	0.010989	0.000000
semimcfmcf	19	0.016765	0.000000
semimcfmcf	20	0.029552	0.000000
semimcfmcf	21	0.009614	0.000000
semimcfmcf	22	0.009434	0.000000
semimcfmcf	23	0.009584	0.000000
semimcfmcfenv	0	0.011358	0.000000
semimcfmcfenv	1	0.009884	0.000000
semimcfmcfenv	2	0.023283	0.000000
semimcfmcfenv	3	0.010211	0.000000
semimcfmcfenv	4	0.010187	0.000000
semimcfmcfenv	5	0.006268	0.000000
semimcfmcfenv	6	0.006286	0.000000
semimcfmcfenv	7	0.009915	0.000000
semimcfmcfenv	8	0.011187	0.000000
semimcfmcfenv	9	0.010029	0.000000
semimcfmcfenv	10	0.008488	0.000000
semimcfmcfenv	11	0.009803	0.000000
semimcfmcfenv	12	0.007993	0.000000
semimcfmcfenv	13	0.007152	0.000000
semimcfmcfenv	14	0.010323	0.000000
semimcfmcfenv	15	0.009967	0.000000
semimcfmcfenv	16	0.014984	0.000000
semimcfmcfenv	17	0.009539	0.000000
semimcfmcfenv	18	0.010044	0.000000
semimcfmcfenv	19	0.008354	0.000000
semimcfmcfenv	20	0.010220	0.000000
semimcfmcfenv	21	0.009273	0.000000
semimcfmcfenv	22	0.007191	0.000000
semimcfmcfenv	23	0.010404	0.000000
semimcfraeke	0	0.019119	0.000000
semimcfraeke	1	0.024398	0.000000
semimcfraeke	2	0.025614	0.000000
semimcfraeke	3	0.017113	0.000000
semimcfraeke	4	0.022241	0.000000
semimcfraeke	5	0.024442	0.000000
semimcfraeke	6	0.017726	0.000000
