# solver	iter	.0.600000-congestion	stddev
ecmp	0	0.096453	0.000000
ecmp	1	0.094369	0.000000
ecmp	2	0.040573	0.000000
ecmp	3	0.033198	0.000000
ecmp	4	0.029821	0.000000
ecmp	5	0.032193	0.000000
ecmp	6	0.029159	0.000000
ecmp	7	0.029441	0.000000
ecmp	8	0.031538	0.000000
ecmp	9	0.033037	0.000000
ecmp	10	0.033221	0.000000
ecmp	11	0.033639	0.000000
ecmp	12	0.037400	0.000000
ecmp	13	0.037276	0.000000
ecmp	14	0.038331	0.000000
ecmp	15	0.034239	0.000000
ecmp	16	0.034054	0.000000
ecmp	17	0.039426	0.000000
ecmp	18	0.038242	0.000000
ecmp	19	0.039629	0.000000
ecmp	20	0.041289	0.000000
ecmp	21	0.038992	0.000000
ecmp	22	0.040737	0.000000
ecmp	23	0.041363	0.000000
ksp	0	0.245720	0.000000
ksp	1	0.240173	0.000000
ksp	2	0.163500	0.000000
ksp	3	0.145029	0.000000
ksp	4	0.129579	0.000000
ksp	5	0.136514	0.000000
ksp	6	0.125122	0.000000
ksp	7	0.126247	0.000000
ksp	8	0.134112	0.000000
ksp	9	0.137839	0.000000
ksp	10	0.139840	0.000000
ksp	11	0.141295	0.000000
ksp	12	0.155604	0.000000
ksp	13	0.153635	0.000000
ksp	14	0.161962	0.000000
ksp	15	0.142979	0.000000
ksp	16	0.140928	0.000000
ksp	17	0.163162	0.000000
ksp	18	0.164110	0.000000
ksp	19	0.168534	0.000000
ksp	20	0.171134	0.000000
ksp	21	0.161955	0.000000
ksp	22	0.174591	0.000000
ksp	23	0.176855	0.000000
mcf	0	0.104816	0.000000
mcf	1	0.115990	0.000000
mcf	2	0.055130	0.000000
mcf	3	0.065263	0.000000
mcf	4	0.047469	0.000000
mcf	5	0.047489	0.000000
mcf	6	0.053696	0.000000
mcf	7	0.053881	0.000000
mcf	8	0.058133	0.000000
mcf	9	0.051242	0.000000
mcf	10	0.048280	0.000000
mcf	11	0.048980	0.000000
mcf	12	0.052793	0.000000
mcf	13	0.053742	0.000000
mcf	14	0.060169	0.000000
mcf	15	0.049436	0.000000
mcf	16	0.048920	0.000000
mcf	17	0.056900	0.000000
mcf	18	0.057989	0.000000
mcf	19	0.059627	0.000000
mcf	20	0.072367	0.000000
mcf	21	0.056641	0.000000
mcf	22	0.060770	0.000000
mcf	23	0.061762	0.000000
raeke	0	0.141830	0.000000
raeke	1	0.141916	0.000000
raeke	2	0.102108	0.000000
raeke	3	0.091406	0.000000
raeke	4	0.083978	0.000000
raeke	5	0.087989	0.000000
raeke	6	0.079925	0.000000
raeke	7	0.080264	0.000000
raeke	8	0.086505	0.000000
raeke	9	0.091130	0.000000
raeke	10	0.091802	0.000000
raeke	11	0.090232	0.000000
raeke	12	0.097280	0.000000
raeke	13	0.099008	0.000000
raeke	14	0.101241	0.000000
raeke	15	0.091238	0.000000
raeke	16	0.090081	0.000000
raeke	17	0.104292	0.000000
raeke	18	0.107112	0.000000
raeke	19	0.110855	0.000000
raeke	20	0.112824	0.000000
raeke	21	0.106726	0.000000
raeke	22	0.114037	0.000000
raeke	23	0.115641	0.000000
semimcfecmp	0	0.082623	0.000000
semimcfecmp	1	0.077571	0.000000
semimcfecmp	2	0.037243	0.000000
semimcfecmp	3	0.032994	0.000000
semimcfecmp	4	0.029488	0.000000
semimcfecmp	5	0.031427	0.000000
semimcfecmp	6	0.028722	0.000000
semimcfecmp	7	0.028955	0.000000
semimcfecmp	8	0.031358	0.000000
semimcfecmp	9	0.031469	0.000000
semimcfecmp	10	0.031878	0.000000
semimcfecmp	11	0.032027	0.000000
semimcfecmp	12	0.036406	0.000000
semimcfecmp	13	0.035316	0.000000
semimcfecmp	14	0.037549	0.000000
semimcfecmp	15	0.033583	0.000000
semimcfecmp	16	0.032737	0.000000
semimcfecmp	17	0.037902	0.000000
semimcfecmp	18	0.038211	0.000000
semimcfecmp	19	0.037672	0.000000
semimcfecmp	20	0.040604	0.000000
semimcfecmp	21	0.037619	0.000000
semimcfecmp	22	0.038532	0.000000
semimcfecmp	23	0.039035	0.000000
semimcfksp	0	0.127128	0.000000
semimcfksp	1	0.102216	0.000000
semimcfksp	2	0.090178	0.000000
semimcfksp	3	0.085888	0.000000
semimcfksp	4	0.077504	0.000000
semimcfksp	5	0.083672	0.000000
semimcfksp	6	0.076048	0.000000
semimcfksp	7	0.077356	0.000000
semimcfksp	8	0.083156	0.000000
semimcfksp	9	0.080412	0.000000
semimcfksp	10	0.080799	0.000000
semimcfksp	11	0.088372	0.000000
semimcfksp	12	0.094713	0.000000
semimcfksp	13	0.092476	0.000000
semimcfksp	14	0.099083	0.000000
semimcfksp	15	0.088551	0.000000
semimcfksp	16	0.087206	0.000000
semimcfksp	17	0.100753	0.000000
semimcfksp	18	0.091536	0.000000
semimcfksp	19	0.093642	0.000000
semimcfksp	20	0.094969	0.000000
semimcfksp	21	0.089857	0.000000
semimcfksp	22	0.101079	0.000000
semimcfksp	23	0.101216	0.000000
semimcfmcf	0	0.104816	0.000000
semimcfmcf	1	0.102216	0.000000
semimcfmcf	2	0.055130	0.000000
semimcfmcf	3	0.049458	0.000000
semimcfmcf	4	0.044382	0.000000
semimcfmcf	5	0.047489	0.000000
semimcfmcf	6	0.043182	0.000000
semimcfmcf	7	0.043282	0.000000
semimcfmcf	8	0.045993	0.000000
semimcfmcf	9	0.047535	0.000000
semimcfmcf	10	0.048280	0.000000
semimcfmcf	11	0.048980	0.000000
semimcfmcf	12	0.052793	0.000000
semimcfmcf	13	0.053742	0.000000
semimcfmcf	14	0.054846	0.000000
semimcfmcf	15	0.049564	0.000000
semimcfmcf	16	0.048920	0.000000
semimcfmcf	17	0.056638	0.000000
semimcfmcf	18	0.057989	0.000000
semimcfmcf	19	0.059627	0.000000
semimcfmcf	20	0.060449	0.000000
semimcfmcf	21	0.056641	0.000000
semimcfmcf	22	0.060770	0.000000
semimcfmcf	23	0.061762	0.000000
semimcfraeke	0	0.103407	0.000000
semimcfraeke	1	0.116649	0.000000
semimcfraeke	2	0.097631	0.000000
semimcfraeke	3	0.088172	0.000000
semimcfraeke	4	0.078690	0.000000
semimcfraeke	5	0.084316	0.000000
semimcfraeke	6	0.078757	0.000000
semimcfraeke	7	0.078831	0.000000
semimcfraeke	8	0.083857	0.000000
semimcfraeke	9	0.083670	0.000000
semimcfraeke	10	0.084382	0.000000
semimcfraeke	11	0.084544	0.000000
semimcfraeke	12	0.097280	0.000000
semimcfraeke	13	0.094191	0.000000
semimcfraeke	14	0.100866	0.000000
semimcfraeke	15	0.089025	0.000000
semimcfraeke	16	0.086899	0.000000
semimcfraeke	17	0.100608	0.000000
semimcfraeke	18	0.098982	0.000000
semimcfraeke	19	0.101568	0.000000
semimcfraeke	20	0.105208	0.000000
semimcfraeke	21	0.099375	0.000000
semimcfraeke	22	0.106518	0.000000
semimcfraeke	23	0.107178	0.000000
semimcfvlb	0	0.102891	0.000000
semimcfvlb	1	0.103920	0.000000
semimcfvlb	2	0.080328	0.000000
semimcfvlb	3	0.074277	0.000000
semimcfvlb	4	0.064554	0.000000
semimcfvlb	5	0.076437	0.000000
semimcfvlb	6	0.070083	0.000000
semimcfvlb	7	0.070798	0.000000
semimcfvlb	8	0.074615	0.000000
semimcfvlb	9	0.071196	0.000000
semimcfvlb	10	0.071684	0.000000
semimcfvlb	11	0.075785	0.000000
semimcfvlb	12	0.076274	0.000000
semimcfvlb	13	0.079287	0.000000
semimcfvlb	14	0.084664	0.000000
semimcfvlb	15	0.075782	0.000000
semimcfvlb	16	0.075803	0.000000
semimcfvlb	17	0.079897	0.000000
semimcfvlb	18	0.084212	0.000000
semimcfvlb	19	0.085088	0.000000
semimcfvlb	20	0.086852	0.000000
semimcfvlb	21	0.081459	0.000000
semimcfvlb	22	0.087646	0.000000
semimcfvlb	23	0.090721	0.000000
spf	0	0.061890	0.000000
spf	1	0.059848	0.000000
spf	2	0.035912	0.000000
spf	3	0.031956	0.000000
spf	4	0.028706	0.000000
spf	5	0.030693	0.000000
spf	6	0.027862	0.000000
spf	7	0.028185	0.000000
spf	8	0.029831	0.000000
spf	9	0.029434	0.000000
spf	10	0.029877	0.000000
spf	11	0.030259	0.000000
spf	12	0.034639	0.000000
spf	13	0.031273	0.000000
spf	14	0.036210	0.000000
spf	15	0.032790	0.000000
spf	16	0.032216	0.000000
spf	17	0.037299	0.000000
spf	18	0.035435	0.000000
spf	19	0.036720	0.000000
spf	20	0.037262	0.000000
spf	21	0.035774	0.000000
spf	22	0.037643	0.000000
spf	23	0.038176	0.000000
vlb	0	0.128042	0.000000
vlb	1	0.127671	0.000000
vlb	2	0.092337	0.000000
vlb	3	0.089401	0.000000
vlb	4	0.081748	0.000000
vlb	5	0.083262	0.000000
vlb	6	0.077805	0.000000
vlb	7	0.078368	0.000000
vlb	8	0.084226	0.000000
vlb	9	0.082807	0.000000
vlb	10	0.081107	0.000000
vlb	11	0.090232	0.000000
vlb	12	0.085396	0.000000
vlb	13	0.090887	0.000000
vlb	14	0.100364	0.000000
vlb	15	0.084289	0.000000
vlb	16	0.079489	0.000000
vlb	17	0.092423	0.000000
vlb	18	0.092577	0.000000
vlb	19	0.100024	0.000000
vlb	20	0.094813	0.000000
vlb	21	0.089719	0.000000
vlb	22	0.100334	0.000000
vlb	23	0.109926	0.000000

