# solver	iter	failure-drop	stddev
ecmp	0	0.000000	0.000000
ecmp	1	0.000000	0.000000
ecmp	2	0.438928	0.000000
ecmp	3	0.435624	0.000000
ecmp	4	0.437732	0.000000
ecmp	5	0.438616	0.000000
ecmp	6	0.438058	0.000000
ecmp	7	0.440621	0.000000
ecmp	8	0.439300	0.000000
ecmp	9	0.441408	0.000000
ecmp	10	0.441420	0.000000
ecmp	11	0.440492	0.000000
ecmp	12	0.438782	0.000000
ecmp	13	0.439400	0.000000
ecmp	14	0.435967	0.000000
ecmp	15	0.434461	0.000000
ecmp	16	0.437489	0.000000
ecmp	17	0.437515	0.000000
ecmp	18	0.439281	0.000000
ecmp	19	0.442170	0.000000
ecmp	20	0.442051	0.000000
ecmp	21	0.438036	0.000000
ecmp	22	0.436321	0.000000
ecmp	23	0.436619	0.000000
ksp	0	0.000000	0.000000
ksp	1	0.000000	0.000000
ksp	2	0.407825	0.000000
ksp	3	0.404812	0.000000
ksp	4	0.406179	0.000000
ksp	5	0.406657	0.000000
ksp	6	0.405665	0.000000
ksp	7	0.407535	0.000000
ksp	8	0.406599	0.000000
ksp	9	0.408278	0.000000
ksp	10	0.409171	0.000000
ksp	11	0.408932	0.000000
ksp	12	0.407401	0.000000
ksp	13	0.407568	0.000000
ksp	14	0.404950	0.000000
ksp	15	0.404846	0.000000
ksp	16	0.406580	0.000000
ksp	17	0.406624	0.000000
ksp	18	0.407677	0.000000
ksp	19	0.409487	0.000000
ksp	20	0.408838	0.000000
ksp	21	0.406780	0.000000
ksp	22	0.407011	0.000000
ksp	23	0.407233	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.308273	0.000000
mcf	3	0.305586	0.000000
mcf	4	0.307179	0.000000
mcf	5	0.307185	0.000000
mcf	6	0.306576	0.000000
mcf	7	0.308091	0.000000
mcf	8	0.307451	0.000000
mcf	9	0.308827	0.000000
mcf	10	0.309558	0.000000
mcf	11	0.309181	0.000000
mcf	12	0.308174	0.000000
mcf	13	0.308130	0.000000
mcf	14	0.306813	0.000000
mcf	15	0.305916	0.000000
mcf	16	0.307623	0.000000
mcf	17	0.307782	0.000000
mcf	18	0.308437	0.000000
mcf	19	0.309875	0.000000
mcf	20	0.309730	0.000000
mcf	21	0.308328	0.000000
mcf	22	0.307628	0.000000
mcf	23	0.307856	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.384084	0.000000
raeke	3	0.381051	0.000000
raeke	4	0.382579	0.000000
raeke	5	0.383166	0.000000
raeke	6	0.382656	0.000000
raeke	7	0.384606	0.000000
raeke	8	0.383671	0.000000
raeke	9	0.385425	0.000000
raeke	10	0.385906	0.000000
raeke	11	0.385435	0.000000
raeke	12	0.384076	0.000000
raeke	13	0.384552	0.000000
raeke	14	0.381972	0.000000
raeke	15	0.380695	0.000000
raeke	16	0.382797	0.000000
raeke	17	0.382829	0.000000
raeke	18	0.384019	0.000000
raeke	19	0.386159	0.000000
raeke	20	0.386213	0.000000
raeke	21	0.383655	0.000000
raeke	22	0.382574	0.000000
raeke	23	0.382748	0.000000
semimcfecmp	0	0.000000	0.000000
semimcfecmp	1	0.000000	0.000000
semimcfecmp	2	0.438133	0.000000
semimcfecmp	3	0.434864	0.000000
semimcfecmp	4	0.436971	0.000000
semimcfecmp	5	0.438980	0.000000
semimcfecmp	6	0.438419	0.000000
semimcfecmp	7	0.439886	0.000000
semimcfecmp	8	0.438569	0.000000
semimcfecmp	9	0.440706	0.000000
semimcfecmp	10	0.440716	0.000000
semimcfecmp	11	0.439757	0.000000
semimcfecmp	12	0.437963	0.000000
semimcfecmp	13	0.439684	0.000000
semimcfecmp	14	0.436327	0.000000
semimcfecmp	15	0.434823	0.000000
semimcfecmp	16	0.437853	0.000000
semimcfecmp	17	0.437883	0.000000
semimcfecmp	18	0.439591	0.000000
semimcfecmp	19	0.441471	0.000000
semimcfecmp	20	0.441354	0.000000
semimcfecmp	21	0.437335	0.000000
semimcfecmp	22	0.435621	0.000000
semimcfecmp	23	0.435916	0.000000
semimcfksp	0	0.000000	0.000000
semimcfksp	1	0.000000	0.000000
semimcfksp	2	0.295267	0.000000
semimcfksp	3	0.299391	0.000000
semimcfksp	4	0.300839	0.000000
semimcfksp	5	0.289191	0.000000
semimcfksp	6	0.288594	0.000000
semimcfksp	7	0.300580	0.000000
semimcfksp	8	0.290280	0.000000
semimcfksp	9	0.294238	0.000000
semimcfksp	10	0.294008	0.000000
semimcfksp	11	0.297133	0.000000
semimcfksp	12	0.291420	0.000000
semimcfksp	13	0.302429	0.000000
semimcfksp	14	0.285432	0.000000
semimcfksp	15	0.288148	0.000000
semimcfksp	16	0.290250	0.000000
semimcfksp	17	0.290272	0.000000
semimcfksp	18	0.302376	0.000000
semimcfksp	19	0.297403	0.000000
semimcfksp	20	0.297308	0.000000
semimcfksp	21	0.295853	0.000000
semimcfksp	22	0.294607	0.000000
semimcfksp	23	0.294838	0.000000
semimcfmcf	0	0.000000	0.000000
semimcfmcf	1	0.000000	0.000000
semimcfmcf	2	0.308249	0.000000
semimcfmcf	3	0.305565	0.000000
semimcfmcf	4	0.307027	0.000000
semimcfmcf	5	0.307185	0.000000
semimcfmcf	6	0.306549	0.000000
semimcfmcf	7	0.308063	0.000000
semimcfmcf	8	0.307418	0.000000
semimcfmcf	9	0.308568	0.000000
semimcfmcf	10	0.309558	0.000000
semimcfmcf	11	0.309181	0.000000
semimcfmcf	12	0.308174	0.000000
semimcfmcf	13	0.308091	0.000000
semimcfmcf	14	0.306563	0.000000
semimcfmcf	15	0.305680	0.000000
semimcfmcf	16	0.307623	0.000000
semimcfmcf	17	0.307656	0.000000
semimcfmcf	18	0.308310	0.000000
semimcfmcf	19	0.309875	0.000000
semimcfmcf	20	0.309707	0.000000
semimcfmcf	21	0.308328	0.000000
semimcfmcf	22	0.307093	0.000000
semimcfmcf	23	0.306728	0.000000
semimcfmcfenv	0	0.000000	0.000000
semimcfmcfenv	1	0.000000	0.000000
semimcfmcfenv	2	0.308249	0.000000
semimcfmcfenv	3	0.305565	0.000000
semimcfmcfenv	4	0.307027	0.000000
semimcfmcfenv	5	0.307185	0.000000
semimcfmcfenv	6	0.306549	0.000000
semimcfmcfenv	7	0.308063	0.000000
semimcfmcfenv	8	0.307418	0.000000
semimcfmcfenv	9	0.308568	0.000000
semimcfmcfenv	10	0.309558	0.000000
semimcfmcfenv	11	0.309181	0.000000
semimcfmcfenv	12	0.308174	0.000000
semimcfmcfenv	13	0.308091	0.000000
semimcfmcfenv	14	0.306563	0.000000
semimcfmcfenv	15	0.305680	0.000000
semimcfmcfenv	16	0.307623	0.000000
semimcfmcfenv	17	0.307656	0.000000
semimcfmcfenv	18	0.308310	0.000000
semimcfmcfenv	19	0.309875	0.000000
semimcfmcfenv	20	0.309707	0.000000
semimcfmcfenv	21	0.308328	0.000000
semimcfmcfenv	22	0.307093	0.000000
semimcfmcfenv	23	0.306728	0.000000
semimcfraeke	0	0.000000	0.000000
semimcfraeke	1	0.000000	0.000000
semimcfraeke	2	0.291914	0.000000
semimcfraeke	3	0.286232	0.000000
semimcfraeke	4	0.287756	0.000000
semimcfraeke	5	0.274500	0.000000
semimcfraeke	6	0.274169	0.000000
semimcfraeke	7	0.283410	0.000000
semimcfraeke	8	0.275524	0.000000
semimcfraeke	9	0.293248	0.000000
semimcfraeke	10	0.294186	0.000000
semimcfraeke	11	0.294105	0.000000
semimcfraeke	12	0.276843	0.000000
semimcfraeke	13	0.289863	0.000000
semimcfraeke	14	0.288824	0.000000
semimcfraeke	15	0.273838	0.000000
semimcfraeke	16	0.275140	0.000000
semimcfraeke	17	0.275153	0.000000
semimcfraeke	18	0.289748	0.000000
semimcfraeke	19	0.294365	0.000000
semimcfraeke	20	0.294268	0.000000
semimcfraeke	21	0.292797	0.000000
semimcfraeke	22	0.291945	0.000000
semimcfraeke	23	0.292184	0.000000
semimcfvlb	0	0.000000	0.000000
semimcfvlb	1	0.000000	0.000000
semimcfvlb	2	0.281208	0.000000
semimcfvlb	3	0.294128	0.000000
semimcfvlb	4	0.295964	0.000000
semimcfvlb	5	0.295690	0.000000
semimcfvlb	6	0.295065	0.000000
semimcfvlb	7	0.285754	0.000000
semimcfvlb	8	0.295736	0.000000
semimcfvlb	9	0.283262	0.000000
semimcfvlb	10	0.284508	0.000000
semimcfvlb	11	0.284144	0.000000
semimcfvlb	12	0.297190	0.000000
semimcfvlb	13	0.296781	0.000000
semimcfvlb	14	0.290184	0.000000
semimcfvlb	15	0.294837	0.000000
semimcfvlb	16	0.296591	0.000000
semimcfvlb	17	0.296617	0.000000
semimcfvlb	18	0.296744	0.000000
semimcfvlb	19	0.284784	0.000000
semimcfvlb	20	0.284730	0.000000
semimcfvlb	21	0.283201	0.000000
semimcfvlb	22	0.281782	0.000000
semimcfvlb	23	0.281989	0.000000
spf	0	0.000000	0.000000
spf	1	0.000000	0.000000
spf	2	0.438133	0.000000
spf	3	0.434864	0.000000
spf	4	0.436971	0.000000
spf	5	0.437897	0.000000
spf	6	0.437347	0.000000
spf	7	0.439886	0.000000
spf	8	0.438569	0.000000
spf	9	0.440706	0.000000
spf	10	0.440716	0.000000
spf	11	0.439757	0.000000
spf	12	0.437963	0.000000
spf	13	0.438764	0.000000
spf	14	0.435161	0.000000
spf	15	0.433652	0.000000
spf	16	0.436673	0.000000
spf	17	0.436702	0.000000
spf	18	0.438588	0.000000
spf	19	0.441471	0.000000
spf	20	0.441354	0.000000
spf	21	0.437335	0.000000
spf	22	0.435621	0.000000
spf	23	0.435916	0.000000
vlb	0	0.000000	0.000000
vlb	1	0.000000	0.000000
vlb	2	0.436153	0.000000
vlb	3	0.434221	0.000000
vlb	4	0.434701	0.000000
vlb	5	0.436201	0.000000
vlb	6	0.433816	0.000000
vlb	7	0.437538	0.000000
vlb	8	0.436149	0.000000
vlb	9	0.438800	0.000000
vlb	10	0.439042	0.000000
vlb	11	0.439152	0.000000
vlb	12	0.436575	0.000000
vlb	13	0.436269	0.000000
vlb	14	0.434632	0.000000
vlb	15	0.432057	0.000000
vlb	16	0.435659	0.000000
vlb	17	0.433875	0.000000
vlb	18	0.437261	0.000000
vlb	19	0.437910	0.000000
vlb	20	0.440381	0.000000
