# solver	iter	.0.100000-congestion	stddev
ecmp	0	0.004366	0.000000
ecmp	1	0.004634	0.000000
ecmp	2	0.001969	0.000000
ecmp	3	0.002180	0.000000
ecmp	4	0.001988	0.000000
ecmp	5	0.002139	0.000000
ecmp	6	0.001945	0.000000
ecmp	7	0.001731	0.000000
ecmp	8	0.002133	0.000000
ecmp	9	0.002339	0.000000
ecmp	10	0.002293	0.000000
ecmp	11	0.001780	0.000000
ecmp	12	0.001918	0.000000
ecmp	13	0.002548	0.000000
ecmp	14	0.002607	0.000000
ecmp	15	0.001960	0.000000
ecmp	16	0.001936	0.000000
ecmp	17	0.002242	0.000000
ecmp	18	0.002416	0.000000
ecmp	19	0.002498	0.000000
ecmp	20	0.002548	0.000000
ecmp	21	0.002415	0.000000
ecmp	22	0.002574	0.000000
ecmp	23	0.002604	0.000000
ksp	0	0.004366	0.000000
ksp	1	0.004634	0.000000
ksp	2	0.001969	0.000000
ksp	3	0.002180	0.000000
ksp	4	0.001988	0.000000
ksp	5	0.002139	0.000000
ksp	6	0.001945	0.000000
ksp	7	0.001703	0.000000
ksp	8	0.002133	0.000000
ksp	9	0.002298	0.000000
ksp	10	0.002293	0.000000
ksp	11	0.001780	0.000000
ksp	12	0.001918	0.000000
ksp	13	0.002548	0.000000
ksp	14	0.002607	0.000000
ksp	15	0.001960	0.000000
ksp	16	0.001936	0.000000
ksp	17	0.002242	0.000000
ksp	18	0.002374	0.000000
ksp	19	0.002456	0.000000
ksp	20	0.002502	0.000000
ksp	21	0.002372	0.000000
ksp	22	0.002531	0.000000
ksp	23	0.002561	0.000000
mcf	0	0.002512	0.000000
mcf	1	0.002300	0.000000
mcf	2	0.001803	0.000000
mcf	3	0.001886	0.000000
mcf	4	0.001860	0.000000
mcf	5	0.002001	0.000000
mcf	6	0.001821	0.000000
mcf	7	0.001529	0.000000
mcf	8	0.001626	0.000000
mcf	9	0.001850	0.000000
mcf	10	0.001756	0.000000
mcf	11	0.001780	0.000000
mcf	12	0.001956	0.000000
mcf	13	0.001905	0.000000
mcf	14	0.002242	0.000000
mcf	15	0.001960	0.000000
mcf	16	0.001936	0.000000
mcf	17	0.002242	0.000000
mcf	18	0.002411	0.000000
mcf	19	0.002494	0.000000
mcf	20	0.002548	0.000000
mcf	21	0.002409	0.000000
mcf	22	0.002420	0.000000
mcf	23	0.002461	0.000000
raeke	0	0.004366	0.000000
raeke	1	0.004634	0.000000
raeke	2	0.001983	0.000000
raeke	3	0.002180	0.000000
raeke	4	0.001988	0.000000
raeke	5	0.002139	0.000000
raeke	6	0.001945	0.000000
raeke	7	0.001802	0.000000
raeke	8	0.002133	0.000000
raeke	9	0.002399	0.000000
raeke	10	0.002293	0.000000
raeke	11	0.001817	0.000000
raeke	12	0.001951	0.000000
raeke	13	0.002548	0.000000
raeke	14	0.002607	0.000000
raeke	15	0.001960	0.000000
raeke	16	0.001936	0.000000
raeke	17	0.002242	0.000000
raeke	18	0.002515	0.000000
raeke	19	0.002601	0.000000
raeke	20	0.002651	0.000000
raeke	21	0.002513	0.000000
raeke	22	0.002678	0.000000
raeke	23	0.002711	0.000000
semimcfecmp	0	0.004366	0.000000
semimcfecmp	1	0.004634	0.000000
semimcfecmp	2	0.001983	0.000000
semimcfecmp	3	0.002180	0.000000
semimcfecmp	4	0.001988	0.000000
semimcfecmp	5	0.002139	0.000000
semimcfecmp	6	0.001945	0.000000
semimcfecmp	7	0.001731	0.000000
semimcfecmp	8	0.002133	0.000000
semimcfecmp	9	0.002339	0.000000
semimcfecmp	10	0.002293	0.000000
semimcfecmp	11	0.001793	0.000000
semimcfecmp	12	0.001925	0.000000
semimcfecmp	13	0.002548	0.000000
semimcfecmp	14	0.002607	0.000000
semimcfecmp	15	0.001960	0.000000
semimcfecmp	16	0.001936	0.000000
semimcfecmp	17	0.002242	0.000000
semimcfecmp	18	0.002416	0.000000
semimcfecmp	19	0.002498	0.000000
semimcfecmp	20	0.002548	0.000000
semimcfecmp	21	0.002415	0.000000
semimcfecmp	22	0.002574	0.000000
semimcfecmp	23	0.002604	0.000000
semimcfksp	0	0.004366	0.000000
semimcfksp	1	0.004634	0.000000
semimcfksp	2	0.002147	0.000000
semimcfksp	3	0.002241	0.000000
semimcfksp	4	0.002049	0.000000
semimcfksp	5	0.002204	0.000000
semimcfksp	6	0.002004	0.000000
semimcfksp	7	0.002065	0.000000
semimcfksp	8	0.002230	0.000000
semimcfksp	9	0.002649	0.000000
semimcfksp	10	0.002686	0.000000
semimcfksp	11	0.002324	0.000000
semimcfksp	12	0.002508	0.000000
semimcfksp	13	0.002700	0.000000
semimcfksp	14	0.002753	0.000000
semimcfksp	15	0.002356	0.000000
semimcfksp	16	0.002324	0.000000
semimcfksp	17	0.002691	0.000000
semimcfksp	18	0.002753	0.000000
semimcfksp	19	0.002984	0.000000
semimcfksp	20	0.003039	0.000000
semimcfksp	21	0.002879	0.000000
semimcfksp	22	0.003070	0.000000
semimcfksp	23	0.003109	0.000000
semimcfmcf	0	0.002512	0.000000
semimcfmcf	1	0.002300	0.000000
semimcfmcf	2	0.001799	0.000000
semimcfmcf	3	0.001878	0.000000
semimcfmcf	4	0.001860	0.000000
semimcfmcf	5	0.002001	0.000000
semimcfmcf	6	0.001817	0.000000
semimcfmcf	7	0.001529	0.000000
semimcfmcf	8	0.001626	0.000000
semimcfmcf	9	0.001850	0.000000
semimcfmcf	10	0.001756	0.000000
semimcfmcf	11	0.001768	0.000000
semimcfmcf	12	0.001918	0.000000
semimcfmcf	13	0.001995	0.000000
semimcfmcf	14	0.002069	0.000000
semimcfmcf	15	0.001835	0.000000
semimcfmcf	16	0.001699	0.000000
semimcfmcf	17	0.001965	0.000000
semimcfmcf	18	0.002296	0.000000
semimcfmcf	19	0.002360	0.000000
semimcfmcf	20	0.002393	0.000000
semimcfmcf	21	0.002242	0.000000
semimcfmcf	22	0.002420	0.000000
semimcfmcf	23	0.002461	0.000000
semimcfraeke	0	0.004366	0.000000
semimcfraeke	1	0.004634	0.000000
semimcfraeke	2	0.002266	0.000000
semimcfraeke	3	0.002180	0.000000
semimcfraeke	4	0.001988	0.000000
semimcfraeke	5	0.002204	0.000000
semimcfraeke	6	0.002004	0.000000
semimcfraeke	7	0.001841	0.000000
semimcfraeke	8	0.002133	0.000000
semimcfraeke	9	0.002427	0.000000
semimcfraeke	10	0.002461	0.000000
semimcfraeke	11	0.002165	0.000000
semimcfraeke	12	0.002280	0.000000
semimcfraeke	13	0.002548	0.000000
semimcfraeke	14	0.002753	0.000000
semimcfraeke	15	0.002151	0.000000
semimcfraeke	16	0.002137	0.000000
semimcfraeke	17	0.002471	0.000000
semimcfraeke	18	0.002428	0.000000
semimcfraeke	19	0.002827	0.000000
semimcfraeke	20	0.002866	0.000000
semimcfraeke	21	0.002685	0.000000
semimcfraeke	22	0.002898	0.000000
semimcfraeke	23	0.002946	0.000000
semimcfvlb	0	0.004366	0.000000
semimcfvlb	1	0.004634	0.000000
semimcfvlb	2	0.001983	0.000000
semimcfvlb	3	0.002241	0.000000
semimcfvlb	4	0.002049	0.000000
semimcfvlb	5	0.002139	0.000000
semimcfvlb	6	0.001954	0.000000
semimcfvlb	7	0.002005	0.000000
semimcfvlb	8	0.002237	0.000000
semimcfvlb	9	0.002399	0.000000
semimcfvlb	10	0.002293	0.000000
semimcfvlb	11	0.002163	0.000000
semimcfvlb	12	0.002508	0.000000
semimcfvlb	13	0.002548	0.000000
semimcfvlb	14	0.002607	0.000000
semimcfvlb	15	0.002356	0.000000
semimcfvlb	16	0.002324	0.000000
semimcfvlb	17	0.002691	0.000000
semimcfvlb	18	0.002753	0.000000
semimcfvlb	19	0.002645	0.000000
semimcfvlb	20	0.002697	0.000000
semimcfvlb	21	0.002556	0.000000
semimcfvlb	22	0.002725	0.000000
semimcfvlb	23	0.002758	0.000000
spf	0	0.004366	0.000000
spf	1	0.004634	0.000000
spf	2	0.001983	0.000000
spf	3	0.002180	0.000000
spf	4	0.001988	0.000000
spf	5	0.002139	0.000000
spf	6	0.001945	0.000000
spf	7	0.001731	0.000000
spf	8	0.002133	0.000000
spf	9	0.002339	0.000000
spf	10	0.002293	0.000000
spf	11	0.001793	0.000000
spf	12	0.001925	0.000000
spf	13	0.002548	0.000000
spf	14	0.002607	0.000000
spf	15	0.001960	0.000000
spf	16	0.001936	0.000000
spf	17	0.002242	0.000000
spf	18	0.002416	0.000000
spf	19	0.002498	0.000000
spf	20	0.002548	0.000000
spf	21	0.002415	0.000000
spf	22	0.002574	0.000000
spf	23	0.002604	0.000000
vlb	0	0.004366	0.000000
vlb	1	0.004634	0.000000
vlb	2	0.001969	0.000000
vlb	3	0.002180	0.000000
vlb	4	0.001988	0.000000
vlb	5	0.002139	0.000000
vlb	6	0.001945	0.000000
vlb	7	0.001678	0.000000
vlb	8	0.002133	0.000000
vlb	9	0.002275	0.000000
vlb	10	0.002293	0.000000
vlb	11	0.001780	0.000000
vlb	12	0.001918	0.000000
vlb	13	0.002548	0.000000
vlb	14	0.002607	0.000000
vlb	15	0.001960	0.000000
vlb	16	0.001936	0.000000
vlb	17	0.002242	0.000000
vlb	18	0.002351	0.000000
vlb	19	0.002445	0.000000
vlb	20	0.002466	0.000000
vlb	21	0.002363	0.000000
vlb	22	0.002503	0.000000
vlb	23	0.002521	0.000000

