# solver	iter	mean-congestion	stddev
ecmp	0	0.115346	0.000000
ecmp	1	0.113265	0.000000
ecmp	2	0.112037	0.000000
ecmp	3	0.098574	0.000000
ecmp	4	0.088287	0.000000
ecmp	5	0.094676	0.000000
ecmp	6	0.086788	0.000000
ecmp	7	0.087195	0.000000
ecmp	8	0.092641	0.000000
ecmp	9	0.096007	0.000000
ecmp	10	0.097455	0.000000
ecmp	11	0.099169	0.000000
ecmp	12	0.106989	0.000000
ecmp	13	0.108721	0.000000
ecmp	14	0.110994	0.000000
ecmp	15	0.099234	0.000000
ecmp	16	0.097938	0.000000
ecmp	17	0.113302	0.000000
ecmp	18	0.115644	0.000000
ecmp	19	0.119027	0.000000
ecmp	20	0.120976	0.000000
ecmp	21	0.113731	0.000000
ecmp	22	0.122081	0.000000
ecmp	23	0.123517	0.000000
ksp	0	0.218704	0.000000
ksp	1	0.214690	0.000000
ksp	2	0.212569	0.000000
ksp	3	0.187591	0.000000
ksp	4	0.167970	0.000000
ksp	5	0.179907	0.000000
ksp	6	0.165020	0.000000
ksp	7	0.165363	0.000000
ksp	8	0.175432	0.000000
ksp	9	0.181735	0.000000
ksp	10	0.184358	0.000000
ksp	11	0.187634	0.000000
ksp	12	0.202263	0.000000
ksp	13	0.206441	0.000000
ksp	14	0.210459	0.000000
ksp	15	0.188502	0.000000
ksp	16	0.186025	0.000000
ksp	17	0.215238	0.000000
ksp	18	0.219890	0.000000
ksp	19	0.225872	0.000000
ksp	20	0.229837	0.000000
ksp	21	0.215771	0.000000
ksp	22	0.231510	0.000000
ksp	23	0.234763	0.000000
mcf	0	0.166153	0.000000
mcf	1	0.168083	0.000000
mcf	2	0.162995	0.000000
mcf	3	0.165030	0.000000
mcf	4	0.130618	0.000000
mcf	5	0.135746	0.000000
mcf	6	0.135200	0.000000
mcf	7	0.135457	0.000000
mcf	8	0.145188	0.000000
mcf	9	0.143641	0.000000
mcf	10	0.142267	0.000000
mcf	11	0.147414	0.000000
mcf	12	0.158327	0.000000
mcf	13	0.162128	0.000000
mcf	14	0.166400	0.000000
mcf	15	0.146137	0.000000
mcf	16	0.142439	0.000000
mcf	17	0.171572	0.000000
mcf	18	0.169872	0.000000
mcf	19	0.171888	0.000000
mcf	20	0.192516	0.000000
mcf	21	0.166713	0.000000
mcf	22	0.174974	0.000000
mcf	23	0.181356	0.000000
raeke	0	0.151621	0.000000
raeke	1	0.148834	0.000000
raeke	2	0.147331	0.000000
raeke	3	0.129694	0.000000
raeke	4	0.116160	0.000000
raeke	5	0.124461	0.000000
raeke	6	0.114157	0.000000
raeke	7	0.114652	0.000000
raeke	8	0.121743	0.000000
raeke	9	0.126187	0.000000
raeke	10	0.128058	0.000000
raeke	11	0.130322	0.000000
raeke	12	0.140550	0.000000
raeke	13	0.142971	0.000000
raeke	14	0.145881	0.000000
raeke	15	0.130580	0.000000
raeke	16	0.128818	0.000000
raeke	17	0.149034	0.000000
raeke	18	0.152157	0.000000
raeke	19	0.156558	0.000000
raeke	20	0.159233	0.000000
raeke	21	0.149530	0.000000
raeke	22	0.160506	0.000000
raeke	23	0.162711	0.000000
semimcfecmp	0	0.115346	0.000000
semimcfecmp	1	0.113265	0.000000
semimcfecmp	2	0.112037	0.000000
semimcfecmp	3	0.098574	0.000000
semimcfecmp	4	0.088287	0.000000
semimcfecmp	5	0.094676	0.000000
semimcfecmp	6	0.086788	0.000000
semimcfecmp	7	0.087195	0.000000
semimcfecmp	8	0.092641	0.000000
semimcfecmp	9	0.096007	0.000000
semimcfecmp	10	0.097455	0.000000
semimcfecmp	11	0.099169	0.000000
semimcfecmp	12	0.106989	0.000000
semimcfecmp	13	0.108721	0.000000
semimcfecmp	14	0.110994	0.000000
semimcfecmp	15	0.099234	0.000000
semimcfecmp	16	0.097938	0.000000
semimcfecmp	17	0.113302	0.000000
semimcfecmp	18	0.115644	0.000000
semimcfecmp	19	0.119027	0.000000
semimcfecmp	20	0.120986	0.000000
semimcfecmp	21	0.113731	0.000000
semimcfecmp	22	0.122081	0.000000
semimcfecmp	23	0.123527	0.000000
semimcfksp	0	0.156491	0.000000
semimcfksp	1	0.140657	0.000000
semimcfksp	2	0.138404	0.000000
semimcfksp	3	0.127879	0.000000
semimcfksp	4	0.114274	0.000000
semimcfksp	5	0.129473	0.000000
semimcfksp	6	0.118741	0.000000
semimcfksp	7	0.107878	0.000000
semimcfksp	8	0.126198	0.000000
semimcfksp	9	0.119564	0.000000
semimcfksp	10	0.121343	0.000000
semimcfksp	11	0.122286	0.000000
semimcfksp	12	0.146623	0.000000
semimcfksp	13	0.140836	0.000000
semimcfksp	14	0.145894	0.000000
semimcfksp	15	0.136578	0.000000
semimcfksp	16	0.134655	0.000000
semimcfksp	17	0.155760	0.000000
semimcfksp	18	0.149306	0.000000
semimcfksp	19	0.147034	0.000000
semimcfksp	20	0.150036	0.000000
semimcfksp	21	0.140730	0.000000
semimcfksp	22	0.150454	0.000000
semimcfksp	23	0.152478	0.000000
semimcfmcf	0	0.166153	0.000000
semimcfmcf	1	0.164264	0.000000
semimcfmcf	2	0.161770	0.000000
semimcfmcf	3	0.142634	0.000000
semimcfmcf	4	0.127541	0.000000
semimcfmcf	5	0.136717	0.000000
semimcfmcf	6	0.125155	0.000000
semimcfmcf	7	0.126320	0.000000
semimcfmcf	8	0.133878	0.000000
semimcfmcf	9	0.138227	0.000000
semimcfmcf	10	0.140630	0.000000
semimcfmcf	11	0.143500	0.000000
semimcfmcf	12	0.154146	0.000000
semimcfmcf	13	0.156588	0.000000
semimcfmcf	14	0.159578	0.000000
semimcfmcf	15	0.142035	0.000000
semimcfmcf	16	0.140814	0.000000
semimcfmcf	17	0.162841	0.000000
semimcfmcf	18	0.166720	0.000000
semimcfmcf	19	0.171796	0.000000
semimcfmcf	20	0.174429	0.000000
semimcfmcf	21	0.164008	0.000000
semimcfmcf	22	0.176150	0.000000
semimcfmcf	23	0.177969	0.000000
semimcfmcfenv	0	0.166093	0.000000
semimcfmcfenv	1	0.164204	0.000000
semimcfmcfenv	2	0.161755	0.000000
semimcfmcfenv	3	0.142606	0.000000
semimcfmcfenv	4	0.127524	0.000000
semimcfmcfenv	5	0.136665	0.000000
semimcfmcfenv	6	0.125105	0.000000
semimcfmcfenv	7	0.126268	0.000000
semimcfmcfenv	8	0.133823	0.000000
semimcfmcfenv	9	0.138196	0.000000
semimcfmcfenv	10	0.140601	0.000000
semimcfmcfenv	11	0.143462	0.000000
semimcfmcfenv	12	0.154105	0.000000
semimcfmcfenv	13	0.156547	0.000000
semimcfmcfenv	14	0.159539	0.000000
semimcfmcfenv	15	0.142000	0.000000
semimcfmcfenv	16	0.140780	0.000000
semimcfmcfenv	17	0.162803	0.000000
semimcfmcfenv	18	0.166676	0.000000
semimcfmcfenv	19	0.171748	0.000000
semimcfmcfenv	20	0.174380	0.000000
semimcfmcfenv	21	0.163961	0.000000
semimcfmcfenv	22	0.176093	0.000000
semimcfmcfenv	23	0.177912	0.000000
semimcfraeke	0	0.153015	0.000000
semimcfraeke	1	0.164589	0.000000
semimcfraeke	2	0.166036	0.000000
semimcfraeke	3	0.128213	0.000000
