# solver	iter	mean-congestion	stddev
ecmp	0	0.076897	0.000000
ecmp	1	0.075510	0.000000
ecmp	2	0.039915	0.000000
ecmp	3	0.035270	0.000000
ecmp	4	0.031449	0.000000
ecmp	5	0.033753	0.000000
ecmp	6	0.030991	0.000000
ecmp	7	0.031048	0.000000
ecmp	8	0.033087	0.000000
ecmp	9	0.034080	0.000000
ecmp	10	0.034622	0.000000
ecmp	11	0.035296	0.000000
ecmp	12	0.038209	0.000000
ecmp	13	0.038730	0.000000
ecmp	14	0.039791	0.000000
ecmp	15	0.035674	0.000000
ecmp	16	0.035045	0.000000
ecmp	17	0.040547	0.000000
ecmp	18	0.041253	0.000000
ecmp	19	0.042315	0.000000
ecmp	20	0.043088	0.000000
ecmp	21	0.040751	0.000000
ecmp	22	0.043834	0.000000
ecmp	23	0.044440	0.000000
ksp	0	0.145802	0.000000
ksp	1	0.143127	0.000000
ksp	2	0.127602	0.000000
ksp	3	0.112734	0.000000
ksp	4	0.100890	0.000000
ksp	5	0.108102	0.000000
ksp	6	0.099267	0.000000
ksp	7	0.099413	0.000000
ksp	8	0.105454	0.000000
ksp	9	0.109203	0.000000
ksp	10	0.110671	0.000000
ksp	11	0.112619	0.000000
ksp	12	0.121369	0.000000
ksp	13	0.124082	0.000000
ksp	14	0.126421	0.000000
ksp	15	0.113075	0.000000
ksp	16	0.111584	0.000000
ksp	17	0.129093	0.000000
ksp	18	0.131990	0.000000
ksp	19	0.135521	0.000000
ksp	20	0.137983	0.000000
ksp	21	0.129511	0.000000
ksp	22	0.138822	0.000000
ksp	23	0.140733	0.000000
mcf	0	0.110769	0.000000
mcf	1	0.112055	0.000000
mcf	2	0.076649	0.000000
mcf	3	0.098258	0.000000
mcf	4	0.055414	0.000000
mcf	5	0.064617	0.000000
mcf	6	0.058110	0.000000
mcf	7	0.057117	0.000000
mcf	8	0.062135	0.000000
mcf	9	0.060617	0.000000
mcf	10	0.066604	0.000000
mcf	11	0.069201	0.000000
mcf	12	0.074302	0.000000
mcf	13	0.066051	0.000000
mcf	14	0.067440	0.000000
mcf	15	0.068436	0.000000
mcf	16	0.067986	0.000000
mcf	17	0.080392	0.000000
mcf	18	0.072580	0.000000
mcf	19	0.082352	0.000000
mcf	20	0.080653	0.000000
mcf	21	0.078810	0.000000
mcf	22	0.083408	0.000000
mcf	23	0.085725	0.000000
