# solver	iter	mean-congestion	stddev
ecmp	0	0.076897	0.000000
ecmp	1	0.075510	0.000000
ecmp	2	0.057117	0.000000
ecmp	3	0.050294	0.000000
ecmp	4	0.044951	0.000000
ecmp	5	0.048243	0.000000
ecmp	6	0.044243	0.000000
ecmp	7	0.044436	0.000000
ecmp	8	0.047238	0.000000
ecmp	9	0.048901	0.000000
ecmp	10	0.049662	0.000000
ecmp	11	0.050552	0.000000
ecmp	12	0.054571	0.000000
ecmp	13	0.055443	0.000000
ecmp	14	0.056636	0.000000
ecmp	15	0.050597	0.000000
ecmp	16	0.049886	0.000000
ecmp	17	0.057707	0.000000
ecmp	18	0.058880	0.000000
ecmp	19	0.060563	0.000000
ecmp	20	0.061628	0.000000
ecmp	21	0.058003	0.000000
ecmp	22	0.062290	0.000000
ecmp	23	0.063118	0.000000
ksp	0	0.145802	0.000000
ksp	1	0.143127	0.000000
ksp	2	0.117462	0.000000
ksp	3	0.103723	0.000000
ksp	4	0.092791	0.000000
ksp	5	0.099436	0.000000
ksp	6	0.091262	0.000000
ksp	7	0.091489	0.000000
ksp	8	0.097052	0.000000
ksp	9	0.100421	0.000000
ksp	10	0.101815	0.000000
ksp	11	0.103624	0.000000
ksp	12	0.111753	0.000000
ksp	13	0.114071	0.000000
ksp	14	0.116294	0.000000
ksp	15	0.104036	0.000000
ksp	16	0.102704	0.000000
ksp	17	0.118824	0.000000
ksp	18	0.121404	0.000000
ksp	19	0.124737	0.000000
ksp	20	0.126988	0.000000
ksp	21	0.119202	0.000000
ksp	22	0.127762	0.000000
ksp	23	0.129526	0.000000
mcf	0	0.110769	0.000000
mcf	1	0.112055	0.000000
mcf	2	0.093216	0.000000
mcf	3	0.097195	0.000000
mcf	4	0.074881	0.000000
mcf	5	0.077304	0.000000
mcf	6	0.079072	0.000000
mcf	7	0.079210	0.000000
mcf	8	0.084942	0.000000
mcf	9	0.082600	0.000000
mcf	10	0.081384	0.000000
mcf	11	0.084459	0.000000
mcf	12	0.090680	0.000000
mcf	13	0.094097	0.000000
mcf	14	0.095651	0.000000
mcf	15	0.083569	0.000000
mcf	16	0.081269	0.000000
mcf	17	0.098440	0.000000
mcf	18	0.097285	0.000000
mcf	19	0.098109	0.000000
mcf	20	0.112589	0.000000
mcf	21	0.095521	0.000000
mcf	22	0.099941	0.000000
mcf	23	0.103965	0.000000
