# solver	iter	time	stddev
ecmp	0	0.048877	0.000000
ecmp	1	0.041523	0.000000
ecmp	2	0.043746	0.000000
ecmp	3	0.042802	0.000000
ecmp	4	0.039574	0.000000
ecmp	5	0.038411	0.000000
ecmp	6	0.041126	0.000000
ecmp	7	0.042107	0.000000
ecmp	8	0.044809	0.000000
ecmp	9	0.040996	0.000000
ecmp	10	0.040737	0.000000
ecmp	11	0.041890	0.000000
ecmp	12	0.040288	0.000000
ecmp	13	0.041398	0.000000
ecmp	14	0.042962	0.000000
ecmp	15	0.040319	0.000000
ecmp	16	0.042566	0.000000
ecmp	17	0.061978	0.000000
ecmp	18	0.041942	0.000000
ecmp	19	0.070784	0.000000
ecmp	20	0.049051	0.000000
ecmp	21	0.047933	0.000000
ecmp	22	0.041965	0.000000
ecmp	23	0.048106	0.000000
ksp	0	0.034007	0.000000
ksp	1	0.031747	0.000000
ksp	2	0.029248	0.000000
ksp	3	0.028937	0.000000
ksp	4	0.031404	0.000000
ksp	5	0.082170	0.000000
ksp	6	0.066017	0.000000
ksp	7	0.036917	0.000000
ksp	8	0.063779	0.000000
ksp	9	0.050370	0.000000
ksp	10	0.028113	0.000000
ksp	11	0.035507	0.000000
ksp	12	0.029125	0.000000
ksp	13	0.029908	0.000000
ksp	14	0.030203	0.000000
ksp	15	0.053661	0.000000
ksp	16	0.036473	0.000000
ksp	17	0.031078	0.000000
ksp	18	0.031566	0.000000
ksp	19	0.030781	0.000000
ksp	20	0.032321	0.000000
ksp	21	0.037572	0.000000
ksp	22	0.031231	0.000000
ksp	23	0.029014	0.000000
mcf	0	0.366519	0.000000
mcf	1	0.293717	0.000000
mcf	2	0.364928	0.000000
mcf	3	0.238267	0.000000
mcf	4	0.172179	0.000000
mcf	5	0.169209	0.000000
mcf	6	0.334010	0.000000
mcf	7	0.278552	0.000000
mcf	8	0.187913	0.000000
mcf	9	0.425355	0.000000
mcf	10	0.296247	0.000000
mcf	11	0.322963	0.000000
mcf	12	0.209209	0.000000
mcf	13	0.220487	0.000000
mcf	14	0.219458	0.000000
mcf	15	0.352662	0.000000
mcf	16	0.187714	0.000000
mcf	17	0.424878	0.000000
mcf	18	0.175761	0.000000
mcf	19	0.309578	0.000000
mcf	20	0.325203	0.000000
mcf	21	0.165250	0.000000
mcf	22	0.285152	0.000000
mcf	23	0.299375	0.000000
raeke	0	0.308314	0.000000
raeke	1	0.012584	0.000000
raeke	2	0.000654	0.000000
raeke	3	0.001043	0.000000
raeke	4	0.000570	0.000000
raeke	5	0.000472	0.000000
raeke	6	0.000540	0.000000
raeke	7	0.000535	0.000000
raeke	8	0.000507	0.000000
raeke	9	0.000558	0.000000
raeke	10	0.000545	0.000000
raeke	11	0.001284	0.000000
raeke	12	0.000479	0.000000
raeke	13	0.000477	0.000000
raeke	14	0.000514	0.000000
raeke	15	0.000508	0.000000
raeke	16	0.000476	0.000000
raeke	17	0.000577	0.000000
raeke	18	0.000526	0.000000
raeke	19	0.000487	0.000000
raeke	20	0.000598	0.000000
raeke	21	0.000891	0.000000
raeke	22	0.000617	0.000000
raeke	23	0.000523	0.000000
semimcfecmp	0	0.011038	0.000000
semimcfecmp	1	0.012652	0.000000
semimcfecmp	2	0.067355	0.000000
semimcfecmp	3	0.049359	0.000000
semimcfecmp	4	0.011719	0.000000
semimcfecmp	5	0.043221	0.000000
semimcfecmp	6	0.017638	0.000000
semimcfecmp	7	0.020809	0.000000
semimcfecmp	8	0.014642	0.000000
semimcfecmp	9	0.018204	0.000000
semimcfecmp	10	0.012740	0.000000
semimcfecmp	11	0.044180	0.000000
semimcfecmp	12	0.010394	0.000000
semimcfecmp	13	0.036181	0.000000
semimcfecmp	14	0.030127	0.000000
semimcfecmp	15	0.020712	0.000000
semimcfecmp	16	0.020728	0.000000
semimcfecmp	17	0.035784	0.000000
semimcfecmp	18	0.027420	0.000000
semimcfecmp	19	0.024619	0.000000
semimcfecmp	20	0.012490	0.000000
semimcfecmp	21	0.011669	0.000000
semimcfecmp	22	0.012124	0.000000
semimcfecmp	23	0.011541	0.000000
semimcfksp	0	0.061505	0.000000
semimcfksp	1	0.062447	0.000000
semimcfksp	2	0.045429	0.000000
semimcfksp	3	0.029750	0.000000
semimcfksp	4	0.028369	0.000000
semimcfksp	5	0.066648	0.000000
semimcfksp	6	0.063131	0.000000
semimcfksp	7	0.030149	0.000000
semimcfksp	8	0.045111	0.000000
semimcfksp	9	0.045617	0.000000
semimcfksp	10	0.030201	0.000000
semimcfksp	11	0.046878	0.000000
semimcfksp	12	0.033039	0.000000
semimcfksp	13	0.031504	0.000000
semimcfksp	14	0.056019	0.000000
semimcfksp	15	0.030685	0.000000
semimcfksp	16	0.079426	0.000000
semimcfksp	17	0.029227	0.000000
semimcfksp	18	0.076837	0.000000
semimcfksp	19	0.079269	0.000000
semimcfksp	20	0.057194	0.000000
semimcfksp	21	0.072043	0.000000
semimcfksp	22	0.104830	0.000000
semimcfksp	23	0.111939	0.000000
semimcfmcf	0	0.044681	0.000000
semimcfmcf	1	0.021874	0.000000
semimcfmcf	2	0.018647	0.000000
semimcfmcf	3	0.030446	0.000000
semimcfmcf	4	0.047785	0.000000
semimcfmcf	5	0.022681	0.000000
semimcfmcf	6	0.018399	0.000000
semimcfmcf	7	0.020020	0.000000
semimcfmcf	8	0.015552	0.000000
semimcfmcf	9	0.021075	0.000000
semimcfmcf	10	0.020676	0.000000
semimcfmcf	11	0.065729	0.000000
semimcfmcf	12	0.059204	0.000000
semimcfmcf	13	0.034409	0.000000
semimcfmcf	14	0.063214	0.000000
semimcfmcf	15	0.027601	0.000000
semimcfmcf	16	0.010861	0.000000
semimcfmcf	17	0.019129	0.000000
semimcfmcf	18	0.012359	0.000000
semimcfmcf	19	0.058102	0.000000
semimcfmcf	20	0.013352	0.000000
semimcfmcf	21	0.015707	0.000000
semimcfmcf	22	0.020703	0.000000
semimcfmcf	23	0.024935	0.000000
semimcfmcfenv	0	0.041404	0.000000
semimcfmcfenv	1	0.007958	0.000000
semimcfmcfenv	2	0.035922	0.000000
semimcfmcfenv	3	0.019260	0.000000
semimcfmcfenv	4	0.055505	0.000000
semimcfmcfenv	5	0.027166	0.000000
semimcfmcfenv	6	0.019406	0.000000
semimcfmcfenv	7	0.044071	0.000000
semimcfmcfenv	8	0.027705	0.000000
semimcfmcfenv	9	0.011906	0.000000
semimcfmcfenv	10	0.035773	0.000000
semimcfmcfenv	11	0.033513	0.000000
semimcfmcfenv	12	0.029457	0.000000
semimcfmcfenv	13	0.010570	0.000000
semimcfmcfenv	14	0.010192	0.000000
semimcfmcfenv	15	0.011588	0.000000
semimcfmcfenv	16	0.028888	0.000000
semimcfmcfenv	17	0.012042	0.000000
semimcfmcfenv	18	0.018046	0.000000
semimcfmcfenv	19	0.020995	0.000000
semimcfmcfenv	20	0.042448	0.000000
semimcfmcfenv	21	0.021890	0.000000
semimcfmcfenv	22	0.053286	0.000000
semimcfmcfenv	23	0.025204	0.000000
semimcfraeke	0	0.050553	0.000000
semimcfraeke	1	0.027521	0.000000
semimcfraeke	2	0.080367	0.000000
semimcfraeke	3	0.031086	0.000000
semimcfraeke	4	0.036305	0.000000
semimcfraeke	5	0.039727	0.000000
semimcfraeke	6	0.040882	0.000000
semimcfraeke	7	0.027746	0.000000
semimcfraeke	8	0.061866	0.000000
semimcfraeke	9	0.058075	0.000000
semimcfraeke	10	0.069070	0.000000
semimcfraeke	11	0.058581	0.000000
semimcfraeke	12	0.034412	0.000000
semimcfraeke	13	0.024587	0.000000
semimcfraeke	14	0.028117	0.000000
semimcfraeke	15	0.051131	0.000000
semimcfraeke	16	0.044824	0.000000
semimcfraeke	17	0.097139	0.000000
semimcfraeke	18	0.037161	0.000000
semimcfraeke	19	0.053653	0.000000
semimcfraeke	20	0.045447	0.000000
semimcfraeke	21	0.030508	0.000000
semimcfraeke	22	0.050733	0.000000
semimcfraeke	23	0.060177	0.000000
semimcfvlb	0	0.048408	0.000000
semimcfvlb	1	0.068860	0.000000
semimcfvlb	2	0.026739	0.000000
semimcfvlb	3	0.061072	0.000000
semimcfvlb	4	0.064011	0.000000
semimcfvlb	5	0.090842	0.000000
semimcfvlb	6	0.027768	0.000000
semimcfvlb	7	0.024058	0.000000
semimcfvlb	8	0.054036	0.000000
semimcfvlb	9	0.026575	0.000000
semimcfvlb	10	0.024891	0.000000
semimcfvlb	11	0.030065	0.000000
semimcfvlb	12	0.033660	0.000000
semimcfvlb	13	0.042287	0.000000
semimcfvlb	14	0.027415	0.000000
semimcfvlb	15	0.037025	0.000000
semimcfvlb	16	0.023963	0.000000
semimcfvlb	17	0.035614	0.000000
semimcfvlb	18	0.058062	0.000000
