# solver	iter	.0.900000-exp-congestion	stddev
ecmp	0	0.176790	0.000000
ecmp	1	0.174199	0.000000
ecmp	2	0.172465	0.000000
ecmp	3	0.152369	0.000000
ecmp	4	0.135719	0.000000
ecmp	5	0.146023	0.000000
ecmp	6	0.135518	0.000000
ecmp	7	0.131799	0.000000
ecmp	8	0.139271	0.000000
ecmp	9	0.146851	0.000000
ecmp	10	0.150738	0.000000
ecmp	11	0.154021	0.000000
ecmp	12	0.165272	0.000000
ecmp	13	0.171225	0.000000
ecmp	14	0.172236	0.000000
ecmp	15	0.158135	0.000000
ecmp	16	0.152225	0.000000
ecmp	17	0.176241	0.000000
ecmp	18	0.181353	0.000000
ecmp	19	0.184710	0.000000
ecmp	20	0.187756	0.000000
ecmp	21	0.177719	0.000000
ecmp	22	0.189964	0.000000
ecmp	23	0.192641	0.000000
ksp	0	0.354438	0.000000
ksp	1	0.350256	0.000000
ksp	2	0.346943	0.000000
ksp	3	0.304010	0.000000
ksp	4	0.273346	0.000000
ksp	5	0.292115	0.000000
ksp	6	0.268145	0.000000
ksp	7	0.269923	0.000000
ksp	8	0.285274	0.000000
ksp	9	0.296706	0.000000
ksp	10	0.302701	0.000000
ksp	11	0.308268	0.000000
ksp	12	0.330915	0.000000
ksp	13	0.338523	0.000000
ksp	14	0.343491	0.000000
ksp	15	0.307847	0.000000
ksp	16	0.303940	0.000000
ksp	17	0.351715	0.000000
ksp	18	0.360150	0.000000
ksp	19	0.371846	0.000000
ksp	20	0.379001	0.000000
ksp	21	0.354557	0.000000
ksp	22	0.377570	0.000000
ksp	23	0.383187	0.000000
mcf	0	0.336469	0.000000
mcf	1	0.324803	0.000000
mcf	2	0.327645	0.000000
mcf	3	0.343544	0.000000
mcf	4	0.260310	0.000000
mcf	5	0.279461	0.000000
mcf	6	0.277714	0.000000
mcf	7	0.275491	0.000000
mcf	8	0.296233	0.000000
mcf	9	0.286435	0.000000
mcf	10	0.288023	0.000000
mcf	11	0.294234	0.000000
mcf	12	0.311363	0.000000
mcf	13	0.333597	0.000000
mcf	14	0.329991	0.000000
mcf	15	0.282172	0.000000
mcf	16	0.279141	0.000000
mcf	17	0.322969	0.000000
mcf	18	0.334835	0.000000
mcf	19	0.342244	0.000000
mcf	20	0.392111	0.000000
mcf	21	0.322252	0.000000
mcf	22	0.347219	0.000000
mcf	23	0.349922	0.000000
raeke	0	0.277942	0.000000
raeke	1	0.273945	0.000000
raeke	2	0.271547	0.000000
raeke	3	0.240379	0.000000
raeke	4	0.215371	0.000000
raeke	5	0.227994	0.000000
raeke	6	0.209865	0.000000
raeke	7	0.212724	0.000000
raeke	8	0.225989	0.000000
raeke	9	0.231993	0.000000
raeke	10	0.235418	0.000000
raeke	11	0.239333	0.000000
raeke	12	0.257465	0.000000
raeke	13	0.262464	0.000000
raeke	14	0.266366	0.000000
raeke	15	0.238965	0.000000
raeke	16	0.236528	0.000000
raeke	17	0.273709	0.000000
raeke	18	0.280887	0.000000
raeke	19	0.289949	0.000000
raeke	20	0.294112	0.000000
raeke	21	0.275000	0.000000
raeke	22	0.295165	0.000000
raeke	23	0.299212	0.000000
semimcfecmp	0	0.191481	0.000000
semimcfecmp	1	0.183307	0.000000
semimcfecmp	2	0.183030	0.000000
semimcfecmp	3	0.167541	0.000000
semimcfecmp	4	0.151336	0.000000
semimcfecmp	5	0.158805	0.000000
semimcfecmp	6	0.144437	0.000000
semimcfecmp	7	0.142625	0.000000
semimcfecmp	8	0.153678	0.000000
semimcfecmp	9	0.161657	0.000000
semimcfecmp	10	0.162331	0.000000
semimcfecmp	11	0.163512	0.000000
semimcfecmp	12	0.173833	0.000000
semimcfecmp	13	0.178127	0.000000
semimcfecmp	14	0.183164	0.000000
semimcfecmp	15	0.168319	0.000000
semimcfecmp	16	0.163397	0.000000
semimcfecmp	17	0.189176	0.000000
semimcfecmp	18	0.193400	0.000000
semimcfecmp	19	0.196189	0.000000
semimcfecmp	20	0.201764	0.000000
semimcfecmp	21	0.190601	0.000000
semimcfecmp	22	0.201779	0.000000
semimcfecmp	23	0.205138	0.000000
semimcfksp	0	0.346330	0.000000
semimcfksp	1	0.255258	0.000000
semimcfksp	2	0.258958	0.000000
semimcfksp	3	0.250110	0.000000
semimcfksp	4	0.219172	0.000000
semimcfksp	5	0.251079	0.000000
semimcfksp	6	0.231516	0.000000
semimcfksp	7	0.228974	0.000000
semimcfksp	8	0.246733	0.000000
semimcfksp	9	0.222590	0.000000
semimcfksp	10	0.223937	0.000000
semimcfksp	11	0.225185	0.000000
semimcfksp	12	0.270355	0.000000
semimcfksp	13	0.274131	0.000000
semimcfksp	14	0.294254	0.000000
semimcfksp	15	0.254667	0.000000
semimcfksp	16	0.250596	0.000000
semimcfksp	17	0.290037	0.000000
semimcfksp	18	0.290652	0.000000
semimcfksp	19	0.273241	0.000000
semimcfksp	20	0.278104	0.000000
semimcfksp	21	0.256741	0.000000
semimcfksp	22	0.275109	0.000000
semimcfksp	23	0.279133	0.000000
semimcfmcf	0	0.336469	0.000000
semimcfmcf	1	0.332443	0.000000
semimcfmcf	2	0.327595	0.000000
semimcfmcf	3	0.290302	0.000000
semimcfmcf	4	0.258776	0.000000
semimcfmcf	5	0.276211	0.000000
semimcfmcf	6	0.253682	0.000000
semimcfmcf	7	0.255456	0.000000
semimcfmcf	8	0.269375	0.000000
semimcfmcf	9	0.283285	0.000000
semimcfmcf	10	0.288442	0.000000
semimcfmcf	11	0.295735	0.000000
semimcfmcf	12	0.313162	0.000000
semimcfmcf	13	0.321241	0.000000
semimcfmcf	14	0.325145	0.000000
semimcfmcf	15	0.284019	0.000000
semimcfmcf	16	0.280648	0.000000
semimcfmcf	17	0.323963	0.000000
semimcfmcf	18	0.335383	0.000000
semimcfmcf	19	0.344565	0.000000
semimcfmcf	20	0.349313	0.000000
semimcfmcf	21	0.325686	0.000000
semimcfmcf	22	0.349972	0.000000
semimcfmcf	23	0.355762	0.000000
semimcfraeke	0	0.284971	0.000000
semimcfraeke	1	0.243843	0.000000
semimcfraeke	2	0.246442	0.000000
semimcfraeke	3	0.237301	0.000000
semimcfraeke	4	0.213341	0.000000
semimcfraeke	5	0.236087	0.000000
semimcfraeke	6	0.217493	0.000000
semimcfraeke	7	0.208628	0.000000
semimcfraeke	8	0.235094	0.000000
semimcfraeke	9	0.212608	0.000000
semimcfraeke	10	0.213930	0.000000
semimcfraeke	11	0.217139	0.000000
semimcfraeke	12	0.261341	0.000000
semimcfraeke	13	0.258114	0.000000
semimcfraeke	14	0.241122	0.000000
semimcfraeke	15	0.242863	0.000000
semimcfraeke	16	0.240923	0.000000
semimcfraeke	17	0.278824	0.000000
semimcfraeke	18	0.278424	0.000000
semimcfraeke	19	0.263078	0.000000
semimcfraeke	20	0.267754	0.000000
semimcfraeke	21	0.246998	0.000000
semimcfraeke	22	0.264369	0.000000
semimcfraeke	23	0.268190	0.000000
semimcfvlb	0	0.265075	0.000000
semimcfvlb	1	0.257430	0.000000
semimcfvlb	2	0.260764	0.000000
semimcfvlb	3	0.260507	0.000000
semimcfvlb	4	0.233170	0.000000
semimcfvlb	5	0.212810	0.000000
semimcfvlb	6	0.196376	0.000000
semimcfvlb	7	0.199443	0.000000
semimcfvlb	8	0.210684	0.000000
semimcfvlb	9	0.223829	0.000000
semimcfvlb	10	0.225095	0.000000
semimcfvlb	11	0.226698	0.000000
semimcfvlb	12	0.243932	0.000000
semimcfvlb	13	0.280240	0.000000
semimcfvlb	14	0.255574	0.000000
semimcfvlb	15	0.228348	0.000000
semimcfvlb	16	0.226299	0.000000
semimcfvlb	17	0.261863	0.000000
semimcfvlb	18	0.301487	0.000000
semimcfvlb	19	0.274879	0.000000
semimcfvlb	20	0.279908	0.000000
semimcfvlb	21	0.258436	0.000000
semimcfvlb	22	0.277014	0.000000
