# solver	iter	congestion-drop	stddev
ecmp	0	0.077585	0.000000
ecmp	1	0.071908	0.000000
ecmp	2	0.072159	0.000000
ecmp	3	0.027274	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.013794	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.005099	0.000000
ecmp	9	0.021804	0.000000
ecmp	10	0.027064	0.000000
ecmp	11	0.032589	0.000000
ecmp	12	0.056650	0.000000
ecmp	13	0.064128	0.000000
ecmp	14	0.066667	0.000000
ecmp	15	0.027814	0.000000
ecmp	16	0.026099	0.000000
ecmp	17	0.074992	0.000000
ecmp	18	0.083244	0.000000
ecmp	19	0.094355	0.000000
ecmp	20	0.099290	0.000000
ecmp	21	0.076066	0.000000
ecmp	22	0.095403	0.000000
ecmp	23	0.099580	0.000000
ksp	0	0.038656	0.000000
ksp	1	0.029165	0.000000
ksp	2	0.029207	0.000000
ksp	3	0.000000	0.000000
ksp	4	0.000000	0.000000
ksp	5	0.000000	0.000000
ksp	6	0.000000	0.000000
ksp	7	0.000000	0.000000
ksp	8	0.000000	0.000000
ksp	9	0.000000	0.000000
ksp	10	0.000000	0.000000
ksp	11	0.000000	0.000000
ksp	12	0.005277	0.000000
ksp	13	0.015352	0.000000
ksp	14	0.021069	0.000000
ksp	15	0.000000	0.000000
ksp	16	0.000000	0.000000
ksp	17	0.033475	0.000000
ksp	18	0.044516	0.000000
ksp	19	0.056705	0.000000
ksp	20	0.061904	0.000000
ksp	21	0.034211	0.000000
ksp	22	0.062246	0.000000
ksp	23	0.067112	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.000000	0.000000
mcf	3	0.000000	0.000000
mcf	4	0.000000	0.000000
mcf	5	0.000000	0.000000
mcf	6	0.000000	0.000000
mcf	7	0.000000	0.000000
mcf	8	0.000000	0.000000
mcf	9	0.000000	0.000000
mcf	10	0.000000	0.000000
mcf	11	0.000000	0.000000
mcf	12	0.000000	0.000000
mcf	13	0.000000	0.000000
mcf	14	0.000000	0.000000
mcf	15	0.000000	0.000000
mcf	16	0.000000	0.000000
mcf	17	0.000000	0.000000
mcf	18	0.000000	0.000000
mcf	19	0.000000	0.000000
mcf	20	0.000000	0.000000
mcf	21	0.000000	0.000000
mcf	22	0.000000	0.000000
mcf	23	0.000000	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.000000	0.000000
raeke	3	0.000000	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.000000	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.000000	0.000000
raeke	9	0.000000	0.000000
raeke	10	0.000000	0.000000
raeke	11	0.000000	0.000000
raeke	12	0.000000	0.000000
raeke	13	0.000000	0.000000
raeke	14	0.000000	0.000000
raeke	15	0.000000	0.000000
raeke	16	0.000000	0.000000
raeke	17	0.000000	0.000000
