# solver	iter	mean-congestion	stddev
ecmp	0	0.148358	0.000000
ecmp	1	0.146284	0.000000
ecmp	2	0.144724	0.000000
ecmp	3	0.129876	0.000000
ecmp	4	0.117716	0.000000
ecmp	5	0.125481	0.000000
ecmp	6	0.115718	0.000000
ecmp	7	0.116260	0.000000
ecmp	8	0.123250	0.000000
ecmp	9	0.126805	0.000000
ecmp	10	0.128424	0.000000
ecmp	11	0.130370	0.000000
ecmp	12	0.139171	0.000000
ecmp	13	0.140941	0.000000
ecmp	14	0.143728	0.000000
ecmp	15	0.130717	0.000000
ecmp	16	0.129108	0.000000
ecmp	17	0.146164	0.000000
ecmp	18	0.148226	0.000000
ecmp	19	0.151158	0.000000
ecmp	20	0.153168	0.000000
ecmp	21	0.146659	0.000000
ecmp	22	0.154627	0.000000
ecmp	23	0.156181	0.000000
ksp	0	0.284654	0.000000
ksp	1	0.280935	0.000000
ksp	2	0.278388	0.000000
ksp	3	0.250121	0.000000
ksp	4	0.223959	0.000000
ksp	5	0.239875	0.000000
ksp	6	0.220027	0.000000
ksp	7	0.220484	0.000000
ksp	8	0.233910	0.000000
ksp	9	0.242314	0.000000
ksp	10	0.245811	0.000000
ksp	11	0.250179	0.000000
ksp	12	0.268703	0.000000
ksp	13	0.272764	0.000000
ksp	14	0.277013	0.000000
ksp	15	0.251336	0.000000
ksp	16	0.248034	0.000000
ksp	17	0.281277	0.000000
ksp	18	0.285593	0.000000
ksp	19	0.291564	0.000000
ksp	20	0.295925	0.000000
ksp	21	0.281934	0.000000
ksp	22	0.297758	0.000000
ksp	23	0.301189	0.000000
mcf	0	0.221538	0.000000
mcf	1	0.224110	0.000000
mcf	2	0.217326	0.000000
mcf	3	0.220040	0.000000
mcf	4	0.174157	0.000000
mcf	5	0.180995	0.000000
mcf	6	0.180266	0.000000
mcf	7	0.180609	0.000000
mcf	8	0.193584	0.000000
mcf	9	0.191521	0.000000
mcf	10	0.189689	0.000000
mcf	11	0.196552	0.000000
mcf	12	0.211103	0.000000
mcf	13	0.216171	0.000000
mcf	14	0.221866	0.000000
mcf	15	0.194850	0.000000
mcf	16	0.189919	0.000000
mcf	17	0.228762	0.000000
mcf	18	0.226495	0.000000
mcf	19	0.229184	0.000000
mcf	20	0.256688	0.000000
mcf	21	0.222285	0.000000
mcf	22	0.233298	0.000000
mcf	23	0.241809	0.000000
raeke	0	0.202328	0.000000
raeke	1	0.198598	0.000000
raeke	2	0.196535	0.000000
raeke	3	0.173077	0.000000
raeke	4	0.155016	0.000000
raeke	5	0.166159	0.000000
raeke	6	0.152388	0.000000
raeke	7	0.152993	0.000000
raeke	8	0.162460	0.000000
raeke	9	0.168399	0.000000
raeke	10	0.170894	0.000000
raeke	11	0.173896	0.000000
raeke	12	0.187550	0.000000
raeke	13	0.190828	0.000000
raeke	14	0.194702	0.000000
raeke	15	0.174258	0.000000
raeke	16	0.171921	0.000000
raeke	17	0.198898	0.000000
raeke	18	0.202938	0.000000
raeke	19	0.208074	0.000000
raeke	20	0.211274	0.000000
raeke	21	0.199541	0.000000
raeke	22	0.213092	0.000000
raeke	23	0.215725	0.000000
semimcfecmp	0	0.148654	0.000000
semimcfecmp	1	0.146352	0.000000
semimcfecmp	2	0.144738	0.000000
semimcfecmp	3	0.129889	0.000000
semimcfecmp	4	0.117716	0.000000
semimcfecmp	5	0.125491	0.000000
semimcfecmp	6	0.115718	0.000000
semimcfecmp	7	0.116260	0.000000
semimcfecmp	8	0.123261	0.000000
semimcfecmp	9	0.126816	0.000000
semimcfecmp	10	0.128434	0.000000
semimcfecmp	11	0.130383	0.000000
semimcfecmp	12	0.139185	0.000000
semimcfecmp	13	0.140952	0.000000
semimcfecmp	14	0.143742	0.000000
semimcfecmp	15	0.130730	0.000000
semimcfecmp	16	0.129121	0.000000
semimcfecmp	17	0.146179	0.000000
semimcfecmp	18	0.148642	0.000000
semimcfecmp	19	0.152244	0.000000
semimcfecmp	20	0.154524	0.000000
semimcfecmp	21	0.146671	0.000000
semimcfecmp	22	0.156073	0.000000
semimcfecmp	23	0.157913	0.000000
semimcfksp	0	0.208655	0.000000
semimcfksp	1	0.187543	0.000000
semimcfksp	2	0.184538	0.000000
semimcfksp	3	0.170505	0.000000
semimcfksp	4	0.152365	0.000000
semimcfksp	5	0.172631	0.000000
semimcfksp	6	0.158321	0.000000
semimcfksp	7	0.143837	0.000000
semimcfksp	8	0.168264	0.000000
semimcfksp	9	0.159419	0.000000
semimcfksp	10	0.161791	0.000000
semimcfksp	11	0.163048	0.000000
semimcfksp	12	0.195497	0.000000
semimcfksp	13	0.187781	0.000000
semimcfksp	14	0.194525	0.000000
semimcfksp	15	0.182104	0.000000
semimcfksp	16	0.179539	0.000000
semimcfksp	17	0.207680	0.000000
semimcfksp	18	0.199074	0.000000
semimcfksp	19	0.196045	0.000000
semimcfksp	20	0.200048	0.000000
semimcfksp	21	0.187640	0.000000
semimcfksp	22	0.200605	0.000000
semimcfksp	23	0.203304	0.000000
semimcfmcf	0	0.221538	0.000000
semimcfmcf	1	0.219019	0.000000
semimcfmcf	2	0.215693	0.000000
semimcfmcf	3	0.190179	0.000000
semimcfmcf	4	0.170054	0.000000
semimcfmcf	5	0.182289	0.000000
semimcfmcf	6	0.166873	0.000000
semimcfmcf	7	0.168426	0.000000
semimcfmcf	8	0.178504	0.000000
semimcfmcf	9	0.184303	0.000000
semimcfmcf	10	0.187507	0.000000
semimcfmcf	11	0.191334	0.000000
semimcfmcf	12	0.205529	0.000000
semimcfmcf	13	0.208785	0.000000
semimcfmcf	14	0.212770	0.000000
semimcfmcf	15	0.189380	0.000000
semimcfmcf	16	0.187753	0.000000
semimcfmcf	17	0.217121	0.000000
semimcfmcf	18	0.222293	0.000000
semimcfmcf	19	0.229061	0.000000
semimcfmcf	20	0.232572	0.000000
semimcfmcf	21	0.218677	0.000000
semimcfmcf	22	0.234866	0.000000
semimcfmcf	23	0.237292	0.000000
semimcfmcfenv	0	0.221457	0.000000
semimcfmcfenv	1	0.218939	0.000000
semimcfmcfenv	2	0.215673	0.000000
semimcfmcfenv	3	0.190142	0.000000
semimcfmcfenv	4	0.170032	0.000000
semimcfmcfenv	5	0.182220	0.000000
semimcfmcfenv	6	0.166807	0.000000
semimcfmcfenv	7	0.168358	0.000000
semimcfmcfenv	8	0.178431	0.000000
semimcfmcfenv	9	0.184262	0.000000
semimcfmcfenv	10	0.187468	0.000000
semimcfmcfenv	11	0.191282	0.000000
semimcfmcfenv	12	0.205473	0.000000
semimcfmcfenv	13	0.208729	0.000000
semimcfmcfenv	14	0.212719	0.000000
semimcfmcfenv	15	0.189333	0.000000
semimcfmcfenv	16	0.187706	0.000000
semimcfmcfenv	17	0.217070	0.000000
semimcfmcfenv	18	0.222235	0.000000
semimcfmcfenv	19	0.228997	0.000000
semimcfmcfenv	20	0.232506	0.000000
semimcfmcfenv	21	0.218615	0.000000
semimcfmcfenv	22	0.234791	0.000000
semimcfmcfenv	23	0.237216	0.000000
semimcfraeke	0	0.200110	0.000000
semimcfraeke	1	0.197319	0.000000
semimcfraeke	2	0.192680	0.000000
semimcfraeke	3	0.177230	0.000000
semimcfraeke	4	0.158661	0.000000
semimcfraeke	5	0.171546	0.000000
semimcfraeke	6	0.157318	0.000000
semimcfraeke	7	0.147220	0.000000
semimcfraeke	8	0.167986	0.000000
semimcfraeke	9	0.165603	0.000000
semimcfraeke	10	0.167751	0.000000
semimcfraeke	11	0.173025	0.000000
semimcfraeke	12	0.193336	0.000000
semimcfraeke	13	0.194587	0.000000
semimcfraeke	14	0.188279	0.000000
semimcfraeke	15	0.179606	0.000000
semimcfraeke	16	0.177424	0.000000
semimcfraeke	17	0.205219	0.000000
semimcfraeke	18	0.207251	0.000000
semimcfraeke	19	0.207638	0.000000
semimcfraeke	20	0.211768	0.000000
semimcfraeke	21	0.198972	0.000000
semimcfraeke	22	0.212824	0.000000
semimcfraeke	23	0.215564	0.000000
semimcfvlb	0	0.188214	0.000000
semimcfvlb	1	0.188731	0.000000
semimcfvlb	2	0.186321	0.000000
semimcfvlb	3	0.164946	0.000000
semimcfvlb	4	0.147580	0.000000
semimcfvlb	5	0.149236	0.000000
semimcfvlb	6	0.136731	0.000000
semimcfvlb	7	0.137393	0.000000
semimcfvlb	8	0.146087	0.000000
semimcfvlb	9	0.160002	0.000000
semimcfvlb	10	0.162214	0.000000
semimcfvlb	11	0.165223	0.000000
semimcfvlb	12	0.169815	0.000000
