# solver	iter	num_paths	stddev
akecmp	0	128.000000	0.000000
akecmp	1	128.000000	0.000000
akmcf	0	120.000000	0.000000
akmcf	1	120.000000	0.000000
akraeke	0	11204.000000	0.000000
akraeke	1	11204.000000	0.000000
akvlb	0	1926.000000	0.000000
akvlb	1	1926.000000	0.000000
ecmp	0	128.000000	0.000000
ecmp	1	128.000000	0.000000
mcf	0	28.000000	0.000000
mcf	1	28.000000	0.000000
mwmcf	0	120.000000	0.000000
mwmcf	1	120.000000	0.000000
raeke	0	10890.000000	0.000000
raeke	1	10890.000000	0.000000
semimcfecmp	0	120.000000	0.000000
semimcfecmp	1	120.000000	0.000000
semimcfmcf	0	120.000000	0.000000
semimcfmcf	1	120.000000	0.000000
semimcfraeke	0	10610.000000	0.000000
semimcfraeke	1	10610.000000	0.000000
semimcfvlb	0	1670.000000	0.000000
semimcfvlb	1	1670.000000	0.000000
spf	0	64.000000	0.000000
spf	1	64.000000	0.000000
vlb	0	1926.000000	0.000000
vlb	1	1926.000000	0.000000

