# solver	iter	.0.500000-congestion	stddev
akecmp	0	3.725290	0.000000
akecmp	1	3.725290	0.000000
akmcf	0	1.295456	0.000000
akmcf	1	1.295456	0.000000
akraeke	0	0.933185	0.000000
akraeke	1	0.933185	0.000000
akvlb	0	0.698492	0.000000
akvlb	1	0.698492	0.000000
ecmp	0	3.725290	0.000000
ecmp	1	3.725290	0.000000
mcf	0	1.241763	0.000000
mcf	1	1.241763	0.000000
mwmcf	0	3.641957	0.000000
mwmcf	1	3.641957	0.000000
raeke	0	0.918373	0.000000
raeke	1	0.918373	0.000000
semimcfecmp	0	3.725290	0.000000
semimcfecmp	1	3.725290	0.000000
semimcfmcf	0	0.931323	0.000000
semimcfmcf	1	0.931323	0.000000
semimcfraeke	0	1.241763	0.000000
semimcfraeke	1	1.241763	0.000000
semimcfvlb	0	1.596553	0.000000
semimcfvlb	1	1.596553	0.000000
spf	0	0.037253	0.000000
spf	1	0.037253	0.000000
vlb	0	0.698492	0.000000
vlb	1	0.698492	0.000000

