# solver	iter	edge-congestion
akecmp	0	
		(h0,s0) : 0.00372529026121
		(s0,h0) : 0.00372529026121
		(s0,s1) : 0.517401425168
		(s0,s9) : 0.517401425168
		(h1,s1) : 0.00372529026121
		(s1,h1) : 0.00372529026121
		(s1,s0) : 0.517401425168
		(s1,s2) : 0.517401425168
		(h2,s2) : 0.00372529026121
		(s2,h2) : 0.00372529026121
		(s2,s1) : 0.517401425168
		(s2,s3) : 0.517401425168
		(h3,s3) : 0.00372529026121
		(s3,h3) : 0.00372529026121
		(s3,s2) : 0.517401425168
		(s3,s4) : 0.517401425168
		(h4,s4) : 0.00372529026121
		(s4,h4) : 0.00372529026121
		(s4,s3) : 0.517401425168
		(s4,s5) : 0.517401425168
		(h5,s5) : 0.00372529026121
		(s5,h5) : 0.00372529026121
		(s5,s4) : 0.517401425168
		(s5,s6) : 0.517401425168
		(h6,s6) : 0.00372529026121
		(s6,h6) : 0.00372529026121
		(s6,s5) : 0.517401425168
		(s6,s7) : 0.517401425168
		(h7,s7) : 0.00372529026121
		(s7,h7) : 0.00372529026121
		(s7,s6) : 0.517401425168
		(s7,s8) : 0.517401425168
		(h8,s8) : 0.00372529026121
		(s8,h8) : 0.00372529026121
		(s8,s7) : 0.517401425168
		(s8,s9) : 0.517401425168
		(h9,s9) : 0.00372529026121
		(s9,h9) : 0.00372529026121
		(s9,s0) : 0.517401425168
		(s9,s8) : 0.517401425168
akecmp	1	
		(h0,s0) : 0.00372529026121
		(s0,h0) : 0.00372529026121
		(s0,s1) : 0.517401425168
		(s0,s9) : 0.517401425168
		(h1,s1) : 0.00372529026121
		(s1,h1) : 0.00372529026121
		(s1,s0) : 0.517401425168
		(s1,s2) : 0.517401425168
		(h2,s2) : 0.00372529026121
		(s2,h2) : 0.00372529026121
		(s2,s1) : 0.517401425168
		(s2,s3) : 0.517401425168
		(h3,s3) : 0.00372529026121
		(s3,h3) : 0.00372529026121
		(s3,s2) : 0.517401425168
		(s3,s4) : 0.517401425168
		(h4,s4) : 0.00372529026121
		(s4,h4) : 0.00372529026121
		(s4,s3) : 0.517401425168
		(s4,s5) : 0.517401425168
		(h5,s5) : 0.00372529026121
		(s5,h5) : 0.00372529026121
		(s5,s4) : 0.517401425168
		(s5,s6) : 0.517401425168
		(h6,s6) : 0.00372529026121
		(s6,h6) : 0.00372529026121
		(s6,s5) : 0.517401425168
		(s6,s7) : 0.517401425168
		(h7,s7) : 0.00372529026121
		(s7,h7) : 0.00372529026121
		(s7,s6) : 0.517401425168
		(s7,s8) : 0.517401425168
		(h8,s8) : 0.00372529026121
		(s8,h8) : 0.00372529026121
		(s8,s7) : 0.517401425168
		(s8,s9) : 0.517401425168
		(h9,s9) : 0.00372529026121
		(s9,h9) : 0.00372529026121
		(s9,s0) : 0.517401425168
		(s9,s8) : 0.517401425168
akmcf	0	
		(h0,s0) : 0.00372529026121
		(s0,h0) : 0.00372529026121
		(s0,s1) : 0.517401425168
		(s0,s9) : 0.517401425168
		(h1,s1) : 0.00372529026121
		(s1,h1) : 0.00372529026121
		(s1,s0) : 0.517401425168
		(s1,s2) : 0.517401425168
		(h2,s2) : 0.00372529026121
		(s2,h2) : 0.00372529026121
		(s2,s1) : 0.517401425168
		(s2,s3) : 0.517401425168
		(h3,s3) : 0.00372529026121
		(s3,h3) : 0.00372529026121
		(s3,s2) : 0.517401425168
		(s3,s4) : 0.517401425168
		(h4,s4) : 0.00372529026121
		(s4,h4) : 0.00372529026121
		(s4,s3) : 0.517401425168
		(s4,s5) : 0.517401425168
		(h5,s5) : 0.00372529026121
		(s5,h5) : 0.00372529026121
		(s5,s4) : 0.517401425168
		(s5,s6) : 0.517401425168
		(h6,s6) : 0.00372529026121
		(s6,h6) : 0.00372529026121
		(s6,s5) : 0.517401425168
		(s6,s7) : 0.517401425168
		(h7,s7) : 0.00372529026121
		(s7,h7) : 0.00372529026121
		(s7,s6) : 0.517401425168
		(s7,s8) : 0.517401425168
		(h8,s8) : 0.00372529026121
		(s8,h8) : 0.00372529026121
		(s8,s7) : 0.517401425168
		(s8,s9) : 0.517401425168
		(h9,s9) : 0.00372529026121
		(s9,h9) : 0.00372529026121
		(s9,s0) : 0.517401425168
		(s9,s8) : 0.517401425168
akmcf	1	
		(h0,s0) : 0.00372529026121
		(s0,h0) : 0.00372529026121
		(s0,s1) : 0.517401425168
		(s0,s9) : 0.517401425168
		(h1,s1) : 0.00372529026121
		(s1,h1) : 0.00372529026121
		(s1,s0) : 0.517401425168
		(s1,s2) : 0.517401425168
		(h2,s2) : 0.00372529026121
		(s2,h2) : 0.00372529026121
		(s2,s1) : 0.517401425168
		(s2,s3) : 0.517401425168
		(h3,s3) : 0.00372529026121
		(s3,h3) : 0.00372529026121
		(s3,s2) : 0.517401425168
		(s3,s4) : 0.517401425168
		(h4,s4) : 0.00372529026121
		(s4,h4) : 0.00372529026121
		(s4,s3) : 0.517401425168
		(s4,s5) : 0.517401425168
		(h5,s5) : 0.00372529026121
		(s5,h5) : 0.00372529026121
		(s5,s4) : 0.517401425168
		(s5,s6) : 0.517401425168
		(h6,s6) : 0.00372529026121
		(s6,h6) : 0.00372529026121
		(s6,s5) : 0.517401425168
		(s6,s7) : 0.517401425168
		(h7,s7) : 0.00372529026121
		(s7,h7) : 0.00372529026121
		(s7,s6) : 0.517401425168
		(s7,s8) : 0.517401425168
		(h8,s8) : 0.00372529026121
		(s8,h8) : 0.00372529026121
		(s8,s7) : 0.517401425168
		(s8,s9) : 0.517401425168
		(h9,s9) : 0.00372529026121
		(s9,h9) : 0.00372529026121
		(s9,s0) : 0.517401425168
		(s9,s8) : 0.517401425168
akraeke	0	
		(h0,s0) : 0.00654115635648
		(s0,h0) : 0.00654115635648
		(s0,s1) : 0.987005306679
		(s0,s9) : 0.988808820218
		(h1,s1) : 0.0068636994773
		(s1,h1) : 0.0068636994773
		(s1,s0) : 0.987005306679
		(s1,s2) : 0.989166566346
		(h2,s2) : 0.00714571774744
		(s2,h2) : 0.00714571774744
		(s2,s1) : 0.989166566346
		(s2,s3) : 0.981804683211
		(h3,s3) : 0.00676186502156
		(s3,h3) : 0.00676186502156
		(s3,s2) : 0.981804683211
		(s3,s4) : 0.985717223512
		(h4,s4) : 0.00657689154825
		(s4,h4) : 0.00657689154825
		(s4,s3) : 0.985717223512
		(s4,s5) : 0.992696722356
		(h5,s5) : 0.00653969777723
		(s5,h5) : 0.00653969777723
		(s5,s4) : 0.992696722356
		(s5,s6) : 0.992459210463
		(h6,s6) : 0.0069295917807
		(s6,h6) : 0.0069295917807
		(s6,s5) : 0.992459210463
		(s6,s7) : 0.999595408025
		(h7,s7) : 0.00692943409646
		(s7,h7) : 0.00692943409646
		(s7,s6) : 0.999595408025
		(s7,s8) : 0.994259767423
		(h8,s8) : 0.00638361008633
		(s8,h8) : 0.00638361008633
		(s8,s7) : 0.994259767423
		(s8,s9) : 0.993583696227
		(h9,s9) : 0.00675909569203
		(s9,h9) : 0.00675909569203
		(s9,s0) : 0.988808820218
		(s9,s8) : 0.993583696227
akraeke	1	
		(h0,s0) : 0.00654115635648
		(s0,h0) : 0.00654115635648
		(s0,s1) : 0.987005306679
		(s0,s9) : 0.988808820218
		(h1,s1) : 0.0068636994773
		(s1,h1) : 0.0068636994773
		(s1,s0) : 0.987005306679
		(s1,s2) : 0.989166566346
		(h2,s2) : 0.00714571774744
		(s2,h2) : 0.00714571774744
		(s2,s1) : 0.989166566346
		(s2,s3) : 0.981804683211
		(h3,s3) : 0.00676186502156
		(s3,h3) : 0.00676186502156
		(s3,s2) : 0.981804683211
		(s3,s4) : 0.985717223512
		(h4,s4) : 0.00657689154825
		(s4,h4) : 0.00657689154825
		(s4,s3) : 0.985717223512
		(s4,s5) : 0.992696722356
		(h5,s5) : 0.00653969777723
		(s5,h5) : 0.00653969777723
		(s5,s4) : 0.992696722356
		(s5,s6) : 0.992459210463
		(h6,s6) : 0.0069295917807
		(s6,h6) : 0.0069295917807
		(s6,s5) : 0.992459210463
		(s6,s7) : 0.999595408025
		(h7,s7) : 0.00692943409646
		(s7,h7) : 0.00692943409646
		(s7,s6) : 0.999595408025
		(s7,s8) : 0.994259767423
		(h8,s8) : 0.00638361008633
		(s8,h8) : 0.00638361008633
		(s8,s7) : 0.994259767423
		(s8,s9) : 0.993583696227
		(h9,s9) : 0.00675909569203
		(s9,h9) : 0.00675909569203
		(s9,s0) : 0.988808820218
		(s9,s8) : 0.993583696227
akvlb	0	
		(h0,s0) : 0.00372529026121
		(s0,h0) : 0.00372529026121
		(s0,s1) : 0.931322565302
		(s0,s9) : 0.89406966269
		(h1,s1) : 0.00372529026121
		(s1,h1) : 0.00372529026121
		(s1,s0) : 0.89406966269
		(s1,s2) : 0.89406966269
		(h2,s2) : 0.00372529026121
		(s2,h2) : 0.00372529026121
		(s2,s1) : 0.856816760078
		(s2,s3) : 0.931322565302
		(h3,s3) : 0.00372529026121
		(s3,h3) : 0.00372529026121
		(s3,s2) : 0.89406966269
		(s3,s4) : 0.968575467914
		(h4,s4) : 0.00372529026121
		(s4,h4) : 0.00372529026121
		(s4,s3) : 0.931322565302
		(s4,s5) : 0.968575467914
		(h5,s5) : 0.00372529026121
		(s5,h5) : 0.00372529026121
		(s5,s4) : 0.931322565302
		(s5,s6) : 0.968575467914
		(h6,s6) : 0.00372529026121
		(s6,h6) : 0.00372529026121
		(s6,s5) : 0.931322565302
		(s6,s7) : 1.00582837053
		(h7,s7) : 0.00372529026121
		(s7,h7) : 0.00372529026121
		(s7,s6) : 0.968575467914
		(s7,s8) : 0.968575467914
		(h8,s8) : 0.00372529026121
		(s8,h8) : 0.00372529026121
		(s8,s7) : 0.931322565302
		(s8,s9) : 0.931322565302
		(h9,s9) : 0.00372529026121
		(s9,h9) : 0.00372529026121
		(s9,s0) : 0.931322565302
		(s9,s8) : 0.89406966269
akvlb	1	
		(h0,s0) : 0.00372529026121
		(s0,h0) : 0.00372529026121
		(s0,s1) : 0.931322565302
		(s0,s9) : 0.89406966269
		(h1,s1) : 0.00372529026121
		(s1,h1) : 0.00372529026121
		(s1,s0) : 0.89406966269
		(s1,s2) : 0.89406966269
		(h2,s2) : 0.00372529026121
		(s2,h2) : 0.00372529026121
		(s2,s1) : 0.856816760078
		(s2,s3) : 0.931322565302
		(h3,s3) : 0.00372529026121
		(s3,h3) : 0.00372529026121
		(s3,s2) : 0.89406966269
		(s3,s4) : 0.968575467914
		(h4,s4) : 0.00372529026121
		(s4,h4) : 0.00372529026121
		(s4,s3) : 0.931322565302
		(s4,s5) : 0.968575467914
		(h5,s5) : 0.00372529026121
		(s5,h5) : 0.00372529026121
		(s5,s4) : 0.931322565302
		(s5,s6) : 0.968575467914
		(h6,s6) : 0.00372529026121
		(s6,h6) : 0.00372529026121
		(s6,s5) : 0.931322565302
		(s6,s7) : 1.00582837053
		(h7,s7) : 0.00372529026121
		(s7,h7) : 0.00372529026121
		(s7,s6) : 0.968575467914
		(s7,s8) : 0.968575467914
		(h8,s8) : 0.00372529026121
		(s8,h8) : 0.00372529026121
		(s8,s7) : 0.931322565302
