# solver	iter	mean-congestion	stddev
akecmp	0	0.260563	0.000000
akecmp	1	0.260563	0.000000
akmcf	0	0.260563	0.000000
akmcf	1	0.260563	0.000000
akraeke	0	0.498626	0.000000
akraeke	1	0.498626	0.000000
akvlb	0	0.467524	0.000000
akvlb	1	0.467524	0.000000
ecmp	0	0.260563	0.000000
ecmp	1	0.260563	0.000000
ksp	0	0.325935	0.000000
ksp	1	0.325935	0.000000
mcf	0	0.260563	0.000000
mcf	1	0.260563	0.000000
mwmcf	0	0.260563	0.000000
mwmcf	1	0.260563	0.000000
raeke	0	0.493923	0.000000
raeke	1	0.493923	0.000000
semimcfecmp	0	0.260563	0.000000
semimcfecmp	1	0.260563	0.000000
semimcfmcf	0	0.260563	0.000000
semimcfmcf	1	0.260563	0.000000
semimcfraeke	0	0.261650	0.000000
semimcfraeke	1	0.261650	0.000000
semimcfvlb	0	0.260563	0.000000
semimcfvlb	1	0.260563	0.000000
spf	0	0.260563	0.000000
spf	1	0.260563	0.000000
vlb	0	0.467524	0.000000
vlb	1	0.467524	0.000000

