# solver	iter	time	stddev
akecmp	0	0.013949	0.000000
akecmp	1	0.013257	0.000000
akmcf	0	0.012074	0.000000
akmcf	1	0.012154	0.000000
akraeke	0	0.373909	0.000000
akraeke	1	0.374453	0.000000
akvlb	0	0.027009	0.000000
akvlb	1	0.025886	0.000000
ecmp	0	0.000449	0.000000
ecmp	1	0.000431	0.000000
ksp	0	0.022558	0.000000
ksp	1	0.027206	0.000000
mcf	0	0.056683	0.000000
mcf	1	0.057581	0.000000
mwmcf	0	0.000620	0.000000
mwmcf	1	0.000000	0.000000
raeke	0	1.608091	0.000000
raeke	1	0.000000	0.000000
semimcfecmp	0	0.009617	0.000000
semimcfecmp	1	0.006747	0.000000
semimcfmcf	0	0.005970	0.000000
semimcfmcf	1	0.006701	0.000000
semimcfraeke	0	3.295902	0.000000
semimcfraeke	1	2.984029	0.000000
semimcfvlb	0	0.018410	0.000000
semimcfvlb	1	0.018860	0.000000
spf	0	0.000218	0.000000
spf	1	0.000414	0.000000
vlb	0	0.015816	0.000000
vlb	1	0.015054	0.000000

