# solver	iter	time	stddev
akecmp	0	0.031236	0.000000
akecmp	1	0.032931	0.000000
akmcf	0	0.033682	0.000000
akmcf	1	0.025165	0.000000
akraeke	0	0.947163	0.000000
akraeke	1	1.172711	0.000000
akvlb	0	0.057329	0.000000
akvlb	1	0.062893	0.000000
ecmp	0	0.009506	0.000000
ecmp	1	0.002799	0.000000
mcf	0	0.217661	0.000000
mcf	1	0.271459	0.000000
mwmcf	0	0.003134	0.000000
mwmcf	1	0.000001	0.000000
raeke	0	10.117556	0.000000
raeke	1	0.000001	0.000000
semimcfecmp	0	0.044319	0.000000
semimcfecmp	1	0.053839	0.000000
semimcfmcf	0	0.046703	0.000000
semimcfmcf	1	0.053103	0.000000
semimcfraeke	0	8.593013	0.000000
semimcfraeke	1	9.308572	0.000000
semimcfvlb	0	0.092753	0.000000
semimcfvlb	1	0.081622	0.000000
spf	0	0.001094	0.000000
spf	1	0.001075	0.000000
vlb	0	0.009044	0.000000
vlb	1	0.006645	0.000000

