# solver	iter	time	stddev
akecmp	0	0.014325	0.000000
akecmp	1	0.013501	0.000000
akmcf	0	0.013861	0.000000
akmcf	1	0.013253	0.000000
akraeke	0	0.382269	0.000000
akraeke	1	0.375360	0.000000
akvlb	0	0.031188	0.000000
akvlb	1	0.026852	0.000000
ecmp	0	0.001090	0.000000
ecmp	1	0.000521	0.000000
mcf	0	0.042759	0.000000
mcf	1	0.035559	0.000000
mwmcf	0	0.000640	0.000000
mwmcf	1	0.000000	0.000000
raeke	0	1.782905	0.000000
raeke	1	0.000000	0.000000
semimcfecmp	0	0.006503	0.000000
semimcfecmp	1	0.006693	0.000000
semimcfmcf	0	0.006561	0.000000
semimcfmcf	1	0.006660	0.000000
semimcfraeke	0	2.839999	0.000000
semimcfraeke	1	2.641267	0.000000
semimcfvlb	0	0.018711	0.000000
semimcfvlb	1	0.019060	0.000000
spf	0	0.000225	0.000000
spf	1	0.000238	0.000000
vlb	0	0.016780	0.000000
vlb	1	0.016724	0.000000

