# solver	iter	max-congestion	stddev
akecmp	0	0.858330	0.000000
akecmp	1	0.858330	0.000000
akmcf	0	0.561115	0.000000
akmcf	1	0.561115	0.000000
akraeke	0	1.212824	0.000000
akraeke	1	1.212824	0.000000
akvlb	0	2.607703	0.000000
akvlb	1	2.607703	0.000000
ecmp	0	0.858330	0.000000
ecmp	1	0.858330	0.000000
mcf	0	0.561115	0.000000
mcf	1	0.561115	0.000000
mwmcf	0	1.079816	0.000000
mwmcf	1	1.079816	0.000000
raeke	0	1.201970	0.000000
raeke	1	1.201970	0.000000
semimcfecmp	0	0.578400	0.000000
semimcfecmp	1	0.578400	0.000000
semimcfmcf	0	0.561115	0.000000
semimcfmcf	1	0.561115	0.000000
semimcfraeke	0	0.561115	0.000000
semimcfraeke	1	0.561115	0.000000
semimcfvlb	0	0.561115	0.000000
semimcfvlb	1	0.561115	0.000000
spf	0	1.372475	0.000000
spf	1	1.372475	0.000000
vlb	0	2.607703	0.000000
vlb	1	2.607703	0.000000

