# solver	iter	time	stddev
akecmp	0	1.352695	0.000000
akecmp	1	0.928586	0.000000
akmcf	0	1.707458	0.000000
akmcf	1	1.842520	0.000000
akraeke	0	36.233712	0.000000
akraeke	1	34.201183	0.000000
akvlb	0	3.816701	0.000000
akvlb	1	2.987024	0.000000
ecmp	0	0.015312	0.000000
ecmp	1	0.021279	0.000000
mcf	0	7.301835	0.000000
mcf	1	6.838148	0.000000
mwmcf	0	0.045843	0.000000
mwmcf	1	0.000001	0.000000
raeke	0	7.240594	0.000000
raeke	1	0.000001	0.000000
semimcfecmp	0	0.050260	0.000000
semimcfecmp	1	0.049461	0.000000
semimcfmcf	0	0.027074	0.000000
semimcfmcf	1	0.027341	0.000000
semimcfraeke	0	228.191554	0.000000
semimcfraeke	1	200.777610	0.000000
semimcfvlb	0	0.576516	0.000000
semimcfvlb	1	0.412917	0.000000
spf	0	0.003112	0.000000
spf	1	0.003006	0.000000
vlb	0	0.040261	0.000000
vlb	1	0.096181	0.000000

