# solver	iter	.0.300000-congestion	stddev
akecmp	0	0.657965	0.000000
akecmp	1	0.657965	0.000000
akmcf	0	0.561115	0.000000
akmcf	1	0.561115	0.000000
akraeke	0	1.182309	0.000000
akraeke	1	1.182309	0.000000
akvlb	0	1.257285	0.000000
akvlb	1	1.257285	0.000000
ecmp	0	0.657965	0.000000
ecmp	1	0.657965	0.000000
mcf	0	0.561115	0.000000
mcf	1	0.561115	0.000000
mwmcf	0	0.694625	0.000000
mwmcf	1	0.694625	0.000000
raeke	0	1.193021	0.000000
raeke	1	1.193021	0.000000
semimcfecmp	0	0.578400	0.000000
semimcfecmp	1	0.578400	0.000000
semimcfmcf	0	0.561115	0.000000
semimcfmcf	1	0.561115	0.000000
semimcfraeke	0	0.561115	0.000000
semimcfraeke	1	0.561115	0.000000
semimcfvlb	0	0.561115	0.000000
semimcfvlb	1	0.561115	0.000000
spf	0	0.784272	0.000000
spf	1	0.784272	0.000000
vlb	0	1.303852	0.000000
vlb	1	1.303852	0.000000

