# solver	iter	.0.200000-congestion	stddev
akecmp	0	0.920262	0.000000
akecmp	1	0.920262	0.000000
akmcf	0	0.676811	0.000000
akmcf	1	0.676811	0.000000
akraeke	0	1.267929	0.000000
akraeke	1	1.267929	0.000000
akvlb	0	1.475788	0.000000
akvlb	1	1.475788	0.000000
ecmp	0	0.920262	0.000000
ecmp	1	0.920262	0.000000
mcf	0	0.676811	0.000000
mcf	1	0.676811	0.000000
mwmcf	0	0.926928	0.000000
mwmcf	1	0.926928	0.000000
raeke	0	1.261829	0.000000
raeke	1	1.261829	0.000000
semimcfecmp	0	0.702074	0.000000
semimcfecmp	1	0.702074	0.000000
semimcfmcf	0	0.682904	0.000000
semimcfmcf	1	0.682904	0.000000
semimcfraeke	0	0.676811	0.000000
semimcfraeke	1	0.676811	0.000000
semimcfvlb	0	0.676811	0.000000
semimcfvlb	1	0.676811	0.000000
spf	0	1.289524	0.000000
spf	1	1.289524	0.000000
vlb	0	1.404148	0.000000
vlb	1	1.493698	0.000000

