# solver	iter	time	stddev
akecmp	0	0.985444	0.000000
akecmp	1	1.226754	0.000000
akmcf	0	1.440195	0.000000
akmcf	1	1.679975	0.000000
akraeke	0	34.606619	0.000000
akraeke	1	24.654710	0.000000
akvlb	0	4.006330	0.000000
akvlb	1	3.412876	0.000000
ecmp	0	0.007340	0.000000
ecmp	1	0.008903	0.000000
mcf	0	7.115461	0.000000
mcf	1	4.822629	0.000000
mwmcf	0	0.011280	0.000000
mwmcf	1	0.000001	0.000000
raeke	0	5.189565	0.000000
raeke	1	0.000001	0.000000
semimcfecmp	0	0.030908	0.000000
semimcfecmp	1	0.041432	0.000000
semimcfmcf	0	0.020791	0.000000
semimcfmcf	1	0.019452	0.000000
semimcfraeke	0	202.164323	0.000000
semimcfraeke	1	196.305445	0.000000
semimcfvlb	0	0.320711	0.000000
semimcfvlb	1	0.222412	0.000000
spf	0	0.003235	0.000000
spf	1	0.003688	0.000000
vlb	0	0.034726	0.000000
vlb	1	0.036451	0.000000

