# solver	iter	mean-congestion	stddev
akecmp	0	0.415991	0.000000
akecmp	1	0.415991	0.000000
akmcf	0	0.718063	0.000000
akmcf	1	0.718063	0.000000
akraeke	0	0.740174	0.000000
akraeke	1	0.740174	0.000000
akvlb	0	0.689179	0.000000
akvlb	1	0.689179	0.000000
ecmp	0	0.415991	0.000000
ecmp	1	0.415991	0.000000
ksp	0	0.450484	0.000000
ksp	1	0.450484	0.000000
mcf	0	0.718063	0.000000
mcf	1	0.718063	0.000000
mwmcf	0	0.445704	0.000000
mwmcf	1	0.445704	0.000000
raeke	0	0.743816	0.000000
raeke	1	0.743816	0.000000
semimcfecmp	0	0.415991	0.000000
semimcfecmp	1	0.415991	0.000000
semimcfmcf	0	0.718063	0.000000
semimcfmcf	1	0.718063	0.000000
semimcfraeke	0	0.447242	0.000000
semimcfraeke	1	0.447242	0.000000
semimcfvlb	0	0.452209	0.000000
semimcfvlb	1	0.452209	0.000000
spf	0	0.935979	0.000000
spf	1	0.935979	0.000000
vlb	0	0.689179	0.000000
vlb	1	0.689179	0.000000

