# solver	iter	mean-congestion	stddev
akecmp	0	0.553964	0.000000
akecmp	1	0.553964	0.000000
akmcf	0	0.925024	0.000000
akmcf	1	0.925024	0.000000
akraeke	0	0.802998	0.000000
akraeke	1	0.802998	0.000000
akvlb	0	0.691938	0.000000
akvlb	1	0.691938	0.000000
ecmp	0	0.553964	0.000000
ecmp	1	0.553964	0.000000
ksp	0	0.553964	0.000000
ksp	1	0.553964	0.000000
mcf	0	0.787697	0.000000
mcf	1	0.787697	0.000000
mwmcf	0	0.608010	0.000000
mwmcf	1	0.608010	0.000000
raeke	0	0.818894	0.000000
raeke	1	0.818894	0.000000
semimcfecmp	0	0.553964	0.000000
semimcfecmp	1	0.553964	0.000000
semimcfmcf	0	0.925024	0.000000
semimcfmcf	1	0.925024	0.000000
semimcfraeke	0	0.683315	0.000000
semimcfraeke	1	0.683315	0.000000
semimcfvlb	0	0.640198	0.000000
semimcfvlb	1	0.640198	0.000000
spf	0	1.246420	0.000000
spf	1	1.246420	0.000000
vlb	0	0.691938	0.000000
vlb	1	0.691938	0.000000

