# solver	iter	.0.400000-congestion	stddev
akecmp	0	0.713275	0.000000
akecmp	1	0.713275	0.000000
akmcf	0	1.552204	0.000000
akmcf	1	1.552204	0.000000
akraeke	0	0.968705	0.000000
akraeke	1	0.968705	0.000000
akvlb	0	0.900278	0.000000
akvlb	1	0.900278	0.000000
ecmp	0	0.713275	0.000000
ecmp	1	0.713275	0.000000
mcf	0	1.164153	0.000000
mcf	1	1.164153	0.000000
mwmcf	0	0.818871	0.000000
mwmcf	1	0.818871	0.000000
raeke	0	0.972456	0.000000
raeke	1	0.972456	0.000000
semimcfecmp	0	1.164153	0.000000
semimcfecmp	1	1.164153	0.000000
semimcfmcf	0	1.552204	0.000000
semimcfmcf	1	1.552204	0.000000
semimcfraeke	0	0.970128	0.000000
semimcfraeke	1	0.970128	0.000000
semimcfvlb	0	0.970128	0.000000
semimcfvlb	1	0.970128	0.000000
spf	0	2.328306	0.000000
spf	1	2.328306	0.000000
vlb	0	0.931323	0.000000
vlb	1	0.900278	0.000000

