# solver	iter	mean-exp-congestion	stddev
akecmp	0	1.045151	0.000000
akecmp	1	1.045151	0.000000
akecmp	2	1.045151	0.000000
akecmp	3	1.045151	0.000000
akecmp	4	1.045151	0.000000
akecmp	5	1.045151	0.000000
akecmp	6	1.045151	0.000000
akecmp	7	1.045151	0.000000
akecmp	8	1.045151	0.000000
akecmp	9	1.045151	0.000000
akksp	0	0.288113	0.000000
akksp	1	0.288113	0.000000
akksp	2	0.288113	0.000000
akksp	3	0.288113	0.000000
akksp	4	0.288113	0.000000
akksp	5	0.288113	0.000000
akksp	6	0.288113	0.000000
akksp	7	0.288113	0.000000
akksp	8	0.288113	0.000000
akksp	9	0.288113	0.000000
akmcf	0	0.491929	0.000000
akmcf	1	0.491929	0.000000
akmcf	2	0.491929	0.000000
akmcf	3	0.491929	0.000000
akmcf	4	0.491929	0.000000
akmcf	5	0.491929	0.000000
akmcf	6	0.491929	0.000000
akmcf	7	0.491929	0.000000
akmcf	8	0.491929	0.000000
akmcf	9	0.491929	0.000000
akraeke	0	0.519933	0.000000
akraeke	1	0.519933	0.000000
akraeke	2	0.519933	0.000000
akraeke	3	0.519933	0.000000
akraeke	4	0.519933	0.000000
akraeke	5	0.519933	0.000000
akraeke	6	0.519933	0.000000
akraeke	7	0.519933	0.000000
akraeke	8	0.519933	0.000000
akraeke	9	0.519933	0.000000
akvlb	0	0.352661	0.000000
akvlb	1	0.352661	0.000000
akvlb	2	0.352661	0.000000
akvlb	3	0.352661	0.000000
akvlb	4	0.352661	0.000000
akvlb	5	0.352661	0.000000
akvlb	6	0.352661	0.000000
akvlb	7	0.352661	0.000000
akvlb	8	0.352661	0.000000
akvlb	9	0.352661	0.000000
ecmp	0	1.045151	0.000000
ecmp	1	1.045151	0.000000
ecmp	2	1.045151	0.000000
ecmp	3	1.045151	0.000000
ecmp	4	1.045151	0.000000
ecmp	5	1.045151	0.000000
ecmp	6	1.045151	0.000000
ecmp	7	1.045151	0.000000
ecmp	8	1.045151	0.000000
ecmp	9	1.045151	0.000000
ksp	0	0.288113	0.000000
ksp	1	0.288113	0.000000
ksp	2	0.288113	0.000000
ksp	3	0.288113	0.000000
ksp	4	0.288113	0.000000
ksp	5	0.288113	0.000000
ksp	6	0.288113	0.000000
ksp	7	0.288113	0.000000
ksp	8	0.288113	0.000000
ksp	9	0.288113	0.000000
mcf	0	0.491929	0.000000
mcf	1	0.491929	0.000000
mcf	2	0.491929	0.000000
mcf	3	0.491929	0.000000
mcf	4	0.491929	0.000000
mcf	5	0.491929	0.000000
mcf	6	0.491929	0.000000
mcf	7	0.491929	0.000000
mcf	8	0.491929	0.000000
mcf	9	0.491929	0.000000
mwmcf	0	1.045151	0.000000
mwmcf	1	1.045151	0.000000
mwmcf	2	1.045151	0.000000
mwmcf	3	1.045151	0.000000
mwmcf	4	1.045151	0.000000
mwmcf	5	1.045151	0.000000
mwmcf	6	1.045151	0.000000
mwmcf	7	1.045151	0.000000
mwmcf	8	1.045151	0.000000
mwmcf	9	1.045151	0.000000
raeke	0	0.520564	0.000000
raeke	1	0.520564	0.000000
raeke	2	0.520564	0.000000
raeke	3	0.520564	0.000000
raeke	4	0.520564	0.000000
raeke	5	0.520564	0.000000
raeke	6	0.520564	0.000000
raeke	7	0.520564	0.000000
raeke	8	0.520564	0.000000
raeke	9	0.520564	0.000000
semimcfecmp	0	1.045151	0.000000
semimcfecmp	1	1.045151	0.000000
semimcfecmp	2	1.045151	0.000000
semimcfecmp	3	1.045151	0.000000
semimcfecmp	4	1.045151	0.000000
semimcfecmp	5	1.045151	0.000000
semimcfecmp	6	1.045151	0.000000
semimcfecmp	7	1.045151	0.000000
semimcfecmp	8	1.045151	0.000000
semimcfecmp	9	1.045151	0.000000
semimcfksp	0	0.539464	0.000000
semimcfksp	1	0.539464	0.000000
semimcfksp	2	0.539464	0.000000
semimcfksp	3	0.539464	0.000000
semimcfksp	4	0.539464	0.000000
semimcfksp	5	0.539464	0.000000
semimcfksp	6	0.539464	0.000000
semimcfksp	7	0.539464	0.000000
semimcfksp	8	0.539464	0.000000
semimcfksp	9	0.539464	0.000000
semimcfmcf	0	0.491929	0.000000
semimcfmcf	1	0.491929	0.000000
semimcfmcf	2	0.491929	0.000000
semimcfmcf	3	0.491929	0.000000
semimcfmcf	4	0.491929	0.000000
semimcfmcf	5	0.491929	0.000000
semimcfmcf	6	0.491929	0.000000
semimcfmcf	7	0.491929	0.000000
semimcfmcf	8	0.491929	0.000000
semimcfmcf	9	0.491929	0.000000
semimcfraeke	0	0.432350	0.000000
semimcfraeke	1	0.432350	0.000000
semimcfraeke	2	0.432350	0.000000
semimcfraeke	3	0.432350	0.000000
semimcfraeke	4	0.432350	0.000000
semimcfraeke	5	0.432350	0.000000
semimcfraeke	6	0.432350	0.000000
semimcfraeke	7	0.432350	0.000000
semimcfraeke	8	0.432350	0.000000
semimcfraeke	9	0.432350	0.000000
semimcfvlb	0	0.412541	0.000000
semimcfvlb	1	0.412541	0.000000
semimcfvlb	2	0.412541	0.000000
semimcfvlb	3	0.412541	0.000000
semimcfvlb	4	0.412541	0.000000
semimcfvlb	5	0.412541	0.000000
semimcfvlb	6	0.412541	0.000000
semimcfvlb	7	0.412541	0.000000
semimcfvlb	8	0.412541	0.000000
semimcfvlb	9	0.412541	0.000000
spf	0	1.045151	0.000000
spf	1	1.045151	0.000000
spf	2	1.045151	0.000000
spf	3	1.045151	0.000000
spf	4	1.045151	0.000000
spf	5	1.045151	0.000000
spf	6	1.045151	0.000000
spf	7	1.045151	0.000000
spf	8	1.045151	0.000000
spf	9	1.045151	0.000000
vlb	0	0.389462	0.000000
vlb	1	0.376668	0.000000
vlb	2	0.356386	0.000000
vlb	3	0.379566	0.000000
vlb	4	0.370873	0.000000
vlb	5	0.372943	0.000000
vlb	6	0.365078	0.000000
vlb	7	0.381635	0.000000
vlb	8	0.378160	0.000000
vlb	9	0.370046	0.000000

